episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,start_boundary_kind,end_boundary_kind,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any
B000001,1.1199999999999999,3.024683068358527,3.0212021329387198,-0.4755000000000038,-2.983548571428571,0.9988491569724374,1.001152168993215,2.8468855243541076,2.688373596018175,2.345757575563898,2.744271175920737,0.0567951702263801,-9.983453547857597,10.334903422669145,0,Home,1,1,Home_1_1_0,13,41,0.52,1.64,34.1694,43.674845714285716,33.6939,40.691297142857145,valley,valley,False,True,False,False,False,False,False,True,True,False
B000002,1.5200000000000002,2.8375590539749878,2.7176496508368926,-0.11670000000000158,-2.715142857142858,0.9577420589819547,1.0441224655654822,2.7459104659456988,1.8893140391101395,2.744271175920737,0.7001674371542529,0.2730183291391698,86.17725245170321,86.48768377593726,0,Home,1,1,Home_1_1_0,41,79,1.64,3.16,33.6939,40.691297142857145,33.5772,37.97615428571429,valley,direction,False,False,False,False,False,False,False,False,False,False
B000003,4.28,18.372420112468006,17.658067623176134,-5.874299999999998,16.652325714285716,0.9611182149701065,1.040454737434253,5.8225584487431234,4.259358057859763,0.7001674371542529,4.699278744186393,1.4389773392430305,103.36012810113614,154.7718012680931,0,Home,1,1,Home_1_1_0,79,186,3.16,7.44,33.5772,37.97615428571429,27.7029,54.62848,direction,valley,True,False,False,False,False,False,False,False,False,False
B000004,1.5599999999999996,7.5966346219155,7.45358030086624,1.859100000000005,7.218005714285717,0.9811687242879151,1.0191926987132123,5.063138480271503,4.865378607301848,4.699278744186393,4.6427744257745,0.623291605247952,-39.64915060752148,39.64915060752148,0,Home,1,1,Home_1_1_0,186,225,7.44,9.0,27.7029,54.62848,29.562000000000005,61.84648571428572,valley,valley,False,False,False,False,False,False,False,True,False,False
B000005,2.960000000000001,12.334561505137657,10.9711479807536,10.842749999999995,1.673577142857141,0.8894639648263004,1.1242726400897936,5.226279804204567,4.173424160722878,4.6427744257745,1.3475173619718914,2.1535111057284206,-141.18830245055017,141.18830245055017,0,Home,1,1,Home_1_1_0,225,299,9.0,11.96,29.562000000000005,61.84648571428572,40.40475,63.52006285714286,valley,direction,False,False,False,False,False,False,False,True,False,False
B000006,1.7599999999999998,3.371249496107148,3.0835141231516228,-3.0244500000000016,-0.6006342857142855,0.9146502288579414,1.093314108988557,2.1296424753240166,1.9028612169922356,1.3475173619718914,1.8956860262723365,0.5426544652904117,-93.44343464297037,97.06090331305879,0,Home,1,1,Home_1_1_0,299,343,11.96,13.72,40.40475,63.52006285714286,37.3803,62.919428571428575,direction,valley,False,False,False,False,False,False,False,True,False,False
B000007,2.5999999999999996,7.031641947943711,6.719536514650574,-6.0887999999999955,-2.8423028571428546,0.9556141459414886,1.0464474644363722,3.2987070820651696,2.6922232534070476,1.8956860262723365,2.443017956277212,0.7964300308579434,76.41636930905786,76.41636930905786,0,Home,1,1,Home_1_1_0,343,408,13.72,16.32,37.3803,62.919428571428575,31.291500000000003,60.07712571428572,valley,valley,False,False,False,False,False,False,False,True,False,False
B000008,3.0,9.187677140269024,8.563753241457842,5.339699999999997,-6.695182857142868,0.9320912250957795,1.0728563611327233,3.6437428195050128,3.0544071903026686,2.443017956277212,2.1540330955050226,1.180129617259093,26.763378712398893,131.63671477849175,0,Home,1,1,Home_1_1_0,408,483,16.32,19.32,31.291500000000003,60.07712571428572,36.6312,53.38194285714285,valley,valley,False,False,False,False,False,False,False,True,False,False
B000009,1.8399999999999999,4.304434054563009,4.170997933648491,-1.939949999999996,-3.6923999999999992,0.96900031009348,1.0319914138144388,3.180532772883682,2.335423073608091,2.1540330955050226,0.8906043006904394,0.26500990270318947,24.25743596452597,113.99901518533221,0,Home,1,1,Home_1_1_0,483,529,19.32,21.16,36.6312,53.38194285714285,34.691250000000004,49.689542857142854,valley,direction,False,False,False,False,False,False,False,True,False,False
B000010,1.6400000000000006,3.7039632702134733,3.5997103403876594,3.517799999999994,0.7635428571428591,0.9718536815242756,1.028961477443373,2.8687107840457324,2.2259449060958865,0.8906043006904394,2.8329164699590406,0.2856388170715473,72.39878254798226,72.91665526313136,0,Home,1,1,Home_1_1_0,529,570,21.16,22.8,34.691250000000004,49.689542857142854,38.20905,50.45308571428571,direction,valley,False,False,False,False,False,False,False,True,False,False
B000011,1.0799999999999983,2.8626476826265588,2.8340648096664687,2.785950000000007,0.5200057142857162,0.9900152320058245,1.0100854690628807,2.839936746789771,2.657111019129398,2.8329164699590406,2.490670048564732,0.1780155397774788,-25.219102800263713,25.219102800263713,0,Home,1,1,Home_1_1_0,570,597,22.8,23.88,38.20905,50.45308571428571,40.995000000000005,50.97309142857143,valley,valley,False,True,False,False,False,False,False,False,True,False
B000012,1.8399999999999999,4.484791429315505,4.259956948435333,3.7119,-2.0902228571428623,0.9498673495916647,1.0527785805353629,2.567676846690616,2.438520335775583,2.490670048564732,2.1834883728774717,0.580860566958208,-66.69217333214078,66.69217333214078,0,Home,1,1,Home_1_1_0,597,643,23.88,25.72,40.995000000000005,50.97309142857143,44.706900000000005,48.88286857142857,valley,valley,False,False,False,False,False,False,False,True,False,False
B000013,1.4800000000000004,4.582701493643801,4.3305311819164825,-2.163000000000004,-3.751657142857134,0.9449734371577381,1.0582308038284856,3.7076820836845394,3.072395413525592,2.1834883728774717,3.6873101613188766,0.6172653618810529,-69.92003479855501,69.92003479855501,0,Home,1,1,Home_1_1_0,643,680,25.72,27.2,44.706900000000005,48.88286857142857,42.5439,45.13121142857143,valley,valley,False,True,False,False,False,False,False,True,True,False
B000014,1.0,3.7207128864511194,3.702729853969856,-3.4012500000000045,-1.4634571428571448,0.9951667777036094,1.004856695786754,3.748075234098088,3.7194281662537256,3.6873101613188766,3.7023212003293087,0.1614690911476279,-17.637187250768335,17.637187250768335,0,Home,1,1,Home_1_1_0,680,705,27.2,28.2,42.5439,45.13121142857143,39.142649999999996,43.66775428571429,valley,valley,False,True,False,False,False,False,False,True,True,False
B000015,2.080000000000002,5.514262174885805,5.447149942515524,-5.326049999999995,-1.1422057142857085,0.9878293359579569,1.0123206140970096,3.7146400656861354,2.6709221806127226,3.7023212003293087,0.6762578001361502,0.24068266679033815,-69.0269222585967,70.9564348750753,0,Home,1,1,Home_1_1_0,705,757,28.2,30.28,39.142649999999996,43.66775428571429,33.8166,42.52554857142858,valley,direction,False,False,False,False,False,False,False,True,False,False
B000016,2.280000000000001,3.1449572591068753,3.056911131928451,1.9021499999999918,2.3930171428571327,0.9720040306037647,1.0288023182155381,1.6036961329969033,1.3672446427208274,0.6762578001361502,1.4086677542402346,0.19214148271887735,-48.41495059295667,105.75441823022985,0,Home,1,1,Home_1_1_0,757,814,30.28,32.56,33.8166,42.52554857142858,35.71874999999999,44.91856571428571,direction,valley,False,False,False,False,False,False,False,True,False,False
B000017,3.0799999999999983,7.594993359267238,7.234735252299085,-3.927149999999987,6.076091428571431,0.952566369721894,1.0497956171725382,3.2802859662548345,2.4523525863579643,1.4086677542402346,3.2767230433867947,0.8925154174712914,73.59847186953972,73.59847186953972,0,Home,1,1,Home_1_1_0,814,891,32.56,35.64,35.71874999999999,44.91856571428571,31.791600000000006,50.99465714285714,valley,valley,False,False,False,False,False,False,False,True,False,False
B000018,3.799999999999997,12.335483319569551,12.190866185609908,-11.024850000000004,5.202874285714287,0.9882763301434475,1.011862744759708,4.287733105462079,3.246497979506517,3.2767230433867947,0.42889561548167243,0.6819676023243285,57.6887918811297,58.92044129943712,0,Home,1,1,Home_1_1_0,891,986,35.64,39.44,31.791600000000006,50.99465714285714,20.766750000000002,56.19753142857143,valley,direction,False,False,False,False,False,False,False,True,False,False
B000019,1.1200000000000045,1.5740401549137013,1.5259285661624582,1.1998499999999979,-0.942771428571433,0.9694343320270118,1.0315293846763998,1.8355702281577129,1.3717206720111756,0.42889561548167243,1.8340898927518188,0.13352298992857084,52.815597599388596,52.815597599388596,0,Home,1,1,Home_1_1_0,986,1014,39.44,40.56,20.766750000000002,56.19753142857143,21.9666,55.25476,direction,valley,False,True,False,False,False,False,False,False,True,False
B000020,1.6400000000000006,2.585347660226418,2.4650830844548235,2.4633000000000003,-0.0937428571428498,0.9534822423994372,1.0487872301465215,1.836142319469478,1.582566223771721,1.8340898927518188,1.303614913168967,0.33948328852578097,56.67835494859147,56.67835494859147,0,Home,1,1,Home_1_1_0,1014,1055,40.56,42.2,21.9666,55.25476,24.4299,55.16101714285715,valley,valley,False,False,False,False,False,False,False,False,False,False
