team,player,period,block_id,frames,start_s,end_s
Home,1,1,Home_1_1_0,1365,0.24,54.8
Home,1,1,Home_1_1_1,1524,85.92,146.84
Home,1,1,Home_1_1_2,410,147.2,163.56
Home,1,1,Home_1_1_3,357,175.64,189.88
Home,1,1,Home_1_1_4,3688,202.48,349.96
Home,1,1,Home_1_1_5,222,354.92,363.76
Home,1,1,Home_1_1_6,411,368.8,385.2
Home,1,1,Home_1_1_7,1191,415.68,463.28
Home,1,1,Home_1_1_8,439,463.64,481.16
Home,1,1,Home_1_1_9,1242,505.64,555.28
Home,1,1,Home_1_1_10,1335,583.16,636.52
Home,1,1,Home_1_1_11,546,636.88,658.68
Home,1,1,Home_1_1_12,32,691.24,692.48
Home,1,1,Home_1_1_13,1405,728.32,784.48
Home,1,1,Home_1_1_14,1732,806.04,875.28
Home,1,1,Home_1_1_15,488,999.4,1018.88
Home,1,1,Home_1_1_16,221,1019.24,1028.04
Home,1,1,Home_1_1_17,2034,1061.96,1143.28
Home,1,1,Home_1_1_18,1572,1151.72,1214.56
Home,1,1,Home_1_1_19,1962,1214.92,1293.36
Home,1,1,Home_1_1_20,508,1293.72,1314.0
Home,1,1,Home_1_1_21,1423,1366.64,1423.52
Home,1,1,Home_1_1_22,175,1461.6,1468.56
Home,1,1,Home_1_1_23,1254,1475.4,1525.52
Home,1,1,Home_1_1_24,4326,1525.88,1698.88
Home,1,1,Home_1_1_25,234,1699.24,1708.56
Home,1,1,Home_1_1_26,1149,1724.72,1770.64
Home,1,1,Home_1_1_27,585,1771.0,1794.36
Home,1,1,Home_1_1_28,713,1804.76,1833.24
Home,1,1,Home_1_1_29,158,1833.6,1839.88
Home,1,1,Home_1_1_30,18,1859.6,1860.28
Home,2,1,Home_2_1_0,1365,0.24,54.8
Home,2,1,Home_2_1_1,1524,85.92,146.84
Home,2,1,Home_2_1_2,410,147.2,163.56
Home,2,1,Home_2_1_3,357,175.64,189.88
Home,2,1,Home_2_1_4,3688,202.48,349.96
Home,2,1,Home_2_1_5,222,354.92,363.76
Home,2,1,Home_2_1_6,411,368.8,385.2
Home,2,1,Home_2_1_7,1191,415.68,463.28
Home,2,1,Home_2_1_8,439,463.64,481.16
Home,2,1,Home_2_1_9,1242,505.64,555.28
Home,2,1,Home_2_1_10,1335,583.16,636.52
Home,2,1,Home_2_1_11,546,636.88,658.68
Home,2,1,Home_2_1_12,32,691.24,692.48
Home,2,1,Home_2_1_13,1405,728.32,784.48
Home,2,1,Home_2_1_14,1732,806.04,875.28
Home,2,1,Home_2_1_15,488,999.4,1018.88
Home,2,1,Home_2_1_16,221,1019.24,1028.04
Home,2,1,Home_2_1_17,2034,1061.96,1143.28
Home,2,1,Home_2_1_18,1572,1151.72,1214.56
Home,2,1,Home_2_1_19,1962,1214.92,1293.36
Home,2,1,Home_2_1_20,508,1293.72,1314.0
Home,2,1,Home_2_1_21,1423,1366.64,1423.52
Home,2,1,Home_2_1_22,175,1461.6,1468.56
Home,2,1,Home_2_1_23,1254,1475.4,1525.52
Home,2,1,Home_2_1_24,4326,1525.88,1698.88
Home,2,1,Home_2_1_25,234,1699.24,1708.56
Home,2,1,Home_2_1_26,1149,1724.72,1770.64
Home,2,1,Home_2_1_27,585,1771.0,1794.36
Home,2,1,Home_2_1_28,713,1804.76,1833.24
Home,2,1,Home_2_1_29,158,1833.6,1839.88
Home,2,1,Home_2_1_30,18,1859.6,1860.28
Home,2,1,Home_2_1_31,1128,1886.04,1931.12
Home,2,1,Home_2_1_32,2081,1936.36,2019.56
Home,2,1,Home_2_1_33,581,2019.92,2043.12
Home,2,1,Home_2_1_34,136,2043.48,2048.88
Home,2,1,Home_2_1_35,1800,2058.64,2130.6
