case_id,reason,block_id,team,player,period,start_frame,end_frame,start_s,end_s,path_m,displacement_m,directness,peak_speed_mps,turning_deg
chronological_01,chronological,metrica:Away:16|P1|S001|O002,Away,16,1,203,353,8.12,14.12,7.97961281418028,7.7097427415511115,0.9661800542315045,2.3585148647713017,110.88127454125961
chronological_02,chronological,metrica:Home:1|P1|S002|O009,Home,1,1,27803,27953,1112.12,1118.12,4.600404841216177,3.4583466276431287,0.7517483236820675,1.061269470508137,238.92725044856266
chronological_03,chronological,metrica:Away:20|P1|S002|O009,Away,20,1,42748,42898,1709.92,1715.92,9.421197617004122,7.40445290165441,0.7859354195362879,2.1771446150298854,123.25324389832761
chronological_04,chronological,metrica:Home:9|P1|S003|O019,Home,9,1,65265,65415,2610.6,2616.6,15.095318604517495,11.207528952843193,0.7424506395969129,3.743462710182242,215.4103625071977
chronological_05,chronological,metrica:Away:17|P2|S001|O016,Away,17,2,89667,89817,3586.68,3592.68,5.781307795455334,3.0793028226986037,0.5326308391881908,1.455980635945741,303.36488922870126
chronological_06,chronological,metrica:Home:9|P2|S005|O011,Home,9,2,107895,108045,4315.8,4321.8,8.780450689514243,3.056663710714673,0.34812150523947366,3.9382268621335204,263.6756113980779
chronological_07,chronological,metrica:Home:3|P2|S004|O015,Home,3,2,124866,125016,4994.64,5000.64,2.4695957409871037,2.1772624993072873,0.8816270870458458,0.8466866702643735,68.94101249353858
chronological_08,chronological,metrica:Home:12|P2|S007|O001,Home,12,2,140804,140954,5632.16,5638.16,0.0,0.0,,0.0,0.0
direct,direct,metrica:Away:16|P1|S001|O002,Away,16,1,191,291,7.64,11.64,3.853787842839768,3.67029774469932,0.9523870784736198,2.3585148647713017,32.81275637266341
direction_change,direction_change,metrica:Away:16|P1|S001|O002,Away,16,1,256,356,10.24,14.24,7.092772606448416,6.835932615902618,0.963788492202289,2.3585148647713017,105.54290307815906
low_speed,low_speed,metrica:Away:16|P1|S001|O002,Away,16,1,56,156,2.24,6.24,2.464605532927715,2.355776070264884,0.9558430502533393,1.369990095674047,40.069572089603646
discontinuity,frozen_stage_a_discontinuity,,Away,26,1,1,67941,0.04,2717.64,,,,,
