window_s,observable,denominator,signed_bias,absolute_signed_bias,median_absolute_error,p95_absolute_error,max_absolute_error,pass,relative_denominator,median_relative_error,p95_relative_error,validity_mismatch_count,numerator,match_rate
1,delta_x_m,557856,0.0000000000000000052246099990878446,0.0000000000000000052246099990878446,0,0.00000000000017408297026122455,0.000000000004554578936222242,true,,,,,,
1,delta_y_m,557856,-0.000000000000000017383099630290533,0.000000000000000017383099630290533,0,0.00000000000016608936448392342,0.000000000004985345469776803,true,,,,,,
1,path_length_m,557856,-0.00041014195183621,0.00041014195183621,0.00008544265159105002,0.0013548686688985428,0.4900502101195716,true,389520,0.00003214569920230883,0.0005886352100862542,,,
1,straightness,557058,0.0005042781816506019,0.0005042781816506019,0.000057875570071974636,0.0022131603214799525,0.17224031659004024,true,,,,0,,
1,eligibility,557856,,,,,,true,,,,,557856,1
2,delta_x_m,557631,0.000000000000000012290613400066603,0.000000000000000012290613400066603,0,0.00000000000031358249330537546,0.0000000000044995118742008344,true,,,,,,
2,delta_y_m,557631,-0.00000000000000004115275103156135,0.00000000000000004115275103156135,0,0.0000000000002886579864025407,0.000000000005005329484220056,true,,,,,,
2,path_length_m,557631,-0.0008197285328064908,0.0008197285328064908,0.0002340583954603126,0.002451530082268949,0.4912881902912005,true,490731,0.00005928937552694096,0.0008894476320086204,,,
2,straightness,556903,0.0003908814510314158,0.0003908814510314158,0.00007611874825796949,0.0015729866560536768,0.10792370648108252,true,,,,0,,
2,eligibility,557631,,,,,,true,,,,,557631,1
4,delta_x_m,557181,0.000000000000000034996116835968264,0.000000000000000034996116835968264,0,0.000000000000499711383383783,0.0000000000059827698351000436,true,,,,,,
4,delta_y_m,557181,-0.0000000000000000980641736131399,0.0000000000000000980641736131399,0,0.00000000000043876013933186186,0.000000000005496048061104375,true,,,,,,
4,path_length_m,557181,-0.0016382245070685525,0.0016382245070685525,0.0006689175259175784,0.004276090213241823,0.4915797844647152,true,530504,0.0001036528723166184,0.000932925937734334,,,
4,straightness,556578,0.00029225041623556487,0.00029225041623556487,0.00009957929914966579,0.001152350476745641,0.04909821086752231,true,,,,0,,
4,eligibility,557181,,,,,,true,,,,,557181,1
