match_id,team_key,player_key,period,first_observed_frame,last_observed_frame,period_start_frame,period_end_frame,first_observed_time_match_s,last_observed_time_match_s,total_canonical_rows,observed_valid_rows,unsupported_rows,coordinate_valid_rows,coordinate_invalid_rows,present_rows,absent_rows,internal_unsupported_gaps,starts_after_period_start,ends_before_period_end,finite_out_of_bounds_rows
metrica:sample-game-2,metrica:Away,metrica:Away:15,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,250
metrica:sample-game-2,metrica:Away,metrica:Away:15,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,2053
metrica:sample-game-2,metrica:Away,metrica:Away:16,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,119
metrica:sample-game-2,metrica:Away,metrica:Away:16,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,294
metrica:sample-game-2,metrica:Away,metrica:Away:17,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,0
metrica:sample-game-2,metrica:Away,metrica:Away:17,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,0
metrica:sample-game-2,metrica:Away,metrica:Away:18,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,548
metrica:sample-game-2,metrica:Away,metrica:Away:18,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,934
metrica:sample-game-2,metrica:Away,metrica:Away:19,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,63
metrica:sample-game-2,metrica:Away,metrica:Away:19,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,632
metrica:sample-game-2,metrica:Away,metrica:Away:20,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,297
metrica:sample-game-2,metrica:Away,metrica:Away:20,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,381
metrica:sample-game-2,metrica:Away,metrica:Away:21,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,92
metrica:sample-game-2,metrica:Away,metrica:Away:21,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,230
metrica:sample-game-2,metrica:Away,metrica:Away:22,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,724
metrica:sample-game-2,metrica:Away,metrica:Away:22,2,67942,87985,67942,141156,2717.6799999999998,3519.4000000000001,73215,20044,53171,20044,53171,20044,53171,0,False,True,860
metrica:sample-game-2,metrica:Away,metrica:Away:23,1,1,67941,1,67941,0.040000000000000001,2717.6399999999999,67941,67941,0,67941,0,67941,0,0,False,False,168
metrica:sample-game-2,metrica:Away,metrica:Away:23,2,67942,141156,67942,141156,2717.6799999999998,5646.2399999999998,73215,73215,0,73215,0,73215,0,0,False,False,284
