fixture,hz,change_count,change_times_s,oracle_match,required_pass
constant,25,0,,True,True
low_speed,25,0,,True,True
low_motion,25,0,,True,True
brief_slowdown,25,0,,True,True
speed_change,25,1,3.000000,True,True
turn,25,1,3.000000,True,True
stop_restart,25,2,2.000000;3.000000,True,True
arc,25,2,1.960000;3.840000,True,True
wander,25,4,1.200000;2.400000;3.600000;4.800000,True,True
invalid_gap,25,0,,True,True
constant,10,0,,True,True
low_speed,10,0,,True,True
low_motion,10,0,,True,True
brief_slowdown,10,0,,True,True
speed_change,10,1,3.000000,True,True
turn,10,1,3.000000,True,True
stop_restart,10,2,1.900000;3.100000,True,True
arc,10,1,3.000000,True,True
wander,10,4,1.200000;2.400000;3.600000;4.800000,True,True
invalid_gap,10,0,,True,True
