block_id,player_key,team_key,period,raw_rows,velocity_observations_25hz,status,raw_start_s,raw_end_s
B0001,metrica:Away:15,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0002,metrica:Away:15,metrica:Away,2,73738,73731,segmented,2850.76,5800.24
B0003,metrica:Away:16,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0004,metrica:Away:16,metrica:Away,2,73738,73731,segmented,2850.76,5800.24
B0005,metrica:Away:17,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0006,metrica:Away:17,metrica:Away,2,73738,73731,segmented,2850.76,5800.24
B0007,metrica:Away:18,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0008,metrica:Away:18,metrica:Away,2,73738,73731,segmented,2850.76,5800.24
B0009,metrica:Away:19,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0010,metrica:Away:19,metrica:Away,2,48113,48106,segmented,2850.76,4775.24
B0011,metrica:Away:20,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0012,metrica:Away:20,metrica:Away,2,73738,73731,segmented,2850.76,5800.24
B0013,metrica:Away:21,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0014,metrica:Away:21,metrica:Away,2,73738,73731,segmented,2850.76,5800.24
B0015,metrica:Away:22,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0016,metrica:Away:23,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0017,metrica:Away:23,metrica:Away,2,73738,73731,segmented,2850.76,5800.24
B0018,metrica:Away:24,metrica:Away,1,71268,71261,segmented,0.04,2850.72
B0019,metrica:Away:24,metrica:Away,2,35331,35324,segmented,2850.76,4263.96
B0020,metrica:Away:26,metrica:Away,2,38408,38401,segmented,4263.96,5800.24
B0021,metrica:Away:27,metrica:Away,2,38138,38131,segmented,4274.76,5800.24
B0022,metrica:Away:28,metrica:Away,2,25626,25619,segmented,4775.24,5800.24
B0023,metrica:Home:1,metrica:Home,1,46706,46699,segmented,0.04,1868.24
B0024,metrica:Home:10,metrica:Home,1,2910,2903,segmented,0.04,116.4
B0025,metrica:Home:10,metrica:Home,1,68323,68316,segmented,117.84,2850.72
B0026,metrica:Home:10,metrica:Home,2,50124,50117,segmented,2850.76,4855.68
B0027,metrica:Home:12,metrica:Home,1,24563,24556,segmented,1868.24,2850.72
B0028,metrica:Home:12,metrica:Home,2,73738,73731,segmented,2850.76,5800.24
B0029,metrica:Home:13,metrica:Home,2,34158,34151,segmented,4433.96,5800.24
B0030,metrica:Home:14,metrica:Home,2,23615,23608,segmented,4855.68,5800.24
B0031,metrica:Home:2,metrica:Home,1,71268,71261,segmented,0.04,2850.72
B0032,metrica:Home:2,metrica:Home,2,73738,73731,segmented,2850.76,5800.24
B0033,metrica:Home:3,metrica:Home,1,71268,71261,segmented,0.04,2850.72
B0034,metrica:Home:4,metrica:Home,1,71268,71261,segmented,0.04,2850.72
B0035,metrica:Home:4,metrica:Home,2,73738,73731,segmented,2850.76,5800.24
B0036,metrica:Home:5,metrica:Home,1,71268,71261,segmented,0.04,2850.72
B0037,metrica:Home:5,metrica:Home,2,73738,73731,segmented,2850.76,5800.24
B0038,metrica:Home:6,metrica:Home,1,71268,71261,segmented,0.04,2850.72
B0039,metrica:Home:6,metrica:Home,2,39581,39574,segmented,2850.76,4433.96
B0040,metrica:Home:7,metrica:Home,1,71268,71261,segmented,0.04,2850.72
B0041,metrica:Home:7,metrica:Home,2,73738,73731,segmented,2850.76,5800.24
B0042,metrica:Home:8,metrica:Home,1,71268,71261,segmented,0.04,2850.72
B0043,metrica:Home:8,metrica:Home,2,73738,73731,segmented,2850.76,5800.24
B0044,metrica:Home:9,metrica:Home,1,71268,71261,segmented,0.04,2850.72
B0045,metrica:Home:9,metrica:Home,2,73738,73731,segmented,2850.76,5800.24
