estimand,estimate,ci_low,ci_high,valid,attempted
D1,0.13396824269690305,0.10171910244966423,0.16786289869722817,2000,2000
D2,0.0490880475923191,0.020433171236711227,0.07808261987583429,2000,2000
D3,0.03697355526799845,0.014380464190639307,0.058086729646475925,2000,2000
D4,0.049299894543605505,0.023773213440160288,0.07284453391462403,2000,2000
D5,0.043852459001060495,0.016375832314492297,0.07094908233072297,2000,2000
D6,0.03958340141370828,0.012818558278716426,0.06568344281673796,2000,2000
D7,0.05396907611114752,0.027297693898832215,0.08043666906819759,2000,2000
D8,0.050136421529791225,0.024248723432136556,0.07668311646057382,2000,2000
D9,0.06835858534663329,0.042256742651772504,0.0940178118010224,2000,2000
D10,0.08274238067813998,0.05340143094755742,0.11047318661149136,2000,2000
near,0.07334328185240686,0.051381620591245625,0.09600067788342269,2000,2000
middle,0.04667620776738045,0.02607689201313683,0.06615176808679295,2000,2000
far,0.06707912918485483,0.044224734959131456,0.09062781804130243,2000,2000
near_minus_middle,0.026667074085026415,0.011343018841267717,0.04486639357623494,2000,2000
