estimand,estimate,ci_low,ci_high,valid,attempted
D1,0.1299619183559273,0.10014475592616538,0.16121726374594303,2000,2000
D2,0.051262924247080954,0.023385365618207858,0.07873083022370833,2000,2000
D3,0.03389378105850796,0.010286202832753506,0.056244139451347375,2000,2000
D4,0.05072393505163547,0.026878021514419648,0.07247068455312065,2000,2000
D5,0.042163874117337435,0.015558441787789257,0.06850146251804637,2000,2000
D6,0.04018525771777359,0.014783930396729258,0.06433988174501518,2000,2000
D7,0.055931584334645526,0.028330780065894928,0.0840742119164912,2000,2000
D8,0.04870123340522298,0.020726178131651615,0.07539087575687721,2000,2000
D9,0.06636539269405001,0.04064255417301942,0.09101609925935733,2000,2000
D10,0.08130073508538715,0.05174100140027878,0.10972038671485156,2000,2000
near,0.07170620788717207,0.05176771990743448,0.09264522714214662,2000,2000
middle,0.04725116280534801,0.028068971180003816,0.06541477592058324,2000,2000
far,0.06545578706155337,0.043007480983156515,0.08759798865013851,2000,2000
near_minus_middle,0.024455045081824056,0.00901276779163154,0.04024940205331008,2000,2000
