distance_rank,parallel_m,parallel_m,orthogonal_m,orthogonal_m,radial_m,radial_m
,count,median,count,median,count,median
1,1154,0.26642378297235436,1154,0.024006162253505506,1180,0.12007629997058974
2,1154,0.1355173100824939,1154,0.07214472761705223,1182,0.08536706707374764
3,1154,0.09657081492487957,1154,-0.04584076997917119,1182,-0.08393804838025869
4,1154,0.14718525161588575,1154,-0.09738662409143194,1182,0.11863618730371765
5,1154,0.032897886983204755,1154,-0.060057023712358985,1182,0.12595155651258796
6,1154,-0.10157127357534662,1154,0.006149006439335719,1182,0.24216069368953214
7,1154,-0.16038181773028826,1154,0.0007347886106826851,1182,0.2710907156839262
8,1154,-0.17109581538405547,1154,-0.03978561215937443,1182,0.17545147688438523
9,1154,-0.35454699450728766,1154,0.012608204294175293,1182,0.3416930573541341
10,1154,-0.3691238578954177,1154,0.13523916507141587,1182,0.320328473693511
