period,time_period_s,attacker_key,reason
1,2.04,metrica:Away:15,restart_or_ball_out_span
1,2.04,metrica:Away:16,restart_or_ball_out_span
1,2.04,metrica:Away:17,restart_or_ball_out_span
1,2.04,metrica:Away:18,restart_or_ball_out_span
1,2.04,metrica:Away:19,restart_or_ball_out_span
1,2.04,metrica:Away:20,restart_or_ball_out_span
1,2.04,metrica:Away:21,restart_or_ball_out_span
1,2.04,metrica:Away:22,restart_or_ball_out_span
1,2.04,metrica:Away:23,restart_or_ball_out_span
1,2.04,metrica:Away:24,restart_or_ball_out_span
1,2.04,metrica:Away:26,restart_or_ball_out_span
1,6.04,metrica:Away:15,attacker_complete_support_unavailable
1,6.04,metrica:Away:16,complete_ten_defenders_unavailable
1,6.04,metrica:Away:17,attacker_complete_support_unavailable
1,6.04,metrica:Away:18,complete_ten_defenders_unavailable
1,6.04,metrica:Away:19,complete_ten_defenders_unavailable
1,6.04,metrica:Away:20,attacker_complete_support_unavailable
1,6.04,metrica:Away:21,complete_ten_defenders_unavailable
1,6.04,metrica:Away:22,complete_ten_defenders_unavailable
1,6.04,metrica:Away:23,complete_ten_defenders_unavailable
1,6.04,metrica:Away:24,complete_ten_defenders_unavailable
1,6.04,metrica:Away:26,attacker_complete_support_unavailable
1,10.04,metrica:Away:15,attacker_complete_support_unavailable
1,10.04,metrica:Away:16,complete_ten_defenders_unavailable
1,10.04,metrica:Away:17,attacker_complete_support_unavailable
1,10.04,metrica:Away:18,complete_ten_defenders_unavailable
1,10.04,metrica:Away:19,complete_ten_defenders_unavailable
1,10.04,metrica:Away:20,attacker_complete_support_unavailable
1,10.04,metrica:Away:21,complete_ten_defenders_unavailable
1,10.04,metrica:Away:22,complete_ten_defenders_unavailable
1,10.04,metrica:Away:23,complete_ten_defenders_unavailable
1,10.04,metrica:Away:24,complete_ten_defenders_unavailable
1,10.04,metrica:Away:26,attacker_complete_support_unavailable
1,14.04,metrica:Away:15,attacker_complete_support_unavailable
1,14.04,metrica:Away:16,complete_ten_defenders_unavailable
1,14.04,metrica:Away:17,attacker_complete_support_unavailable
1,14.04,metrica:Away:18,complete_ten_defenders_unavailable
1,14.04,metrica:Away:19,complete_ten_defenders_unavailable
1,14.04,metrica:Away:20,attacker_complete_support_unavailable
1,14.04,metrica:Away:21,complete_ten_defenders_unavailable
1,14.04,metrica:Away:22,complete_ten_defenders_unavailable
1,14.04,metrica:Away:23,complete_ten_defenders_unavailable
1,14.04,metrica:Away:24,complete_ten_defenders_unavailable
1,14.04,metrica:Away:26,attacker_complete_support_unavailable
1,18.04,metrica:Away:15,attacker_complete_support_unavailable
1,18.04,metrica:Away:16,complete_ten_defenders_unavailable
1,18.04,metrica:Away:17,attacker_complete_support_unavailable
1,18.04,metrica:Away:18,complete_ten_defenders_unavailable
1,18.04,metrica:Away:19,complete_ten_defenders_unavailable
