distance_rank,count,mean,std,min,10%,25%,50%,75%,90%,max
1,1182.0,6.777735754486598,4.121673142565161,0.0,2.1503757711037625,3.8182763271551554,5.950356840774855,9.044595993839756,12.475627601848517,26.083893233894244
2,1182.0,11.76466243605695,5.08638138650093,1.1808430819701403,5.871545904084778,7.920955096058179,10.89899654107243,15.102961231255223,18.642710667277022,29.12380926832553
3,1182.0,15.763242201569179,6.141385571981086,3.8130242007573476,8.899457123590677,11.189140136414029,14.853977758811542,19.67589399166932,24.105007505774218,44.4015484340993
4,1182.0,18.723243290143838,6.649414505233198,4.430404741993619,11.017843604243453,13.756005862770694,17.91866649288591,23.233242305876097,27.401954093791097,45.00047197571591
5,1182.0,21.66867511324795,6.876606722838449,5.978610761339125,13.312654143066323,16.384671499092796,21.0796804007651,26.219030514410363,30.64788835124018,47.85594853917745
6,1182.0,24.726954209143358,7.214818783080015,7.303748927119548,15.909265500752525,19.147972191014297,24.272558864541047,29.60623829967788,34.20610518679209,48.98201563786539
7,1182.0,27.49125477851358,7.335246665704015,10.17613464221919,18.301224641007302,22.223492119838376,27.18387450793901,32.624276828201495,36.976102271019435,54.012076149913014
8,1182.0,30.52767342181982,7.710272065543054,10.452487400480036,20.44920457479872,25.087854387436437,30.504670073015717,35.92325590367366,39.858804996276746,55.67667686618686
9,1182.0,33.780444881622685,8.185344321696412,11.718364545055609,23.052160182601302,27.628140391375318,34.05561747625936,39.52190439231359,43.890433137337446,63.74730568504884
10,1182.0,37.688951712767334,8.828887879328946,12.789816819035755,25.76426218810879,31.365331043213306,37.76309758282233,43.59434660146386,48.945357098432936,64.63990365500126
