family,rank,estimate
cross,1,0.021753280540818348
cross,2,0.0087697356608836194
cross,3,0.011203505647960355
cross,4,0.016567917418415012
cross,5,0.010149406048931844
cross,6,0.010665513859932876
cross,7,0.011785984720903066
cross,8,0.0062494765857890669
cross,9,0.014462902464200962
cross,10,0.024077860249867016
absolute,1,0.32504787348112152
absolute,2,0.27007023992123624
absolute,3,0.25845493112225038
absolute,4,0.24424277007026884
absolute,5,0.22943595478179121
absolute,6,0.21605450364565126
absolute,7,0.2203832833055378
absolute,8,0.20664378710426609
absolute,9,0.20162179116629056
absolute,10,0.21334837257321299
deformation,1,0.099311825872388265
deformation,2,0.050220047045480068
deformation,3,0.047247508273503269
deformation,4,0.05205781089170583
deformation,5,0.051003348625788925
deformation,6,0.049567122744845427
deformation,7,0.054085884189607442
deformation,8,0.046970056238524543
deformation,9,0.058816571515472815
deformation,10,0.05705369106727088
