method,rank,estimate
primary,1,0.073052039523548454
primary,2,0.090926408300682951
primary,3,-0.017873585319775245
primary,4,-0.030365591990484164
primary,5,-0.014375783869791325
primary,6,-0.016845154291869439
primary,7,0.024201774166635319
primary,8,-0.014237477457665043
primary,9,0.0011984932024445283
primary,10,-0.012125861532300705
sensitivity,1,0.07255674563485312
sensitivity,2,0.092260271753351275
sensitivity,3,-0.018524230988135201
sensitivity,4,-0.030080012964405878
sensitivity,5,-0.014575807054878043
sensitivity,6,-0.01742089271997467
sensitivity,7,0.023847398740730344
sensitivity,8,-0.014465039046637512
sensitivity,9,0.0013864518271647919
sensitivity,10,-0.011586868901103435
raw,1,0.073652267099563282
raw,2,0.090829772840239534
raw,3,-0.018575695501640899
raw,4,-0.02905160071014945
raw,5,-0.01478957331185482
raw,6,-0.016906890229998618
raw,7,0.022914273221755779
raw,8,-0.014543278342855417
raw,9,0.0012706653187736366
raw,10,-0.011725424267612305
rolling7,1,0.073222920218005291
rolling7,2,0.091458168046949062
rolling7,3,-0.018072710407867315
rolling7,4,-0.029710035249461142
rolling7,5,-0.014862233186563101
rolling7,6,-0.016912605620279228
rolling7,7,0.023528495476087
rolling7,8,-0.014064238453137978
rolling7,9,0.0015384298813025249
rolling7,10,-0.011782537286908965
