match_id,variable,distance_rank,n,median,q1,q3
J03WMX,attacker_abs_lateral_offset_from_centroid_m,1,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,2,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,3,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,4,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,5,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,6,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,7,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,8,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,9,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_abs_lateral_offset_from_centroid_m,10,12353,9.76885720662,4.63528571129,16.3871424368
J03WMX,attacker_defender_start_distance_m,1,12353,5.59914003016,3.24750609124,9.11671062243
J03WMX,attacker_defender_start_distance_m,2,12353,10.520231663,7.23764602128,15.2572369745
J03WMX,attacker_defender_start_distance_m,3,12353,14.1503046024,10.2793696459,19.6012647029
J03WMX,attacker_defender_start_distance_m,4,12353,17.2845009578,12.8798927428,23.3586234934
J03WMX,attacker_defender_start_distance_m,5,12353,20.4142869223,15.4866339473,26.744691605
J03WMX,attacker_defender_start_distance_m,6,12353,23.322889348,18.0254755883,29.9096611762
J03WMX,attacker_defender_start_distance_m,7,12353,26.6366450987,20.8414164714,33.1140447462
J03WMX,attacker_defender_start_distance_m,8,12353,30.1319041091,24.0438937409,36.3980266201
J03WMX,attacker_defender_start_distance_m,9,12353,33.5864760351,27.2704120038,39.8855857183
J03WMX,attacker_defender_start_distance_m,10,12353,38.2146960983,31.7452226327,44.6088372691
J03WMX,attacker_goalward_offset_from_centroid_m,1,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,2,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,3,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,4,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,5,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,6,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,7,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,8,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,9,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,attacker_goalward_offset_from_centroid_m,10,12353,-6.61171408381,-15.4135714156,3.82385714054
J03WMX,ball_abs_lateral_offset_from_centroid_m,1,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,2,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,3,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,4,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,5,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,6,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,7,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,8,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,9,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_abs_lateral_offset_from_centroid_m,10,12353,12.3549982412,5.87385695917,17.9447140268
J03WMX,ball_defender_distance_m,1,12353,22.9881191057,13.52306885,34.5390270555
J03WMX,ball_defender_distance_m,2,12353,21.842017191,13.0925547609,32.8204211048
J03WMX,ball_defender_distance_m,3,12353,20.8407719789,12.830444104,31.5574434104
J03WMX,ball_defender_distance_m,4,12353,21.0283446059,13.0694077784,31.1083562668
J03WMX,ball_defender_distance_m,5,12353,21.4756869854,13.6601495051,31.4575813892
J03WMX,ball_defender_distance_m,6,12353,21.6410207794,13.6601495051,31.9922292074
J03WMX,ball_defender_distance_m,7,12353,23.041297957,14.0099458156,33.4595315624
J03WMX,ball_defender_distance_m,8,12353,24.8288116804,14.6914642462,35.0328395711
J03WMX,ball_defender_distance_m,9,12353,27.8124966108,15.1076175599,37.3969066069
J03WMX,ball_defender_distance_m,10,12353,31.19686799,15.5195012001,42.7890805925
J03WMX,ball_goalward_offset_from_centroid_m,1,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,2,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,3,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,4,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,5,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,6,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,7,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,8,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,9,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,ball_goalward_offset_from_centroid_m,10,12353,-3.31099974769,-15.174714429,8.87714293344
J03WMX,defender_abs_lateral_offset_from_centroid_m,1,12353,8.53514302799,4.11642857449,14.7877141782
J03WMX,defender_abs_lateral_offset_from_centroid_m,2,12353,7.42699990613,3.70071433719,12.9057143538
J03WMX,defender_abs_lateral_offset_from_centroid_m,3,12353,6.91614286133,3.45085690532,11.927285707
J03WMX,defender_abs_lateral_offset_from_centroid_m,4,12353,6.59200006425,3.14800003597,11.7101427346
J03WMX,defender_abs_lateral_offset_from_centroid_m,5,12353,6.51185720648,3.00214287929,11.8797143074
J03WMX,defender_abs_lateral_offset_from_centroid_m,6,12353,6.97071427618,3.64542849745,12.0022857555
J03WMX,defender_abs_lateral_offset_from_centroid_m,7,12353,8.27442869459,4.50699996693,13.2592857974
J03WMX,defender_abs_lateral_offset_from_centroid_m,8,12353,9.02785732065,5.26971450193,13.9904285899
J03WMX,defender_abs_lateral_offset_from_centroid_m,9,12353,12.1405716172,6.68671439035,17.1285714839
J03WMX,defender_abs_lateral_offset_from_centroid_m,10,12353,17.1684288012,11.1860000644,21.898714229
J03WMX,defender_centroid_distance_m,1,12353,15.4969348208,10.4232758072,19.9544009887
J03WMX,defender_centroid_distance_m,2,12353,13.5411545965,9.04962563483,18.2800018912
J03WMX,defender_centroid_distance_m,3,12353,11.669136626,7.28130016525,17.4523322725
J03WMX,defender_centroid_distance_m,4,12353,11.0423490228,6.41207328148,17.0632894756
J03WMX,defender_centroid_distance_m,5,12353,11.2704544967,6.58558590544,16.8532918853
J03WMX,defender_centroid_distance_m,6,12353,11.9069780206,7.79877291211,17.1775930857
J03WMX,defender_centroid_distance_m,7,12353,13.9459235764,10.0105130971,18.3103916337
J03WMX,defender_centroid_distance_m,8,12353,15.7402054856,12.4407869985,19.3606572778
J03WMX,defender_centroid_distance_m,9,12353,18.0569503542,14.9272330504,21.2797861382
J03WMX,defender_centroid_distance_m,10,12353,21.7961389652,18.3675660314,26.0499553144
J03WMX,defender_fixed_x_m,1,12353,2.09142856938,-13.7685714449,18.5271429334
J03WMX,defender_fixed_x_m,2,12353,2.23428571224,-13.9399999891,19.1128575461
J03WMX,defender_fixed_x_m,3,12353,2.24714285987,-13.9528570175,19.5485714504
J03WMX,defender_fixed_x_m,4,12353,2.68285710471,-13.6599999837,19.9857142312
J03WMX,defender_fixed_x_m,5,12353,2.52000004905,-13.729999951,20.3157144274
J03WMX,defender_fixed_x_m,6,12353,2.84571429661,-13.6557143075,19.4914286477
J03WMX,defender_fixed_x_m,7,12353,3.6200000218,-13.8214285714,20.5057144165
J03WMX,defender_fixed_x_m,8,12353,3.92285714831,-14.3228571756,19.8899999346
J03WMX,defender_fixed_x_m,9,12353,3.51857141086,-13.2485713959,18.855714798
J03WMX,defender_fixed_x_m,10,12353,3.61571417536,-11.4371430533,18.5699999673
J03WMX,defender_fixed_y_m,1,12353,0.00857142731547,-11.3199999673,10.9099998474
J03WMX,defender_fixed_y_m,2,12353,-0.694285714201,-11,10.2385713032
