heldout_match_id,context,estimate_m_per_m,sign,rows,model_rank
J03WMX,attacker_minus_unit_goalward_m,-0.009685156342467128,-1,53955,12
J03WMX,attacker_ball_distance_start_m,-0.007246444531644077,-1,53955,12
J03WN1,attacker_minus_unit_goalward_m,-0.01001532038818175,-1,60537,12
J03WN1,attacker_ball_distance_start_m,-0.007701626660972828,-1,60537,12
J03WOH,attacker_minus_unit_goalward_m,-0.010597530783689926,-1,54952,12
J03WOH,attacker_ball_distance_start_m,-0.007702827932888629,-1,54952,12
J03WOY,attacker_minus_unit_goalward_m,-0.009589241338439336,-1,54708,12
J03WOY,attacker_ball_distance_start_m,-0.007645638072439121,-1,54708,12
J03WPY,attacker_minus_unit_goalward_m,-0.010612747698346294,-1,53892,12
J03WPY,attacker_ball_distance_start_m,-0.007722892638844082,-1,53892,12
J03WQQ,attacker_minus_unit_goalward_m,-0.010493789969380768,-1,56123,12
J03WQQ,attacker_ball_distance_start_m,-0.007285678504192118,-1,56123,12
J03WR9,attacker_minus_unit_goalward_m,-0.010119684236531333,-1,54663,12
J03WR9,attacker_ball_distance_start_m,-0.007459017817465248,-1,54663,12
