replicate,absolute_improvement_mps,relative_improvement_percent
0,-0.000664909036478,-0.0914516178176
1,-0.000377700813156,-0.0515177797152
2,-0.000160355475582,-0.0222270476238
3,-0.000152227270477,-0.0208510114608
4,-0.000604557330928,-0.0801733502503
5,-0.000533032139473,-0.0733690323018
6,-0.00028899028978,-0.0394242520614
7,-0.000295207233607,-0.0403971825473
8,-0.00028825309678,-0.0404270712851
9,-0.000190098587452,-0.0260090637141
10,-0.000381328763593,-0.052516027375
11,-0.000528022384679,-0.0739705502533
12,-0.000710671923333,-0.0982230587679
13,-0.000280280707121,-0.0383022771895
14,-0.000429556633766,-0.0592104756148
15,-0.000194353029032,-0.0263497954342
16,-0.000574219824756,-0.0796715115369
17,-0.000411632883968,-0.0574701947036
18,-0.000593558128054,-0.0804702238589
19,-0.00078402018742,-0.106382504959
20,-0.000652015007928,-0.0891420616111
21,-0.000474127564002,-0.0658438460757
22,-0.000399400772122,-0.0541201060188
23,-0.000360951485092,-0.0504212005146
24,-0.000455016774117,-0.0619162439613
25,-0.000412921424853,-0.0586510945353
26,-0.000623972715184,-0.086400516782
27,-0.000454027630192,-0.062329545185
28,-0.000546160081649,-0.0745994506994
29,-0.000478198809645,-0.064894035065
30,-0.000366159628588,-0.0506396720818
31,-0.000251619373143,-0.0344321256584
32,-0.000492043595301,-0.0676788730676
33,-0.000321212664598,-0.0432853883279
34,-0.000358081555936,-0.0492614519881
35,-0.000460006541655,-0.0623578514323
36,-0.00055393942973,-0.0750069190615
37,-0.000529457333523,-0.0719355848574
38,-0.000449520502755,-0.0622366684908
39,-0.00063439026468,-0.0866639457874
40,-0.000669644113782,-0.0947184276376
41,-0.000578225826585,-0.0793780961354
42,-0.000673922067893,-0.0936425485487
43,-0.000300547645825,-0.0415579052058
44,-0.000190300726688,-0.0253670485801
45,-0.000304016002124,-0.0414978393881
46,-0.000185528084023,-0.0252468381001
47,-0.000336027856795,-0.0472140989188
48,-0.000505183963535,-0.0703940770095
49,-0.000343382229185,-0.0489763362454
50,-0.000388638993456,-0.0528323912214
51,-0.000338515977777,-0.0465399503235
52,-0.000699524986822,-0.0957517792706
53,-0.000358076550932,-0.0489557371759
54,-0.000416528416898,-0.0563984393923
55,-0.000364883615996,-0.0516881268593
56,-0.000476887296625,-0.0666580770896
57,-0.000602872719384,-0.0836731200402
58,-0.000555135482099,-0.0769579750088
59,-0.000486588224009,-0.0661737548333
60,-0.000376068142958,-0.0515607540812
61,-0.000582994514257,-0.0802619252517
62,-0.000432835396535,-0.0595346318746
63,-0.000624612895915,-0.0861455183567
64,-0.000312937315798,-0.043451685398
65,-0.00029049371474,-0.0401581776472
66,-0.000576027992541,-0.0778785728758
67,-0.000399122225454,-0.0556740376579
68,-0.000609374763302,-0.0825854693005
69,-0.000501138439907,-0.068876229418
70,-0.000388404873555,-0.0522820203015
71,-0.000787931631019,-0.110096049233
72,-0.00058390777851,-0.080909677299
73,-0.000200528033876,-0.027301561974
74,-0.000389723973992,-0.054180181206
75,-0.000382335039504,-0.0525707469195
76,-0.000610386215934,-0.0837093036099
77,-0.000328249133062,-0.0459455953272
78,-0.00044692138951,-0.0620458402347
79,-0.000310077226998,-0.0422325553005
80,-0.000582758064714,-0.0822867830212
81,-0.000835417359957,-0.116135660499
82,-0.000577356822676,-0.0795628011418
83,-0.000430780367693,-0.0583775816845
84,-0.000354214612135,-0.0494673916365
85,-0.000515589579412,-0.0711716022186
86,-0.000378820795407,-0.0521512644774
87,-0.000686992159475,-0.0958888323312
88,6.03766860373e-05,0.00840133906074
89,-0.000309099521766,-0.0418470875142
90,-0.000263673467734,-0.0370077947425
91,-0.000483461995442,-0.0655362009475
92,-0.000483040828795,-0.0661780977323
93,-0.000265970504933,-0.0358516656122
94,-0.000655247950071,-0.0906871498425
95,-0.000319156080179,-0.0442971461934
96,-0.000396982343045,-0.0538515948858
97,-0.000640830151153,-0.0879401780469
98,-0.000600536235915,-0.0834645204021
99,-0.000217505981407,-0.0301785952539
100,-0.000631368721071,-0.0860292327899
101,-7.25680559771e-05,-0.00991584705018
102,-0.00037228481591,-0.0509429585934
103,-0.000792495310194,-0.111932204578
104,-0.000387171380258,-0.0524715268695
105,-0.000390004910792,-0.0543126633256
106,-0.0005135521969,-0.0723154918748
107,-0.000646176472263,-0.0892806192153
108,-0.000435033581826,-0.0595032203321
109,-0.000212490246553,-0.0290366619403
110,-0.000141126519693,-0.0195841658112
111,-0.000460637503643,-0.0657557298727
112,-0.000534976776491,-0.074436294608
113,-0.000375432807923,-0.0508871464269
114,-0.000572944944293,-0.0809426074387
115,-0.000596741479456,-0.0821377501106
116,-0.000337070138926,-0.0469620205901
117,-0.000394745993322,-0.0534364383712
118,-0.000364761761381,-0.052319214002
119,-0.00062544279033,-0.0885856800721
120,-0.000211900710909,-0.0294563477278
121,-0.000450714008925,-0.0620936498437
122,-0.000317040122528,-0.0442323061349
123,-0.000715068174093,-0.0972841777502
124,-0.000337646385929,-0.0468717680554
125,-0.00040967720164,-0.0557786812992
126,-0.00047114796358,-0.0652473661171
127,-0.000334364273958,-0.0467105813393
128,-0.000490710568697,-0.0668549762846
129,-0.000714802541519,-0.0994419738859
130,-0.000504753561303,-0.0701889587973
131,-0.000263029386376,-0.0361699492426
132,-0.000329400267733,-0.0448524304014
133,-0.000653069884447,-0.0912595216381
134,-0.000755024534457,-0.107021795031
135,-0.000444246936532,-0.0616322270896
136,-0.000237986865641,-0.031940447983
137,-0.000870328265467,-0.123231128458
138,-0.000547307524641,-0.0764324608187
139,-0.000313490140324,-0.0439265025369
140,-0.000498945202751,-0.0670634627862
141,-3.22021982629e-05,-0.00444708302281
142,-0.000572851772938,-0.0807854200509
143,-0.000506950851871,-0.0697681122645
144,-0.000478294580577,-0.064429599279
145,-0.000615478460762,-0.0849757815687
146,-0.000581456302206,-0.0804903122915
147,-0.00053233936679,-0.0734416042754
148,-0.00043649129853,-0.0593622558306
149,-0.000204521727217,-0.02814539498
150,-0.000522870181592,-0.072537923035
151,-0.000736299461769,-0.102263715899
152,-0.000417703073443,-0.0572939891186
153,-0.000393510988677,-0.0531014506701
154,-0.000651603193513,-0.0920214983879
155,-0.000389003018422,-0.0543943975886
156,-0.000411150602387,-0.0552881273396
157,-0.000298944469134,-0.041217602234
158,-0.00049430527506,-0.070111303958
159,-0.000697298503836,-0.0940351631236
160,-0.000405334822445,-0.0563995557354
161,-0.00061817987644,-0.0837941802727
162,-0.000538324351527,-0.0740537881912
163,-0.000398649103544,-0.0565958302023
164,-0.00043322654087,-0.0589005916146
165,-0.000508106753986,-0.0705391227537
166,-0.000565811216382,-0.0795002979952
167,-0.000340313748866,-0.0464529771718
168,-0.000130152416885,-0.0177144103856
169,-0.0005280816807,-0.0747960746637
170,-0.000163477307525,-0.0228728514086
171,-4.2510819611e-05,-0.00599192405271
172,-0.000412236689403,-0.0576337651731
173,-0.000491369925238,-0.0692368256043
174,-0.000502278065021,-0.0679710448392
175,-0.000264803876174,-0.0357225501381
176,-0.000486731878857,-0.0668548157528
177,-0.000194591676511,-0.0269032872002
178,-0.000587549092156,-0.0799087030814
179,-0.000375038081154,-0.0518609105228
180,-0.000544565300238,-0.0749620271345
181,-0.0004191464643,-0.0585288642417
182,-0.000328520324384,-0.0454112416631
183,-0.000441613097211,-0.0610214986021
184,-0.000187073648598,-0.0261606173323
185,-0.000591601491925,-0.0808134654997
186,-0.000871640509045,-0.119631325236
187,-0.000409754728727,-0.0568589844388
188,-0.000328811600469,-0.0451223550002
189,-0.000231112889686,-0.0325044129575
190,-0.000264599600542,-0.0366846434775
191,-0.000399496588227,-0.0548729916767
192,-0.000719560940724,-0.099373135094
193,-0.00039552163728,-0.0540431022581
194,-0.000277969548898,-0.0377548013579
195,-0.000426935301905,-0.0588945275923
196,-0.000259138243598,-0.0361268406411
197,-0.000568475754908,-0.0785004776961
198,-0.000402350384507,-0.0566328839448
199,-0.000442319306866,-0.0634121232067
200,-0.000176626307222,-0.0244489726712
201,-0.000766410047855,-0.104560069402
202,-0.000435655641075,-0.0581491052193
203,-0.000429102909478,-0.0587319819943
204,-0.0005081055874,-0.0694017040579
205,-0.000106680094053,-0.0149027815819
206,-0.000430123715687,-0.0587965623982
207,-0.000276136091401,-0.0375190855928
208,-0.00065286879965,-0.0907926229005
209,-0.000761355373792,-0.104131393371
210,-0.00031402944838,-0.0419513181684
211,-0.000279636329969,-0.0376205761124
212,-0.00027621393505,-0.0385534043038
213,-0.00058430176319,-0.079786906994
214,-0.000251200326563,-0.0347598638831
215,-0.00048022840901,-0.0659157509808
216,-0.000392721597966,-0.0547767221916
217,-0.00050528936262,-0.0700889611806
218,-0.000561483104528,-0.0769030511739
219,-0.000468753250081,-0.0651682547679
220,-0.000337751831738,-0.0456732026909
221,-0.000374198144251,-0.0531189776258
222,-0.000336995383109,-0.0464060488326
223,-0.000787984201914,-0.112366803851
224,-0.00043686099308,-0.0595975809449
225,-0.000467515931235,-0.0639035413903
226,-0.000370724440223,-0.0510283887
227,-0.00049605161485,-0.0678518975334
228,-0.000553468064084,-0.0756612888086
229,-0.000368998791031,-0.0514503994456
230,-0.000481184221268,-0.0649518698952
231,-0.000687682466509,-0.094507210432
232,-0.000284375235334,-0.0394492550276
233,-0.000336790890139,-0.0461554152762
234,-0.000461573060108,-0.0638808963676
235,-0.000449586945418,-0.0634350095376
236,-0.000610242502679,-0.0843139454547
237,-0.000646718472155,-0.0900523491473
238,-0.00010449359612,-0.0142592836193
239,-0.000216777802947,-0.0303949109736
240,-0.000542296094763,-0.0745256386779
241,-0.000369249729812,-0.05215413119
242,-0.000580679328082,-0.0792831204493
243,-0.000505292310936,-0.0698642847975
244,-0.000240533656958,-0.0337234293174
245,-0.000358435777254,-0.049532646136
246,-0.00032644309483,-0.0444810556561
247,-0.000552460284566,-0.0773775896079
248,-0.000604363083955,-0.0811418528449
249,-0.00052506472307,-0.0714804160956
250,-0.000363931863719,-0.0495899802669
251,-0.000491165713975,-0.0672379431698
252,-0.0002335090413,-0.0330855767278
253,-0.000365580962394,-0.0507694072012
254,-0.000337471891707,-0.0468672091938
255,-0.000581135796945,-0.0795838542231
256,-0.000179766408146,-0.0254818705896
257,-0.000365550083824,-0.0515235630699
258,-0.000678882832887,-0.093341014534
259,-0.000251850062806,-0.0353654188266
260,-0.000501718503741,-0.0679137595499
261,-1.62583885244e-08,-2.26522917309e-06
262,-0.000559271185481,-0.0804245661132
263,-0.000369174199062,-0.0521927599034
264,-0.000657328529438,-0.0890987069993
265,-0.000355133771199,-0.0492987561293
266,-0.000497693063836,-0.0718639507293
267,-0.00050450825764,-0.0701325020958
268,-0.00051754612516,-0.0720651751995
269,-0.00032753203962,-0.0465893677174
270,-0.000307466984221,-0.0422720563761
271,-0.000325609202244,-0.0451176802223
272,-0.000859480506989,-0.117595589111
273,-0.000389794374547,-0.0541850222529
274,-0.000351883328078,-0.0492150299922
275,-0.000718258122228,-0.0989246216936
276,-0.00033034419839,-0.0450330218538
277,-0.000401139500657,-0.0569769335826
278,-0.000711718368953,-0.0977718471197
279,-0.000505617448904,-0.068435241029
280,-0.00057857289537,-0.0789285378976
281,-0.000475647535736,-0.0634700256603
282,-0.000328540385644,-0.0458043101466
283,-0.000595269407003,-0.07900311817
284,-0.00037772667121,-0.0522326776488
285,-0.000247846457976,-0.0339427831323
286,-0.000326731112063,-0.0447582189153
287,-0.000383189591841,-0.0516490124337
288,-0.000419166747633,-0.057042672159
289,-0.00060139444927,-0.0827726682003
290,-0.000275857295669,-0.0376426710874
291,-0.000684841894508,-0.0946748399968
292,-0.000517644409804,-0.0703538565008
293,-0.000466432087984,-0.0652753835886
294,-0.000404060882836,-0.0550750647903
295,-0.000390156351037,-0.0537876921725
296,-0.000814299914633,-0.112305644352
297,-0.000152646148275,-0.0207584418576
298,-0.00052359132605,-0.0712996003445
299,-0.000351767668924,-0.0471374984481
300,-0.000305956799689,-0.0418210838299
301,-0.000412615314374,-0.0579103339875
302,-0.00033103530243,-0.0450037303194
303,-0.000441790775749,-0.0607304828057
304,-0.000368628715419,-0.0504450204717
305,-0.000319744564717,-0.0452608935432
306,-0.000233597926012,-0.0325646239485
307,-0.000196374996244,-0.0268738102558
308,-0.000498318486159,-0.0671148673341
309,-0.000404314566552,-0.0547508126083
310,-0.00015463546024,-0.021087746275
311,-0.000545352515578,-0.0739917903403
312,-0.000343529674103,-0.0475334332475
313,-0.000265180805964,-0.0362278221504
314,-0.000721796455464,-0.100300363325
315,-0.000559434584048,-0.0779284359579
316,-0.000349188574242,-0.0492090848102
317,-0.000369976003552,-0.0517711347894
318,-0.000272990522889,-0.0372947336383
319,-0.00043354497768,-0.0583790677616
320,-0.000134454254217,-0.0185121328933
321,-0.000480013903654,-0.0649077744726
322,-0.000508764983271,-0.0696601429541
323,-0.000510337960983,-0.067710906897
324,-0.000350171960115,-0.0477334862326
325,-0.000461979630074,-0.0649892840713
326,-0.000722820341241,-0.101968210672
327,-0.000488768959856,-0.0664352239477
328,-0.000488095834131,-0.0671495222488
329,-0.000540527132157,-0.0744112416477
330,-0.000403950017644,-0.0558868883897
331,-0.000437155445729,-0.0593222296929
332,-0.000480170181264,-0.0660722652292
333,-0.000231085835807,-0.0318163731454
334,-0.0002041175376,-0.0280628226495
335,-0.000582177288727,-0.0813406142198
336,-0.000801956206162,-0.111729840617
337,-0.000308636573846,-0.0434096275685
338,-0.000272094022129,-0.0373184504698
339,-0.000466892192354,-0.0635957319835
340,-0.000562546440876,-0.07925888091
341,-0.000387672404757,-0.0540962212413
342,-0.000263916692759,-0.0358206436991
343,-0.000515045601766,-0.0702959610649
344,-0.000212695144613,-0.029101284919
