model,match_id,rows,mae_mps,rmse_mps
E0,J03WMX,12335,0.7392832122030722,0.9997484197120896
E0,J03WN1,4574,0.7177170697551333,0.9711819824468203
E0,J03WOH,11248,0.7258234374993209,0.9829384763183362
E0,J03WOY,11519,0.7332131789018844,0.9880539617925423
E0,J03WPY,12397,0.6808194108509225,0.9321914027792941
E0,J03WQQ,9961,0.7611070274319652,1.0241905817396249
E0,J03WR9,11518,0.7468705935460894,1.0127974395372539
E1,J03WMX,12335,0.7364533508086971,0.9931795349414337
E1,J03WN1,4574,0.714416077420752,0.9640560934547922
E1,J03WOH,11248,0.7206021118775049,0.9742202907807463
E1,J03WOY,11519,0.7298794497688856,0.9818151182518011
E1,J03WPY,12397,0.676479233502672,0.9264509109939038
E1,J03WQQ,9961,0.7559041002812367,1.015798927813618
E1,J03WR9,11518,0.7437875968739788,1.0074199754138353
E2a,J03WMX,12335,0.7364475233599223,0.9932419084451795
E2a,J03WN1,4574,0.7150581637145603,0.9641901079671059
E2a,J03WOH,11248,0.7207885269554635,0.9741542838323608
E2a,J03WOY,11519,0.7299839191397023,0.9817316818793378
E2a,J03WPY,12397,0.6769801770863756,0.9270701525470997
E2a,J03WQQ,9961,0.7562863162831491,1.0159625244654176
E2a,J03WR9,11518,0.7439868401538894,1.007549914984718
E2b,J03WMX,12335,0.7366006824172909,0.9933020388362586
E2b,J03WN1,4574,0.7152939970284025,0.9643447198717174
E2b,J03WOH,11248,0.7207923971987499,0.9741917987145049
E2b,J03WOY,11519,0.7298878727954843,0.9816662031058346
E2b,J03WPY,12397,0.6770512665243743,0.9271427988842446
E2b,J03WQQ,9961,0.7567012319850375,1.0162537641751477
E2b,J03WR9,11518,0.7443217711682161,1.007962635227213
