replicate,draw_attempt,relative_improvement_percent,absolute_improvement_mps
0,2,-0.0414180354105,-0.000300429975289
1,3,-0.0228240755132,-0.000165556776763
2,4,-0.0893323725065,-0.000647981542307
3,7,-0.0922586660043,-0.000669207712852
4,9,-0.161353360522,-0.00117039317858
5,10,-0.0182616007122,-0.000132462397029
6,11,-0.0834415097694,-0.000605251564195
7,12,-0.163441833814,-0.00118554213418
8,14,-0.0482781125174,-0.000350190249413
9,15,-0.150205007507,-0.00108952745456
10,16,-0.0163129426778,-0.000118327605764
11,17,-0.0207682878705,-0.000150644909878
12,18,-0.0378983322579,-0.000274899446844
13,20,-0.0349272747229,-0.000253348575758
14,21,-0.0156621706545,-0.000113607164031
15,23,-0.10916346358,-0.000791828398929
16,24,-0.104231889411,-0.000756056719005
17,25,-0.0510477419792,-0.000370280041276
18,26,-0.0288204929806,-0.000209052406957
19,27,-0.0492642220438,-0.000357343096179
20,28,-0.193859657257,-0.00140618094176
21,29,-0.0126951234324,-9.20853821595e-05
22,30,-0.0443459616239,-0.000321667988904
23,31,-0.0411178101879,-0.000298252260791
24,33,-0.113000435822,-0.000819660271306
25,34,-0.193556047459,-0.00140397867689
26,36,-0.0563993504375,-0.000409098483072
27,37,-0.0328368572492,-0.000238185517834
28,38,-0.11134028022,-0.000807618162076
29,39,-0.0888822083323,-0.000644716230218
30,40,-0.198824141008,-0.00144219133471
31,41,-0.0281229096504,-0.000203992414598
32,42,-0.0325665018929,-0.00023622446748
33,43,-0.0735617641562,-0.000533587814309
34,44,-0.013823471563,-0.000100269971256
35,46,-0.145588090556,-0.0010560381731
36,48,-0.138086847727,-0.00100162713753
37,49,-0.0335041009787,-0.000243025438782
38,50,-0.0275720445108,-0.000199996657711
39,51,-0.0716446577857,-0.00051968188628
40,52,-0.0550835224059,-0.000399553989251
41,53,-0.198763189204,-0.00144174921454
42,55,-0.134264404655,-0.000973900653976
43,56,-0.0409688723513,-0.00029717192489
44,57,-0.131547034749,-0.000954189932171
45,60,-0.0400778112152,-0.000290708521389
46,61,-0.0419448956875,-0.000304251610439
47,63,-0.0422957462816,-0.000306796541272
48,64,-0.0292811599575,-0.000212393902204
49,65,-0.0775671273276,-0.000562641127598
50,66,-0.150518356946,-0.00109180036691
51,67,-0.0436578832881,-0.000316676941999
52,68,-0.140548874734,-0.00101948570339
53,70,-0.19900109,-0.00144347485241
54,71,-0.0749201227538,-0.000543440807959
55,72,-0.0847630457641,-0.000614837461312
56,73,-0.036497995721,-0.000264741961899
57,74,-0.0358821778553,-0.000260275063739
58,75,-0.163857785145,-0.00118855927989
59,76,-0.0443528597513,-0.000321718025179
60,77,-0.0928952283581,-0.000673825083288
61,78,-0.0227292813279,-0.0001648691774
62,79,-0.177328755031,-0.00128627234402
63,80,-0.0189764827487,-0.00013764786733
64,81,-0.158662630345,-0.00115087569078
65,82,-0.0104660522647,-7.59165854222e-05
66,83,-0.111862636264,-0.000811407125312
67,86,-0.0405344020697,-0.000294020450064
68,87,-0.10614904877,-0.00076996303139
69,88,-0.0189045493498,-0.000137126091031
70,89,-0.00387104320316,-2.80790095991e-05
71,90,-0.0373614051408,-0.000271004790835
72,91,-0.202118888525,-0.00146609012435
73,93,-0.0457447599764,-0.000331814316471
74,94,-0.0356999024122,-0.000258952910084
75,95,-0.0421787739945,-0.000305948070769
76,96,-0.0148617838445,-0.00010780147607
77,97,-0.137613053568,-0.000998190422918
78,98,-0.023197558211,-0.000168265871884
79,99,-0.128824674667,-0.000934443013611
80,100,-0.207344119973,-0.00150399187751
81,102,-0.0257563969605,-0.000186826671658
82,104,-0.0653162847523,-0.000473778382282
83,105,-0.139221563673,-0.00100985791623
84,106,-0.134012496252,-0.000972073410492
85,107,-0.0830981525844,-0.000602760987576
86,108,-0.0786771235476,-0.000570692599225
87,109,-0.0293616165453,-0.00021297750233
88,110,-0.0702012691582,-0.000509212118572
89,111,-0.141921411676,-0.00102944154111
90,112,-0.217695768572,-0.00157907862418
91,113,-0.0270952770761,-0.000196538376138
92,114,-0.151497008275,-0.00109889911487
93,115,-0.0310160408364,-0.000224978038907
94,116,-0.0372960944744,-0.000270531053206
95,117,-0.0939220807065,-0.000681273462299
96,119,-0.0382207886508,-0.000277238417421
97,121,-0.171677066161,-0.00124527723812
98,122,-0.0856793923933,-0.000621484275735
99,123,-0.0340307534463,-0.000246845566565
100,124,-0.154705525257,-0.00112217242245
101,125,-0.0502864420986,-0.000364757874373
102,126,-0.0819461763951,-0.000594405009929
103,127,-0.147394051666,-0.00106913789756
104,128,-0.0225556668367,-0.000163609846851
105,129,-0.0397915242875,-0.000288631909744
106,130,-0.0466669981059,-0.000338503865497
107,131,-0.0428254863028,-0.000310639064943
108,132,-0.0137062476021,-9.94196752111e-05
109,134,-0.0298822245071,-0.00021675378567
110,135,-0.193209141175,-0.00140146235652
