quantity,missingness_mask_exact,n,max_absolute_difference,median_absolute_difference,p99_absolute_difference,tolerance,mismatches_above_tolerance,mismatch_share
leave_one_out_centroid_components_m,True,1653862,7.774716408448512e-07,3.5724943003856424e-08,2.785334487498403e-07,0.0001,0,0.0
focal_relative_components_m,True,1653862,2.282763290395451e-06,8.271800000514418e-08,9.700230165776702e-07,0.0001,0,0.0
focal_relative_path_m,True,6949,6.810464160178498e-06,2.1113840809050544e-07,2.1489868648050246e-06,0.001,0,0.0
focal_relative_net_x_change_m,True,6949,2.9276287776269783e-06,1.4732754571866735e-07,1.597208113111036e-06,0.001,0,0.0
focal_relative_net_y_change_m,True,6949,3.0986089605278266e-06,1.0835745989368206e-07,1.0409497047447736e-06,0.001,0,0.0
focal_relative_net_displacement_m,True,6949,3.002698504950274e-06,1.4725288899342104e-07,1.3071781205553559e-06,0.001,0,0.0
focal_absolute_path_m,True,6949,1.012434255293071e-05,1.900839414759048e-07,3.6682478865390744e-06,0.001,0,0.0
leave_one_out_centroid_path_m,True,6949,1.5792106551892893e-06,6.782985639830486e-08,5.334995344874463e-07,0.001,0,0.0
full_defending_outfield_centroid_path_m,True,6949,9.086833423488372e-07,6.579480871238275e-08,5.037067159019345e-07,0.001,0,0.0
sum_defending_outfield_paths_m,True,6949,2.271265929643107e-05,9.086257435342304e-07,1.054522447596159e-05,0.001,0,0.0
ball_path_m,True,6949,3.0658244742909346e-06,4.721783142258573e-08,2.013235292608315e-06,0.001,0,0.0
misaligned_relative_path_m,True,6579,5.203404370490716e-06,1.914312823814157e-07,2.1286064334313814e-06,0.001,0,0.0
