period,frame_id,provider_time_s,kloppy_period_time_s,object_type,team_id,player_id,kloppy_player_id,is_goalkeeper,observed,x_norm,y_norm,x_m,y_m
1,1,0.04,0.04,player,Home,11,home_11,True,True,0.00082,0.48238000000000003,0.0861,32.80184
1,1,0.04,0.04,player,Home,1,home_1,False,True,0.32648,0.65322,34.2804,44.41896
1,1,0.04,0.04,player,Home,2,home_2,False,True,0.33701,0.48863,35.38605,33.22684
1,1,0.04,0.04,player,Home,3,home_3,False,True,0.30927,0.35529,32.473349999999996,24.15972
1,1,0.04,0.04,player,Home,4,home_4,False,True,0.32137,0.21262000000000003,33.74385,14.458160000000003
1,1,0.04,0.04,player,Home,5,home_5,False,True,0.41094,0.72589,43.148700000000005,49.36052
1,1,0.04,0.04,player,Home,6,home_6,False,True,0.41698,0.47843,43.782900000000005,32.53324
1,1,0.04,0.04,player,Home,7,home_7,False,True,0.39125,0.3255,41.08125,22.134
1,1,0.04,0.04,player,Home,8,home_8,False,True,0.45388,0.21174000000000004,47.6574,14.398320000000002
1,1,0.04,0.04,player,Home,9,home_9,False,True,0.52697,0.3798,55.33185,25.826400000000003
1,1,0.04,0.04,player,Home,10,home_10,False,True,0.55243,0.43269,58.00515,29.42292
1,1,0.04,0.04,player,Home,12,home_12,False,False,,,,
1,1,0.04,0.04,player,Home,13,home_13,False,False,,,,
1,1,0.04,0.04,player,Home,14,home_14,False,False,,,,
1,1,0.04,0.04,player,Away,25,away_25,True,True,0.90509,0.47462000000000004,95.03444999999999,32.27416
1,1,0.04,0.04,player,Away,15,away_15,False,True,0.58393,0.20794,61.31265,14.13992
1,1,0.04,0.04,player,Away,16,away_16,False,True,0.67658,0.46710000000000007,71.0409,31.762800000000006
1,1,0.04,0.04,player,Away,17,away_17,False,True,0.6731,0.76476,70.6755,52.00368
1,1,0.04,0.04,player,Away,18,away_18,False,True,0.40783,0.61525,42.82215,41.836999999999996
1,1,0.04,0.04,player,Away,19,away_19,False,True,0.45472,0.38708999999999993,47.7456,26.322119999999995
1,1,0.04,0.04,player,Away,20,away_20,False,True,0.5596,0.67775,58.757999999999996,46.086999999999996
1,1,0.04,0.04,player,Away,21,away_21,False,True,0.55243,0.43269,58.00515,29.42292
1,1,0.04,0.04,player,Away,22,away_22,False,True,0.50067,0.94322,52.57035,64.13896
1,1,0.04,0.04,player,Away,23,away_23,False,True,0.43693,0.05001999999999995,45.877649999999996,3.401359999999997
1,1,0.04,0.04,player,Away,24,away_24,False,True,0.37833,0.27383,39.72465,18.620440000000002
1,1,0.04,0.04,player,Away,26,away_26,False,False,,,,
1,1,0.04,0.04,player,Away,27,away_27,False,False,,,,
1,1,0.04,0.04,player,Away,28,away_28,False,False,,,,
1,1,0.04,0.04,ball,,,,False,True,0.45472,0.38708999999999993,47.7456,26.322119999999995
1,2,0.08,0.08,player,Home,11,home_11,True,True,0.00096,0.48238000000000003,0.1008,32.80184
1,2,0.08,0.08,player,Home,1,home_1,False,True,0.32648,0.65322,34.2804,44.41896
1,2,0.08,0.08,player,Home,2,home_2,False,True,0.33701,0.48863,35.38605,33.22684
1,2,0.08,0.08,player,Home,3,home_3,False,True,0.30927,0.35529,32.473349999999996,24.15972
1,2,0.08,0.08,player,Home,4,home_4,False,True,0.32137,0.21262000000000003,33.74385,14.458160000000003
1,2,0.08,0.08,player,Home,5,home_5,False,True,0.41094,0.72589,43.148700000000005,49.36052
1,2,0.08,0.08,player,Home,6,home_6,False,True,0.41698,0.47843,43.782900000000005,32.53324
1,2,0.08,0.08,player,Home,7,home_7,False,True,0.39125,0.3255,41.08125,22.134
1,2,0.08,0.08,player,Home,8,home_8,False,True,0.45388,0.21174000000000004,47.6574,14.398320000000002
1,2,0.08,0.08,player,Home,9,home_9,False,True,0.52697,0.3798,55.33185,25.826400000000003
1,2,0.08,0.08,player,Home,10,home_10,False,True,0.55243,0.43269,58.00515,29.42292
1,2,0.08,0.08,player,Home,12,home_12,False,False,,,,
1,2,0.08,0.08,player,Home,13,home_13,False,False,,,,
1,2,0.08,0.08,player,Home,14,home_14,False,False,,,,
1,2,0.08,0.08,player,Away,25,away_25,True,True,0.90494,0.47462000000000004,95.0187,32.27416
1,2,0.08,0.08,player,Away,15,away_15,False,True,0.58393,0.20794,61.31265,14.13992
1,2,0.08,0.08,player,Away,16,away_16,False,True,0.67658,0.46710000000000007,71.0409,31.762800000000006
1,2,0.08,0.08,player,Away,17,away_17,False,True,0.6731,0.76476,70.6755,52.00368
1,2,0.08,0.08,player,Away,18,away_18,False,True,0.40783,0.61525,42.82215,41.836999999999996
1,2,0.08,0.08,player,Away,19,away_19,False,True,0.45472,0.38708999999999993,47.7456,26.322119999999995
1,2,0.08,0.08,player,Away,20,away_20,False,True,0.5596,0.67775,58.757999999999996,46.086999999999996
1,2,0.08,0.08,player,Away,21,away_21,False,True,0.55243,0.43269,58.00515,29.42292
1,2,0.08,0.08,player,Away,22,away_22,False,True,0.50067,0.94322,52.57035,64.13896
1,2,0.08,0.08,player,Away,23,away_23,False,True,0.43693,0.05001999999999995,45.877649999999996,3.401359999999997
