interval_id,focal_player,defending_team,current_focal_relative_path_m,kloppy_focal_relative_path_m,absolute_difference_m,max_loo_centroid_component_difference_m,max_focal_relative_component_difference_m,negative_control_interval_id
G1_P1_5.00_5s,1,Home,14.771051462061124,14.771051462061124,0.0,1.4210854715202004e-14,1.4210854715202004e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,2,Home,4.0422484129256695,4.0422484129256695,0.0,1.4210854715202004e-14,1.4210854715202004e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,3,Home,5.950474389784931,5.950474389784925,6.217248937900877e-15,1.4210854715202004e-14,1.4210854715202004e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,4,Home,5.1698821227270395,5.16988212272705,1.0658141036401503e-14,1.4210854715202004e-14,1.4210854715202004e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,5,Home,4.072592125657754,4.072592125657758,4.440892098500626e-15,1.4210854715202004e-14,1.4210854715202004e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,6,Home,5.638979824224296,5.638979824224301,5.329070518200751e-15,1.4210854715202004e-14,1.4210854715202004e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,7,Home,5.699654294654417,5.699654294654417,0.0,1.4210854715202004e-14,2.1316282072803006e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,8,Home,5.8495302821173585,5.849530282117355,3.552713678800501e-15,1.4210854715202004e-14,1.0658141036401503e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,9,Home,6.945301560135066,6.945301560135071,5.329070518200751e-15,1.4210854715202004e-14,1.4210854715202004e-14,G1_P1_25.00_5s
G1_P1_5.00_5s,10,Home,5.1159459375580125,5.1159459375580125,0.0,1.4210854715202004e-14,1.4210854715202004e-14,G1_P1_25.00_5s
G1_P1_590.00_5s,1,Home,7.104524327981891,7.10452432798189,8.881784197001252e-16,7.105427357601002e-15,7.105427357601002e-15,G1_P1_620.00_5s
G1_P1_590.00_5s,2,Home,3.208024937313491,3.208024937313484,6.661338147750939e-15,7.105427357601002e-15,1.0658141036401503e-14,G1_P1_620.00_5s
G1_P1_590.00_5s,3,Home,6.612604720036259,6.6126047200362645,5.329070518200751e-15,7.105427357601002e-15,1.0658141036401503e-14,G1_P1_620.00_5s
G1_P1_590.00_5s,4,Home,13.126997109616221,13.126997109616218,3.552713678800501e-15,7.105427357601002e-15,1.4210854715202004e-14,G1_P1_620.00_5s
G1_P1_590.00_5s,5,Home,10.740036572160104,10.740036572160104,0.0,7.105427357601002e-15,7.105427357601002e-15,G1_P1_620.00_5s
G1_P1_590.00_5s,6,Home,8.727948245658093,8.727948245658087,5.329070518200751e-15,7.105427357601002e-15,1.0658141036401503e-14,G1_P1_620.00_5s
G1_P1_590.00_5s,7,Home,11.365399088089786,11.365399088089776,1.0658141036401503e-14,7.105427357601002e-15,1.0658141036401503e-14,G1_P1_620.00_5s
G1_P1_590.00_5s,8,Home,12.48434431973429,12.484344319734282,8.881784197001252e-15,7.105427357601002e-15,1.0658141036401503e-14,G1_P1_620.00_5s
G1_P1_590.00_5s,9,Home,14.208650764535218,14.208650764535221,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,G1_P1_620.00_5s
G1_P1_590.00_5s,10,Home,7.399248590525228,7.399248590525228,0.0,7.105427357601002e-15,7.105427357601002e-15,G1_P1_620.00_5s
G1_P2_4195.00_5s,15,Away,2.7841368241658753,2.784136824165875,4.440892098500626e-16,7.105427357601002e-15,7.105427357601002e-15,G1_P2_4180.00_5s
G1_P2_4195.00_5s,16,Away,1.33444869783966,1.3344486978396621,2.220446049250313e-15,1.0658141036401503e-14,1.4210854715202004e-14,G1_P2_4180.00_5s
G1_P2_4195.00_5s,17,Away,4.182263917632745,4.182263917632746,8.881784197001252e-16,7.105427357601002e-15,7.105427357601002e-15,G1_P2_4180.00_5s
G1_P2_4195.00_5s,18,Away,7.211800422232609,7.211800422232609,0.0,7.105427357601002e-15,7.105427357601002e-15,G1_P2_4180.00_5s
G1_P2_4195.00_5s,19,Away,8.315703755721733,8.315703755721735,1.7763568394002505e-15,1.0658141036401503e-14,1.0658141036401503e-14,G1_P2_4180.00_5s
G1_P2_4195.00_5s,20,Away,2.6204299499248407,2.62042994992485,9.325873406851315e-15,7.105427357601002e-15,1.0658141036401503e-14,G1_P2_4180.00_5s
G1_P2_4195.00_5s,21,Away,9.958652531153259,9.958652531153259,0.0,7.105427357601002e-15,1.4210854715202004e-14,G1_P2_4180.00_5s
G1_P2_4195.00_5s,22,Away,3.46125185082288,3.4612518508228804,4.440892098500626e-16,1.0658141036401503e-14,1.0658141036401503e-14,G1_P2_4180.00_5s
G1_P2_4195.00_5s,23,Away,5.234597354863037,5.234597354863036,8.881784197001252e-16,7.105427357601002e-15,1.4210854715202004e-14,G1_P2_4180.00_5s
G1_P2_4195.00_5s,24,Away,3.4549160579231177,3.454916057923125,7.105427357601002e-15,7.105427357601002e-15,1.0658141036401503e-14,G1_P2_4180.00_5s
