estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.13906653603807773,97.5,0.11439214760927147,0.16524184240992026,2000,2000
D2,0.11235785617661466,97.5,0.0890474986662226,0.1356725133590565,2000,2000
D3,0.10469253606923715,97.5,0.08454695590525867,0.12550158127648575,2000,2000
D4,0.10455156009055787,97.5,0.08046494917140283,0.12944847232879625,2000,2000
D5,0.08940260137305739,97.5,0.06691485384886411,0.11211323342360166,2000,2000
D6,0.0961592274192633,97.5,0.0688980575353089,0.12114086471030881,2000,2000
D7,0.092818375944287,97.5,0.06617829783980907,0.12032349554508098,2000,2000
D8,0.0883418740220635,97.5,0.06253822836045081,0.11554564758434603,2000,2000
D9,0.09607516313394701,97.5,0.07177622669619595,0.12054791080907797,2000,2000
D10,0.10116955763391976,97.5,0.07609009327097661,0.1272343896602933,2000,2000
