rank,response_endpoint_rms_m,response_path_m,signed_mean_spacing_change_m,whole_unit_response_endpoint_rms_m
1,2.098274079424826,2.3542078844118346,-0.058436333458047135,2.4672578962532725
2,2.139914902848956,2.391250722024114,-0.14792428452582781,2.4672578962532725
3,2.1296341044297926,2.3807157317914265,-0.007626375444419785,2.4672578962532725
4,2.0487872663608746,2.259349006943231,-0.06620372524557154,2.4672578962532725
5,2.1485050944069095,2.3820002426139264,-0.06807725316165048,2.4672578962532725
6,2.098274079424826,2.343339945235999,-0.14376813892735563,2.4672578962532725
7,2.1857713576681794,2.3946572838188565,-0.16763213349063597,2.4672578962532725
8,2.11677073705498,2.355975418672622,-0.08630189169448678,2.4672578962532725
9,2.1708444333783534,2.4362846184400615,-0.30705747029107555,2.4672578962532725
10,2.1142292080176155,2.3542078844118346,-0.37472694615220603,2.4672578962532725
