estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.1152800132517453,97.5,0.03825430644735224,0.2124858769002922,2000,2000
D2,0.09196405481274285,97.5,0.025566976971362513,0.16790292416463096,2000,2000
D3,0.013963435435770787,97.5,-0.06373206573604145,0.07025218070393173,2000,2000
D4,0.02444608551506228,97.5,-0.06998684185918526,0.11898565837248747,2000,2000
D5,-0.02973978959849681,97.5,-0.11502057047826542,0.044451658863860495,2000,2000
D6,0.012499434069602794,97.5,-0.056704889092502306,0.10196991718391311,2000,2000
D7,-0.06955533159686328,97.5,-0.11861928902678656,0.008200677937326309,2000,2000
D8,-0.03659518130920984,97.5,-0.13350975432303536,0.07713648400523779,2000,2000
D9,-0.035816945666878354,97.5,-0.09816050209545177,0.051746352461532995,2000,2000
D10,-0.09365520734447774,97.5,-0.13268952257310643,-0.06312035492679227,2000,2000
