rank,focal_path_2s_m,focal_net_2s_m,orthogonal_2s_m,radial_2s_m,alignment_cosine,defender_absolute_2s_m,centroid_loo_2s_m
1,2.0334919063619386,1.8310228098529016,0.02639110576154953,0.04174482723266482,0.21261092732732043,2.742850016451206,2.707977546418303
2,2.0119131731361763,1.8590036242855241,0.017315331305730118,0.12574716744763104,0.15584728077170767,2.8741451120467314,2.688604086985915
3,1.9339827572394355,1.7657644337380836,-0.08503361388168365,-0.08328091092800899,0.04206895902886407,2.9463372782627975,2.6772241981621887
4,1.8372321815608483,1.6787383174603385,-0.07378271326980707,0.010940461399977244,0.13768523052394505,2.9743909095146175,2.6893715452202263
5,1.9261560803657893,1.7657644337380831,-0.02276477659085327,-0.007887714086783182,0.087825259228361,2.9982852623901355,2.6656563294596345
6,1.8893880956782163,1.7322213039273247,-0.017589824606389567,0.16873915627354022,-0.05219221757211327,2.8292765046530355,2.7324872200548618
7,1.910417708462894,1.7642583499675715,0.035990528517649584,0.21254218596910218,-0.19581178569009314,2.8638118487966615,2.7243956536612677
8,1.77082820714614,1.6385401559734998,-0.031183035920156293,0.11779395641618606,-0.1640004796694121,2.7440968011909206,2.7405187775542643
9,2.0598020917083986,1.8849077172768363,0.045347766658569384,0.36720247845283505,-0.23195357294804508,2.7398616565793765,2.697555063559158
10,1.912984141005961,1.7836772226513466,0.08303309320423694,0.46123143261869365,-0.3125196755630072,2.685102854863173,2.7056644591588928
