estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.15680000735169247,97.5,0.12307307349986014,0.1893976817807388,2000,2000
D2,0.05714186843715463,97.5,0.028873772850335072,0.08764423871595972,2000,2000
D3,0.033460406518565224,97.5,0.008534046837759072,0.05895837241056412,2000,2000
D4,0.01982966750036634,97.5,-0.0078437208514057,0.04885243097065005,2000,2000
D5,-0.013005370657423371,97.5,-0.0383027567093223,0.010200718757122,2000,2000
D6,-0.01203433160663686,97.5,-0.040484340337030585,0.012948455125437122,2000,2000
D7,-0.04693827036490887,97.5,-0.06729779684957218,-0.025106833067397416,2000,2000
D8,-0.047181687884490724,97.5,-0.074677750185401,-0.017448016926392543,2000,2000
D9,-0.060920719385779136,97.5,-0.09600476209961394,-0.02831069816794807,2000,2000
D10,-0.08495094694052609,97.5,-0.11760624407962769,-0.05524109864501994,2000,2000
