bandwidth_m,profile,grid_cells,support_cells,common_support_fraction,minimum_match_support_fraction,maximum_match_support_fraction,mean_raw_anchor_count_supported,mean_unique_time_anchor_count_supported,minimum_match_blocks_supported,maximum_nearest_distance_supported_m,minimum_match_kish_row_weight_concentration_supported,mean_kernel_mass_balance_supported,touchline_coverage,goal_line_coverage,centre_line_coverage,penalty_boundary_coverage
2.5,basic,7140,5412,0.7579831932773109,0.7852941176470588,0.9352941176470588,974.2184035476719,864.1954915003696,5,2.4972704331855513,10.008644388001132,0.4490007994464076,0.30952380952380953,0.0,1.0,0.6554054054054054
5.0,basic,7140,6795,0.9516806722689075,0.9598039215686275,0.9967787114845938,3180.1041942604857,2057.823693892568,3,4.9959775025033,10.032175249911868,0.43473758572130977,0.7714285714285715,0.49264705882352944,1.0,0.9797297297297297
7.5,basic,7140,7106,0.9952380952380953,0.9964985994397759,1.0,6680.3734871939205,2998.405994933859,4,7.421673150219912,10.0002060816397,0.44061918657780536,0.9571428571428572,0.8823529411764706,1.0,1.0
10.0,basic,7140,7140,1.0,1.0,1.0,11413.460504201681,3812.779131652661,7,8.985378730394805,16.213786424876044,0.44941239804711447,1.0,1.0,1.0,1.0
12.5,basic,7140,7140,1.0,1.0,1.0,17088.663585434173,4546.383753501401,16,8.985378730394805,37.71083876075262,0.4540063558063744,1.0,1.0,1.0,1.0
15.0,basic,7140,7140,1.0,1.0,1.0,23406.08431372549,5181.111204481793,28,8.985378730394805,78.78309028925831,0.45757187439543057,1.0,1.0,1.0,1.0
2.5,conservative,7140,4443,0.6222689075630252,0.6432773109243698,0.8549019607843137,1096.6054467702004,974.6142246230024,9,2.4788490127408207,20.02558123379898,0.4649173986339941,0.1,0.0,0.9705882352941176,0.43243243243243246
5.0,conservative,7140,6373,0.892577030812325,0.9030812324929972,0.9918767507002801,3361.863015848109,2174.7647889533973,8,4.870988822940525,20.011643341186254,0.4416819783498285,0.6285714285714286,0.18382352941176472,1.0,0.8445945945945946
7.5,conservative,7140,6979,0.9774509803921568,0.9784313725490196,1.0,6790.293308496919,3046.6328986960884,7,7.421673150219912,20.047995889663923,0.44439818018363403,0.8666666666666667,0.7279411764705882,1.0,1.0
10.0,conservative,7140,7132,0.9988795518207283,0.9988795518207283,1.0,11425.322630398205,3816.5696859226023,8,8.985378730394805,20.05737742161878,0.44972070446580337,0.9761904761904762,0.9632352941176471,1.0,1.0
12.5,conservative,7140,7140,1.0,1.0,1.0,17088.663585434173,4546.383753501401,16,8.985378730394805,37.71083876075262,0.4540063558063744,1.0,1.0,1.0,1.0
15.0,conservative,7140,7140,1.0,1.0,1.0,23406.08431372549,5181.111204481793,28,8.985378730394805,78.78309028925831,0.45757187439543057,1.0,1.0,1.0,1.0
