grid_x_m,grid_y_m,bandwidth_m,support_profile,support_valid,equal_match_local_mean_m
-52,-33.5,5,conservative,False,
-51,-33.5,5,conservative,False,
-50,-33.5,5,conservative,False,
-49,-33.5,5,conservative,False,
-48,-33.5,5,conservative,False,
-47,-33.5,5,conservative,False,
-46,-33.5,5,conservative,False,
-45,-33.5,5,conservative,False,
-44,-33.5,5,conservative,False,
-43,-33.5,5,conservative,False,
-42,-33.5,5,conservative,False,
-41,-33.5,5,conservative,True,0.44977266957
-40,-33.5,5,conservative,True,0.435201504015
-39,-33.5,5,conservative,True,0.414820402232
-38,-33.5,5,conservative,True,0.413457489906
-37,-33.5,5,conservative,True,0.39430343684
-36,-33.5,5,conservative,True,0.390704950733
-35,-33.5,5,conservative,True,0.382502762165
-34,-33.5,5,conservative,True,0.362329228285
-33,-33.5,5,conservative,True,0.341047670342
-32,-33.5,5,conservative,True,0.332585601814
-31,-33.5,5,conservative,True,0.331405112332
-30,-33.5,5,conservative,True,0.328792843889
-29,-33.5,5,conservative,True,0.302554297233
-28,-33.5,5,conservative,True,0.295835256294
-27,-33.5,5,conservative,True,0.285221800803
-26,-33.5,5,conservative,True,0.279226403044
-25,-33.5,5,conservative,True,0.275403192991
-24,-33.5,5,conservative,True,0.268573974469
-23,-33.5,5,conservative,True,0.27809305861
-22,-33.5,5,conservative,True,0.275593094656
-21,-33.5,5,conservative,True,0.287751588801
-20,-33.5,5,conservative,True,0.303205044181
-19,-33.5,5,conservative,True,0.302413353588
-18,-33.5,5,conservative,True,0.309733663908
-17,-33.5,5,conservative,True,0.314790640469
-16,-33.5,5,conservative,True,0.31787107491
-15,-33.5,5,conservative,True,0.320202642661
-14,-33.5,5,conservative,True,0.306565870906
-13,-33.5,5,conservative,True,0.290324078961
-12,-33.5,5,conservative,True,0.278081405777
-11,-33.5,5,conservative,True,0.261423406677
-10,-33.5,5,conservative,True,0.248074317911
-9,-33.5,5,conservative,True,0.226911170873
-8,-33.5,5,conservative,True,0.210575400616
-7,-33.5,5,conservative,True,0.201396190544
-6,-33.5,5,conservative,True,0.196625477262
-5,-33.5,5,conservative,True,0.191369795934
-4,-33.5,5,conservative,True,0.187300226744
-3,-33.5,5,conservative,True,0.183780136194
-2,-33.5,5,conservative,True,0.175646036984
-1,-33.5,5,conservative,True,0.170224999991
0,-33.5,5,conservative,True,0.161740093935
1,-33.5,5,conservative,True,0.154009088887
2,-33.5,5,conservative,True,0.147033156576
3,-33.5,5,conservative,True,0.140464960859
4,-33.5,5,conservative,True,0.13260424203
5,-33.5,5,conservative,True,0.130185814674
6,-33.5,5,conservative,True,0.127299604835
7,-33.5,5,conservative,True,0.124520267651
8,-33.5,5,conservative,True,0.133207907188
9,-33.5,5,conservative,True,0.141839583492
10,-33.5,5,conservative,True,0.154299334717
11,-33.5,5,conservative,True,0.169120552992
12,-33.5,5,conservative,True,0.196963394162
13,-33.5,5,conservative,True,0.215835409312
14,-33.5,5,conservative,True,0.229149983829
15,-33.5,5,conservative,True,0.253368718523
16,-33.5,5,conservative,True,0.281511961423
17,-33.5,5,conservative,True,0.305280441578
18,-33.5,5,conservative,True,0.329835589104
19,-33.5,5,conservative,True,0.344103364601
20,-33.5,5,conservative,True,0.352873317462
21,-33.5,5,conservative,True,0.367135209471
22,-33.5,5,conservative,True,0.393022586201
23,-33.5,5,conservative,True,0.398499452226
24,-33.5,5,conservative,True,0.41510892411
25,-33.5,5,conservative,True,0.413637617837
26,-33.5,5,conservative,True,0.411996423707
27,-33.5,5,conservative,True,0.422815797237
28,-33.5,5,conservative,True,0.437096330866
29,-33.5,5,conservative,True,0.436741093478
30,-33.5,5,conservative,True,0.438819785554
31,-33.5,5,conservative,True,0.448795826142
32,-33.5,5,conservative,True,0.460323520715
33,-33.5,5,conservative,False,
34,-33.5,5,conservative,False,
35,-33.5,5,conservative,False,
36,-33.5,5,conservative,False,
37,-33.5,5,conservative,False,
38,-33.5,5,conservative,False,
39,-33.5,5,conservative,False,
40,-33.5,5,conservative,False,
41,-33.5,5,conservative,False,
42,-33.5,5,conservative,False,
43,-33.5,5,conservative,False,
44,-33.5,5,conservative,False,
45,-33.5,5,conservative,False,
46,-33.5,5,conservative,False,
47,-33.5,5,conservative,False,
48,-33.5,5,conservative,False,
49,-33.5,5,conservative,False,
50,-33.5,5,conservative,False,
51,-33.5,5,conservative,False,
52,-33.5,5,conservative,False,
-52,-32.5,5,conservative,False,
-51,-32.5,5,conservative,False,
-50,-32.5,5,conservative,False,
-49,-32.5,5,conservative,False,
-48,-32.5,5,conservative,False,
-47,-32.5,5,conservative,False,
-46,-32.5,5,conservative,False,
-45,-32.5,5,conservative,False,
-44,-32.5,5,conservative,False,
-43,-32.5,5,conservative,False,
-42,-32.5,5,conservative,False,
-41,-32.5,5,conservative,True,0.437121502799
-40,-32.5,5,conservative,True,0.411398589521
-39,-32.5,5,conservative,True,0.399179996252
-38,-32.5,5,conservative,True,0.398925848023
-37,-32.5,5,conservative,True,0.382029447535
-36,-32.5,5,conservative,True,0.379835051685
-35,-32.5,5,conservative,True,0.36268326931
-34,-32.5,5,conservative,True,0.35414623659
-33,-32.5,5,conservative,True,0.337683111786
-32,-32.5,5,conservative,True,0.328376602708
-31,-32.5,5,conservative,True,0.321413640895
-30,-32.5,5,conservative,True,0.310481429681
-29,-32.5,5,conservative,True,0.301563640607
-28,-32.5,5,conservative,True,0.28889850573
-27,-32.5,5,conservative,True,0.284246769275
-26,-32.5,5,conservative,True,0.273578286319
-25,-32.5,5,conservative,True,0.271670759947
-24,-32.5,5,conservative,True,0.273663651113
-23,-32.5,5,conservative,True,0.275585411951
-22,-32.5,5,conservative,True,0.285894444082
-21,-32.5,5,conservative,True,0.288152983798
-20,-32.5,5,conservative,True,0.297883017437
-19,-32.5,5,conservative,True,0.301427380401
-18,-32.5,5,conservative,True,0.303511823963
-17,-32.5,5,conservative,True,0.310878631527
-16,-32.5,5,conservative,True,0.309432242532
-15,-32.5,5,conservative,True,0.303828985468
-14,-32.5,5,conservative,True,0.296729206935
-13,-32.5,5,conservative,True,0.287894807472
-12,-32.5,5,conservative,True,0.273094226091
-11,-32.5,5,conservative,True,0.255911859032
-10,-32.5,5,conservative,True,0.244179523672
-9,-32.5,5,conservative,True,0.225287003056
-8,-32.5,5,conservative,True,0.207204230911
-7,-32.5,5,conservative,True,0.199287816516
-6,-32.5,5,conservative,True,0.192904293909
-5,-32.5,5,conservative,True,0.189169890114
-4,-32.5,5,conservative,True,0.184147449906
-3,-32.5,5,conservative,True,0.174483580804
-2,-32.5,5,conservative,True,0.170925700285
-1,-32.5,5,conservative,True,0.161460602646
0,-32.5,5,conservative,True,0.152170959776
1,-32.5,5,conservative,True,0.146117061408
2,-32.5,5,conservative,True,0.143536433762
3,-32.5,5,conservative,True,0.135770035535
4,-32.5,5,conservative,True,0.130716035011
5,-32.5,5,conservative,True,0.128661124066
6,-32.5,5,conservative,True,0.126399280631
7,-32.5,5,conservative,True,0.124197344051
8,-32.5,5,conservative,True,0.130930287257
9,-32.5,5,conservative,True,0.139903271981
10,-32.5,5,conservative,True,0.151427809533
11,-32.5,5,conservative,True,0.165557394969
12,-32.5,5,conservative,True,0.188422168843
13,-32.5,5,conservative,True,0.206811639504
14,-32.5,5,conservative,True,0.226170322816
15,-32.5,5,conservative,True,0.248771066928
16,-32.5,5,conservative,True,0.274702935049
17,-32.5,5,conservative,True,0.299570439679
18,-32.5,5,conservative,True,0.320180280687
19,-32.5,5,conservative,True,0.334946977842
20,-32.5,5,conservative,True,0.351123941301
21,-32.5,5,conservative,True,0.361968042708
22,-32.5,5,conservative,True,0.37254839383
23,-32.5,5,conservative,True,0.389091223274
24,-32.5,5,conservative,True,0.39664389557
25,-32.5,5,conservative,True,0.393106308883
26,-32.5,5,conservative,True,0.397958921406
27,-32.5,5,conservative,True,0.404288531325
28,-32.5,5,conservative,True,0.411204702141
29,-32.5,5,conservative,True,0.418608393752
30,-32.5,5,conservative,True,0.415072356198
31,-32.5,5,conservative,True,0.418717757495
32,-32.5,5,conservative,True,0.430567361289
