period,time_period_s,reason,available
1,2.04,restart_or_ball_out_span,
1,14.04,opponent_possession_event_after_anchor,
1,18.04,opponent_possession_event_after_anchor,
1,54.04,restart_or_ball_out_span,
1,86.04,restart_or_ball_out_span,
1,118.04,complete_ten_attackers_unavailable,9.0
1,146.04,restart_or_ball_out_span,
1,162.04,restart_or_ball_out_span,
1,174.04,restart_or_ball_out_span,
1,178.04,opponent_possession_event_after_anchor,
1,186.04,opponent_possession_event_after_anchor,
1,190.04,restart_or_ball_out_span,
1,202.04,restart_or_ball_out_span,
1,210.04,opponent_possession_event_after_anchor,
1,214.04,opponent_possession_event_after_anchor,
1,266.04,restart_or_ball_out_span,
1,274.04,opponent_possession_event_after_anchor,
1,298.04,opponent_possession_event_after_anchor,
1,338.04,opponent_possession_event_after_anchor,
1,342.04,opponent_possession_event_after_anchor,
1,350.04,restart_or_ball_out_span,
1,354.04,restart_or_ball_out_span,
1,362.04,restart_or_ball_out_span,
1,370.04,restart_or_ball_out_span,
1,374.04,opponent_possession_event_after_anchor,
1,386.04,restart_or_ball_out_span,
1,414.04,restart_or_ball_out_span,
1,426.04,opponent_possession_event_after_anchor,
1,430.04,opponent_possession_event_after_anchor,
1,462.04,restart_or_ball_out_span,
1,482.04,restart_or_ball_out_span,
1,506.04,restart_or_ball_out_span,
1,542.04,restart_or_ball_out_span,
1,546.04,opponent_possession_event_after_anchor,
1,550.04,opponent_possession_event_after_anchor,
1,554.04,restart_or_ball_out_span,
1,582.04,restart_or_ball_out_span,
1,610.04,opponent_possession_event_after_anchor,
1,614.04,opponent_possession_event_after_anchor,
1,618.04,opponent_possession_event_after_anchor,
1,638.04,restart_or_ball_out_span,
1,658.04,restart_or_ball_out_span,
1,690.04,restart_or_ball_out_span,
1,694.04,restart_or_ball_out_span,
1,730.04,restart_or_ball_out_span,
1,742.04,restart_or_ball_out_span,
1,778.04,opponent_possession_event_after_anchor,
1,786.04,restart_or_ball_out_span,
1,806.04,restart_or_ball_out_span,
1,814.04,opponent_possession_event_after_anchor,
1,826.04,opponent_possession_event_after_anchor,
1,858.04,opponent_possession_event_after_anchor,
1,874.04,restart_or_ball_out_span,
1,902.04,opponent_possession_event_after_anchor,
1,906.04,opponent_possession_event_after_anchor,
1,954.04,opponent_possession_event_after_anchor,
1,966.04,opponent_possession_event_after_anchor,
1,978.04,opponent_possession_event_after_anchor,
1,982.04,restart_or_ball_out_span,
1,998.04,restart_or_ball_out_span,
1,1018.04,restart_or_ball_out_span,
1,1030.04,restart_or_ball_out_span,
1,1062.04,restart_or_ball_out_span,
1,1142.04,restart_or_ball_out_span,
1,1150.04,restart_or_ball_out_span,
1,1162.04,opponent_possession_event_after_anchor,
1,1170.04,opponent_possession_event_after_anchor,
1,1182.04,restart_or_ball_out_span,
1,1214.04,restart_or_ball_out_span,
1,1234.04,opponent_possession_event_after_anchor,
1,1262.04,restart_or_ball_out_span,
1,1294.04,restart_or_ball_out_span,
1,1314.04,restart_or_ball_out_span,
1,1350.04,opponent_possession_event_after_anchor,
1,1354.04,restart_or_ball_out_span,
1,1366.04,restart_or_ball_out_span,
1,1422.04,restart_or_ball_out_span,
1,1454.04,opponent_possession_event_after_anchor,
1,1458.04,restart_or_ball_out_span,
1,1462.04,restart_or_ball_out_span,
1,1470.04,restart_or_ball_out_span,
1,1474.04,restart_or_ball_out_span,
1,1526.04,restart_or_ball_out_span,
1,1538.04,opponent_possession_event_after_anchor,
1,1698.04,restart_or_ball_out_span,
1,1710.04,restart_or_ball_out_span,
1,1726.04,restart_or_ball_out_span,
1,1770.04,restart_or_ball_out_span,
1,1774.04,opponent_possession_event_after_anchor,
1,1794.04,restart_or_ball_out_span,
1,1806.04,restart_or_ball_out_span,
1,1834.04,restart_or_ball_out_span,
1,1838.04,opponent_possession_event_after_anchor,
1,1842.04,restart_or_ball_out_span,
1,1858.04,restart_or_ball_out_span,
1,1862.04,restart_or_ball_out_span,
1,1870.04,complete_ten_attackers_unavailable,9.0
1,1886.04,restart_or_ball_out_span,
1,1930.04,restart_or_ball_out_span,
1,1938.04,restart_or_ball_out_span,
1,1942.04,opponent_possession_event_after_anchor,
1,2018.04,restart_or_ball_out_span,
1,2042.04,restart_or_ball_out_span,
1,2050.04,restart_or_ball_out_span,
1,2058.04,restart_or_ball_out_span,
1,2070.04,opponent_possession_event_after_anchor,
1,2130.04,restart_or_ball_out_span,
1,2150.04,restart_or_ball_out_span,
1,2170.04,restart_or_ball_out_span,
1,2174.04,opponent_possession_event_after_anchor,
1,2206.04,opponent_possession_event_after_anchor,
1,2258.04,restart_or_ball_out_span,
1,2274.04,restart_or_ball_out_span,
1,2302.04,restart_or_ball_out_span,
1,2306.04,opponent_possession_event_after_anchor,
1,2362.04,opponent_possession_event_after_anchor,
1,2402.04,restart_or_ball_out_span,
1,2430.04,restart_or_ball_out_span,
1,2506.04,restart_or_ball_out_span,
1,2510.04,opponent_possession_event_after_anchor,
1,2530.04,restart_or_ball_out_span,
1,2550.04,restart_or_ball_out_span,
1,2558.04,opponent_possession_event_after_anchor,
1,2598.04,opponent_possession_event_after_anchor,
1,2626.04,opponent_possession_event_after_anchor,
1,2650.04,restart_or_ball_out_span,
1,2670.04,restart_or_ball_out_span,
1,2674.04,opponent_possession_event_after_anchor,
1,2678.04,restart_or_ball_out_span,
1,2706.04,opponent_possession_event_after_anchor,
1,2710.04,opponent_possession_event_after_anchor,
1,2726.04,opponent_possession_event_after_anchor,
1,2762.04,opponent_possession_event_after_anchor,
1,2770.04,opponent_possession_event_after_anchor,
1,2794.04,restart_or_ball_out_span,
1,2818.04,restart_or_ball_out_span,
1,2822.04,restart_or_ball_out_span,
2,2.04,no_possession_team,
2,6.04,no_possession_team,
2,10.04,no_possession_team,
2,14.04,no_possession_team,
2,18.04,no_possession_team,
2,22.04,no_possession_team,
2,26.04,no_possession_team,
2,30.04,no_possession_team,
2,34.04,no_possession_team,
2,38.04,opponent_possession_event_after_anchor,
2,42.04,complete_ten_attackers_unavailable,9.0
2,46.04,complete_ten_attackers_unavailable,9.0
2,50.04,complete_ten_attackers_unavailable,9.0
2,54.04,complete_ten_attackers_unavailable,9.0
2,58.04,complete_ten_attackers_unavailable,9.0
2,62.04,complete_ten_attackers_unavailable,9.0
2,66.04,complete_ten_attackers_unavailable,9.0
2,70.04,complete_ten_attackers_unavailable,9.0
2,74.04,complete_ten_attackers_unavailable,9.0
2,78.04,complete_ten_attackers_unavailable,9.0
2,82.04,complete_ten_attackers_unavailable,9.0
2,86.04,restart_or_ball_out_span,
2,90.04,complete_ten_attackers_unavailable,9.0
2,94.04,complete_ten_attackers_unavailable,9.0
2,98.04,restart_or_ball_out_span,
2,102.04,complete_ten_attackers_unavailable,9.0
2,106.04,restart_or_ball_out_span,
2,110.04,complete_ten_attackers_unavailable,9.0
2,114.04,restart_or_ball_out_span,
2,118.04,complete_ten_attackers_unavailable,9.0
2,122.04,complete_ten_attackers_unavailable,9.0
2,126.04,complete_ten_attackers_unavailable,9.0
2,130.04,complete_ten_attackers_unavailable,9.0
2,134.04,complete_ten_attackers_unavailable,9.0
2,138.04,complete_ten_attackers_unavailable,9.0
2,142.04,complete_ten_attackers_unavailable,9.0
2,146.04,complete_ten_attackers_unavailable,9.0
2,150.04,complete_ten_attackers_unavailable,9.0
2,154.04,complete_ten_attackers_unavailable,9.0
2,158.04,complete_ten_attackers_unavailable,9.0
2,162.04,complete_ten_attackers_unavailable,9.0
2,166.04,complete_ten_attackers_unavailable,9.0
2,170.04,complete_ten_attackers_unavailable,9.0
2,174.04,complete_ten_attackers_unavailable,9.0
2,178.04,complete_ten_attackers_unavailable,9.0
2,182.04,complete_ten_attackers_unavailable,9.0
2,186.04,complete_ten_attackers_unavailable,9.0
2,190.04,complete_ten_attackers_unavailable,9.0
2,194.04,complete_ten_attackers_unavailable,9.0
2,198.04,complete_ten_attackers_unavailable,9.0
2,202.04,restart_or_ball_out_span,
2,206.04,complete_ten_attackers_unavailable,9.0
2,210.04,complete_ten_attackers_unavailable,9.0
2,214.04,complete_ten_attackers_unavailable,9.0
2,218.04,complete_ten_attackers_unavailable,9.0
2,222.04,complete_ten_attackers_unavailable,9.0
2,226.04,complete_ten_attackers_unavailable,9.0
2,230.04,restart_or_ball_out_span,
2,234.04,complete_ten_attackers_unavailable,9.0
2,238.04,complete_ten_attackers_unavailable,9.0
2,242.04,complete_ten_attackers_unavailable,9.0
2,246.04,complete_ten_attackers_unavailable,9.0
2,250.04,complete_ten_attackers_unavailable,9.0
2,254.04,restart_or_ball_out_span,
2,258.04,opponent_possession_event_after_anchor,
2,262.04,complete_ten_attackers_unavailable,9.0
2,266.04,complete_ten_attackers_unavailable,9.0
2,270.04,complete_ten_attackers_unavailable,9.0
2,274.04,complete_ten_attackers_unavailable,9.0
2,278.04,complete_ten_attackers_unavailable,9.0
2,282.04,complete_ten_attackers_unavailable,9.0
2,286.04,complete_ten_attackers_unavailable,9.0
2,290.04,complete_ten_attackers_unavailable,9.0
2,294.04,restart_or_ball_out_span,
2,298.04,complete_ten_attackers_unavailable,9.0
2,302.04,complete_ten_attackers_unavailable,9.0
2,306.04,complete_ten_attackers_unavailable,9.0
2,310.04,complete_ten_attackers_unavailable,9.0
2,314.04,complete_ten_attackers_unavailable,9.0
2,318.04,complete_ten_attackers_unavailable,9.0
2,322.04,restart_or_ball_out_span,
2,326.04,complete_ten_attackers_unavailable,9.0
2,330.04,complete_ten_attackers_unavailable,9.0
2,334.04,complete_ten_attackers_unavailable,9.0
2,338.04,restart_or_ball_out_span,
2,342.04,opponent_possession_event_after_anchor,
2,346.04,complete_ten_attackers_unavailable,9.0
2,350.04,complete_ten_attackers_unavailable,9.0
2,354.04,complete_ten_attackers_unavailable,9.0
2,358.04,complete_ten_attackers_unavailable,9.0
2,362.04,complete_ten_attackers_unavailable,9.0
2,366.04,opponent_possession_event_after_anchor,
2,370.04,complete_ten_attackers_unavailable,9.0
2,374.04,complete_ten_attackers_unavailable,9.0
2,378.04,complete_ten_attackers_unavailable,9.0
2,382.04,complete_ten_attackers_unavailable,9.0
2,386.04,complete_ten_attackers_unavailable,9.0
2,390.04,complete_ten_attackers_unavailable,9.0
2,394.04,complete_ten_attackers_unavailable,9.0
2,398.04,complete_ten_attackers_unavailable,9.0
2,402.04,complete_ten_attackers_unavailable,9.0
2,406.04,complete_ten_attackers_unavailable,9.0
2,410.04,complete_ten_attackers_unavailable,9.0
2,414.04,restart_or_ball_out_span,
2,418.04,complete_ten_attackers_unavailable,9.0
2,422.04,complete_ten_attackers_unavailable,9.0
2,426.04,complete_ten_attackers_unavailable,9.0
2,430.04,complete_ten_attackers_unavailable,9.0
2,434.04,complete_ten_attackers_unavailable,9.0
2,438.04,complete_ten_attackers_unavailable,9.0
2,442.04,complete_ten_attackers_unavailable,9.0
2,446.04,restart_or_ball_out_span,
2,450.04,complete_ten_attackers_unavailable,9.0
2,454.04,complete_ten_attackers_unavailable,9.0
2,458.04,complete_ten_attackers_unavailable,9.0
2,462.04,complete_ten_attackers_unavailable,9.0
2,466.04,restart_or_ball_out_span,
2,470.04,complete_ten_attackers_unavailable,9.0
2,474.04,complete_ten_attackers_unavailable,9.0
2,478.04,complete_ten_attackers_unavailable,9.0
2,482.04,complete_ten_attackers_unavailable,9.0
2,486.04,complete_ten_attackers_unavailable,9.0
2,490.04,complete_ten_attackers_unavailable,9.0
2,494.04,complete_ten_attackers_unavailable,9.0
2,498.04,complete_ten_attackers_unavailable,9.0
2,502.04,complete_ten_attackers_unavailable,9.0
2,506.04,complete_ten_attackers_unavailable,9.0
2,510.04,complete_ten_attackers_unavailable,9.0
2,514.04,complete_ten_attackers_unavailable,9.0
2,518.04,complete_ten_attackers_unavailable,9.0
2,522.04,complete_ten_attackers_unavailable,9.0
2,526.04,restart_or_ball_out_span,
2,530.04,complete_ten_attackers_unavailable,9.0
2,534.04,complete_ten_attackers_unavailable,9.0
2,538.04,complete_ten_attackers_unavailable,9.0
2,542.04,complete_ten_attackers_unavailable,9.0
2,546.04,restart_or_ball_out_span,
2,550.04,complete_ten_attackers_unavailable,9.0
2,554.04,complete_ten_attackers_unavailable,9.0
2,558.04,complete_ten_attackers_unavailable,9.0
2,562.04,complete_ten_attackers_unavailable,9.0
2,566.04,complete_ten_attackers_unavailable,9.0
2,570.04,complete_ten_attackers_unavailable,9.0
2,574.04,complete_ten_attackers_unavailable,9.0
2,578.04,complete_ten_attackers_unavailable,9.0
2,582.04,complete_ten_attackers_unavailable,9.0
2,586.04,restart_or_ball_out_span,
2,590.04,opponent_possession_event_after_anchor,
2,594.04,complete_ten_attackers_unavailable,9.0
2,598.04,complete_ten_attackers_unavailable,9.0
2,602.04,complete_ten_attackers_unavailable,9.0
2,606.04,complete_ten_attackers_unavailable,9.0
2,610.04,complete_ten_attackers_unavailable,9.0
2,614.04,complete_ten_attackers_unavailable,9.0
2,618.04,complete_ten_attackers_unavailable,9.0
2,622.04,restart_or_ball_out_span,
2,626.04,complete_ten_attackers_unavailable,9.0
2,630.04,complete_ten_attackers_unavailable,9.0
2,634.04,complete_ten_attackers_unavailable,9.0
2,638.04,complete_ten_attackers_unavailable,9.0
2,642.04,complete_ten_attackers_unavailable,9.0
2,646.04,restart_or_ball_out_span,
2,650.04,restart_or_ball_out_span,
2,654.04,complete_ten_attackers_unavailable,9.0
2,658.04,complete_ten_attackers_unavailable,9.0
2,662.04,complete_ten_attackers_unavailable,9.0
2,666.04,complete_ten_attackers_unavailable,9.0
2,670.04,complete_ten_attackers_unavailable,9.0
2,674.04,complete_ten_attackers_unavailable,9.0
2,678.04,complete_ten_attackers_unavailable,9.0
2,682.04,complete_ten_attackers_unavailable,9.0
2,686.04,complete_ten_attackers_unavailable,9.0
2,690.04,complete_ten_attackers_unavailable,9.0
2,694.04,complete_ten_attackers_unavailable,9.0
2,698.04,complete_ten_attackers_unavailable,9.0
2,702.04,restart_or_ball_out_span,
2,706.04,complete_ten_attackers_unavailable,9.0
2,710.04,complete_ten_attackers_unavailable,9.0
2,714.04,complete_ten_attackers_unavailable,9.0
2,718.04,complete_ten_attackers_unavailable,9.0
2,722.04,restart_or_ball_out_span,
2,726.04,complete_ten_attackers_unavailable,9.0
2,730.04,complete_ten_attackers_unavailable,9.0
2,734.04,complete_ten_attackers_unavailable,9.0
2,738.04,complete_ten_attackers_unavailable,9.0
2,742.04,opponent_possession_event_after_anchor,
2,746.04,complete_ten_attackers_unavailable,9.0
2,750.04,complete_ten_attackers_unavailable,9.0
2,754.04,complete_ten_attackers_unavailable,9.0
2,758.04,complete_ten_attackers_unavailable,9.0
2,762.04,complete_ten_attackers_unavailable,9.0
2,766.04,complete_ten_attackers_unavailable,9.0
2,770.04,complete_ten_attackers_unavailable,9.0
2,774.04,complete_ten_attackers_unavailable,9.0
2,778.04,complete_ten_attackers_unavailable,9.0
2,782.04,complete_ten_attackers_unavailable,9.0
2,786.04,complete_ten_attackers_unavailable,9.0
2,790.04,complete_ten_attackers_unavailable,9.0
2,794.04,complete_ten_attackers_unavailable,9.0
2,798.04,complete_ten_attackers_unavailable,9.0
2,802.04,complete_ten_attackers_unavailable,9.0
2,806.04,complete_ten_attackers_unavailable,9.0
2,810.04,complete_ten_attackers_unavailable,9.0
2,814.04,complete_ten_attackers_unavailable,9.0
2,818.04,restart_or_ball_out_span,
2,822.04,complete_ten_attackers_unavailable,9.0
2,826.04,opponent_possession_event_after_anchor,
2,830.04,complete_ten_attackers_unavailable,9.0
2,834.04,restart_or_ball_out_span,
2,838.04,complete_ten_attackers_unavailable,9.0
2,842.04,complete_ten_attackers_unavailable,9.0
2,846.04,complete_ten_attackers_unavailable,9.0
2,850.04,complete_ten_attackers_unavailable,9.0
2,854.04,restart_or_ball_out_span,
2,858.04,opponent_possession_event_after_anchor,
2,862.04,opponent_possession_event_after_anchor,
2,866.04,complete_ten_attackers_unavailable,9.0
2,870.04,complete_ten_attackers_unavailable,9.0
2,874.04,complete_ten_attackers_unavailable,9.0
2,878.04,complete_ten_attackers_unavailable,9.0
2,882.04,complete_ten_attackers_unavailable,9.0
2,886.04,complete_ten_attackers_unavailable,9.0
2,890.04,restart_or_ball_out_span,
2,894.04,complete_ten_attackers_unavailable,9.0
2,898.04,complete_ten_attackers_unavailable,9.0
2,902.04,opponent_possession_event_after_anchor,
2,906.04,complete_ten_attackers_unavailable,9.0
2,910.04,complete_ten_attackers_unavailable,9.0
2,914.04,complete_ten_attackers_unavailable,9.0
2,918.04,complete_ten_attackers_unavailable,9.0
2,922.04,complete_ten_attackers_unavailable,9.0
2,926.04,complete_ten_attackers_unavailable,9.0
2,930.04,complete_ten_attackers_unavailable,9.0
2,934.04,complete_ten_attackers_unavailable,9.0
2,938.04,complete_ten_attackers_unavailable,9.0
2,942.04,complete_ten_attackers_unavailable,9.0
2,946.04,opponent_possession_event_after_anchor,
2,950.04,complete_ten_attackers_unavailable,9.0
2,954.04,opponent_possession_event_after_anchor,
2,958.04,complete_ten_attackers_unavailable,9.0
2,962.04,complete_ten_attackers_unavailable,9.0
2,966.04,complete_ten_attackers_unavailable,9.0
2,970.04,complete_ten_attackers_unavailable,9.0
2,974.04,complete_ten_attackers_unavailable,9.0
2,978.04,complete_ten_attackers_unavailable,9.0
2,982.04,complete_ten_attackers_unavailable,9.0
2,986.04,complete_ten_attackers_unavailable,9.0
2,990.04,complete_ten_attackers_unavailable,9.0
2,994.04,restart_or_ball_out_span,
2,998.04,complete_ten_attackers_unavailable,9.0
2,1002.04,restart_or_ball_out_span,
2,1006.04,complete_ten_attackers_unavailable,9.0
2,1010.04,complete_ten_attackers_unavailable,9.0
2,1014.04,complete_ten_attackers_unavailable,9.0
2,1018.04,complete_ten_attackers_unavailable,9.0
2,1022.04,complete_ten_attackers_unavailable,9.0
2,1026.04,complete_ten_attackers_unavailable,9.0
2,1030.04,complete_ten_attackers_unavailable,9.0
2,1034.04,complete_ten_attackers_unavailable,9.0
2,1038.04,restart_or_ball_out_span,
2,1042.04,complete_ten_attackers_unavailable,9.0
2,1046.04,complete_ten_attackers_unavailable,9.0
2,1050.04,complete_ten_attackers_unavailable,9.0
2,1054.04,complete_ten_attackers_unavailable,9.0
2,1058.04,complete_ten_attackers_unavailable,9.0
2,1062.04,complete_ten_attackers_unavailable,9.0
2,1066.04,complete_ten_attackers_unavailable,9.0
2,1070.04,opponent_possession_event_after_anchor,
2,1074.04,opponent_possession_event_after_anchor,
2,1078.04,complete_ten_attackers_unavailable,9.0
2,1082.04,restart_or_ball_out_span,
2,1086.04,complete_ten_attackers_unavailable,9.0
2,1090.04,complete_ten_attackers_unavailable,9.0
2,1094.04,complete_ten_attackers_unavailable,9.0
2,1098.04,complete_ten_attackers_unavailable,9.0
2,1102.04,opponent_possession_event_after_anchor,
2,1106.04,complete_ten_attackers_unavailable,9.0
2,1110.04,opponent_possession_event_after_anchor,
2,1114.04,complete_ten_attackers_unavailable,9.0
2,1118.04,complete_ten_attackers_unavailable,9.0
2,1122.04,complete_ten_attackers_unavailable,9.0
2,1126.04,complete_ten_attackers_unavailable,9.0
2,1130.04,complete_ten_attackers_unavailable,9.0
2,1134.04,complete_ten_attackers_unavailable,9.0
2,1138.04,complete_ten_attackers_unavailable,9.0
2,1142.04,complete_ten_attackers_unavailable,9.0
2,1146.04,complete_ten_attackers_unavailable,9.0
2,1150.04,complete_ten_attackers_unavailable,9.0
2,1154.04,complete_ten_attackers_unavailable,9.0
