game,defending_team,focal_player,n,median,iqr
1,Away,15,198,5.065432226662751,3.7438289428338454
1,Away,16,198,4.91598830410472,3.2519570586865836
1,Away,17,198,6.220403898201619,4.7338612655085255
1,Away,18,198,6.474854208898576,5.551355482451946
1,Away,19,135,7.445790148482687,4.831976125603589
1,Away,20,198,5.540282405066775,4.1828124862417075
1,Away,21,198,6.866211170512731,4.765273995163768
1,Away,22,109,7.752468297283504,5.99121030932823
1,Away,23,198,7.21564842877827,4.809690345240572
1,Away,24,109,7.397911601476291,5.109756320228163
1,Away,26,89,5.20618778615273,4.21339283974746
1,Away,27,89,5.79133050158636,5.2208746361529474
1,Away,28,63,5.112210108375831,4.55978193686871
1,Home,1,87,3.9654153104273435,4.01586614345738
1,Home,10,185,6.114766724302266,4.138093018923474
1,Home,12,137,4.722289653564722,4.080556876052869
1,Home,13,51,5.798501192394088,2.4470184175000584
1,Home,2,224,4.307445883643962,2.592765194229073
1,Home,3,224,4.810661821374431,3.1233938612882626
1,Home,4,224,4.321584419595046,3.2648332508433238
1,Home,5,224,5.468453886733683,4.049970010133313
1,Home,6,173,4.036405829058264,2.8823698835676037
1,Home,7,224,4.91135353342424,3.5381384810468477
1,Home,8,224,5.761822762635926,5.2812011053242385
1,Home,9,224,6.563802546712431,4.4991527103218
2,Away,15,217,5.5280080509218505,4.938655403703921
2,Away,16,217,5.02552395218889,2.8032017366058875
2,Away,17,217,4.219631326530423,2.64160763339282
2,Away,18,217,4.877215467865629,3.7768083276171764
2,Away,19,217,7.0390164190477424,4.2409350041701535
2,Away,20,217,5.44773716389104,4.131404333025789
2,Away,21,217,4.714210619404768,3.6082087306338537
2,Away,22,154,6.288746916924324,3.9986255007690374
2,Away,23,217,6.65552120462274,3.868123511391513
2,Away,24,217,6.886938748233194,3.9772617949265463
2,Away,26,63,6.640738378705903,4.514172458086707
2,Home,1,190,5.721428465460585,3.121913254237068
2,Home,10,171,6.416333332694693,4.77761387042484
2,Home,2,190,4.619286284476765,3.327379692505034
2,Home,3,190,4.372233027994543,3.049341804433055
2,Home,4,150,5.620696290138003,5.139813549567044
2,Home,5,190,6.767282798690498,4.5954231028248795
2,Home,6,190,6.133458620939386,4.285847513996611
2,Home,7,190,5.540416009424068,4.086605577950081
2,Home,8,162,5.934187319314706,4.056506799858393
2,Home,9,190,6.468269040356971,4.769397079530671
