game,bin,n,median,iqr,stratum
1,0,1400,4.060000834193469,3.3120144963001503,team_activity_bin
1,1,1420,5.994071392373503,4.424667814994906,team_activity_bin
1,2,1400,6.666956775608437,4.657443522136687,team_activity_bin
2,0,1300,4.537837399004488,3.1555489681277553,team_activity_bin
2,1,1400,5.671250722707322,3.8352067187936134,team_activity_bin
2,2,1370,6.892581216479687,4.554503641729915,team_activity_bin
1,0,1400,4.211503987120864,3.695656766004059,ball_bin
1,1,1420,6.15516483451963,4.437102888168453,ball_bin
1,2,1400,6.145058595366901,4.359439696425265,ball_bin
2,0,920,4.628104688467209,3.863185159265373,ball_bin
2,1,1620,5.800081288209853,4.223033188169808,ball_bin
2,2,1530,6.085587852201806,4.192754244786517,ball_bin
