match_id,idsse_tercile__focal_absolute_path_m,idsse_tercile__full_defending_outfield_centroid_path_m,observations,median_m
J03WMX,low,low,1722,2.732377423073646
J03WMX,low,middle,569,3.8213532767504597
J03WMX,low,high,25,8.741044193403823
J03WMX,middle,low,556,6.153567956588498
J03WMX,middle,middle,1260,4.827423224731969
J03WMX,middle,high,500,6.235809741712346
J03WMX,high,low,38,12.334616720508222
J03WMX,high,middle,487,10.013700132614831
J03WMX,high,high,1792,7.475133739835803
J03WN1,low,low,1198,2.5316344302197207
J03WN1,low,middle,549,3.698518176491269
J03WN1,low,high,65,6.934523806801377
J03WN1,middle,low,506,5.43754890982032
J03WN1,middle,middle,882,3.735389135203345
J03WN1,middle,high,424,4.164546027559607
J03WN1,high,low,108,9.241210649424495
J03WN1,high,middle,381,7.444418336267106
J03WN1,high,high,1323,6.768878149222195
J03WOH,low,low,1463,2.673938900389739
J03WOH,low,middle,546,4.18213571512497
J03WOH,low,high,30,6.809332265705237
J03WOH,middle,low,525,6.075222528796642
J03WOH,middle,middle,1120,4.2630086353901255
J03WOH,middle,high,393,5.589641698387832
J03WOH,high,low,51,13.566772569631453
J03WOH,high,middle,372,10.20889582972963
J03WOH,high,high,1616,7.121090783020963
J03WOY,low,low,1569,2.8781864441492475
J03WOY,low,middle,507,4.05875322638193
J03WOY,low,high,39,8.263912330265416
J03WOY,middle,low,486,5.9190541939027135
J03WOY,middle,middle,1178,4.211001698135039
J03WOY,middle,high,451,6.200104144392367
J03WOY,high,low,60,12.678655864363765
J03WOY,high,middle,430,9.449510630614105
J03WOY,high,high,1625,7.044258871013907
J03WPY,low,low,1710,2.453626445234142
J03WPY,low,middle,609,3.9462191404962508
J03WPY,low,high,40,7.329653012721
J03WPY,middle,low,570,5.830348603631929
J03WPY,middle,middle,1288,4.2536133821496005
J03WPY,middle,high,501,5.443151709185217
J03WPY,high,low,79,12.141172886888485
J03WPY,high,middle,462,9.133793280394631
J03WPY,high,high,1818,7.278530728723914
J03WQQ,low,low,1528,2.8490883129339926
J03WQQ,low,middle,534,4.054320863373688
J03WQQ,low,high,37,7.682851240680784
J03WQQ,middle,low,488,6.606574014675814
J03WQQ,middle,middle,1106,4.738783458574808
J03WQQ,middle,high,505,5.952767744826989
J03WQQ,high,low,83,13.744035857478835
J03WQQ,high,middle,459,10.170632926118536
J03WQQ,high,high,1558,7.353787242206764
J03WR9,low,low,1497,3.1106540746855895
J03WR9,low,middle,608,3.9695659650994406
J03WR9,low,high,81,6.605973325230504
J03WR9,middle,low,602,5.808190924400154
J03WR9,middle,middle,1080,4.328575900765607
J03WR9,middle,high,504,5.534803584893112
J03WR9,high,low,87,11.333753296588348
J03WR9,high,middle,498,8.706064369508193
J03WR9,high,high,1601,7.438175976920516
