history,outer_heldout_match,model,bin,realized_bins,lower_edge,upper_edge,n,predicted_mean,predicted_median,observed_mean,observed_median,calibration_slope,calibration_intercept
2s,J03WMX,B1,1,5,2.762840280293435,4.225846703215002,1331,3.6826889826835445,3.713012840139653,2.883017661939417,2.5381606688206677,,
2s,J03WMX,B1,2,5,4.225846703215002,4.937855824334875,1192,4.585985022332747,4.5871974175818035,4.5704106378975045,4.070434409999528,,
2s,J03WMX,B1,3,5,4.937855824334875,5.704009254213371,1346,5.317689913907533,5.3157432068482,5.548782971717305,5.045592236779761,,
2s,J03WMX,B1,4,5,5.704009254213371,6.974957582905487,1511,6.253680985197499,6.2117198508188665,6.947380185308811,6.35987729231636,,
2s,J03WMX,B1,5,5,6.974957582905487,67.3170964269056,1568,8.816822586014649,8.381425148660579,8.963937100258546,8.343741633674195,,
2s,J03WMX,B1,ALL,5,,,6948,5.87217236473753,5.4803358373380995,5.945139997345091,5.141782242343266,1.0675657008855706,-0.323789808936803
2s,J03WMX,B2,1,5,2.02026305901078,4.0543028438488475,1317,3.392353284817998,3.4926662856737094,2.790457190902326,2.4924068825985968,,
2s,J03WMX,B2,2,5,4.0543028438488475,4.923121198857289,1195,4.494652431748299,4.504858440231876,4.39984291505661,3.9942101317483383,,
2s,J03WMX,B2,3,5,4.923121198857289,5.899475649292469,1309,5.408453219205031,5.407285489728306,5.7641242069905,5.212525592203317,,
2s,J03WMX,B2,4,5,5.899475649292469,7.221503949428861,1497,6.5098705377291495,6.489520269739711,6.867042531499506,6.233198898800479,,
2s,J03WMX,B2,5,5,7.221503949428861,58.33132181387431,1630,8.8942980751127,8.474548758535573,8.925636221495314,8.20206513217635,,
2s,J03WMX,B2,ALL,5,,,6948,5.924220819429784,5.640788799409428,5.945139997345091,5.141782242343266,1.0410672177499638,-0.22237208847508397
2s,J03WMX,B3,1,5,1.5815445374490746,3.9606155224052046,1336,3.3379035941556547,3.435683705190362,2.847252072642037,2.5423356093259857,,
2s,J03WMX,B3,2,5,3.9606155224052046,4.89243777763059,1190,4.436379163761462,4.440474970427038,4.321697408198279,3.9275760782828693,,
2s,J03WMX,B3,3,5,4.89243777763059,5.944684989937865,1279,5.406659873890478,5.390803748943977,5.709474856455269,5.2477805975805785,,
2s,J03WMX,B3,4,5,5.944684989937865,7.336981214616271,1560,6.5856807324875435,6.580075728533375,6.955030961489445,6.364203442452283,,
2s,J03WMX,B3,5,5,7.336981214616271,54.04013276592051,1583,9.002102164001275,8.602559957028493,8.975247868236362,8.416269467749451,,
2s,J03WMX,B3,ALL,5,,,6948,5.926574273700144,5.676313513952385,5.945139997345091,5.141782242343266,1.026825183620559,-0.14041571948794465
