history,outer_heldout_match,model,alpha,n,MAE,median_absolute_error,RMSE,R2
2s,J03WMX,B0,,6948,2.73049291982639,2.035778130537614,3.7846712753878182,-0.08350673093008476
2s,J03WMX,B1,0.1,6948,2.1591030902891606,1.6667714935831355,2.9563199030673037,0.3388832813156556
2s,J03WMX,B2,10.0,6948,2.1289022617073408,1.600407065545951,2.9143353824815184,0.3575277951792627
2s,J03WMX,B3,0.1,6948,2.1192310831356256,1.6136057709620688,2.8975059884174525,0.3649265309420393
2s,J03WMX,B4,100.0,6948,2.1139455310038757,1.6027792727562515,2.8901642640145107,0.3681407623673777
2s,J03WN1,B0,,5436,2.4913646142689476,1.974154786955099,3.41581872058588,-0.004584387575115478
2s,J03WN1,B1,0.1,5436,2.0287428504665943,1.6667460157964782,2.7462186861413596,0.3506676629596339
2s,J03WN1,B2,10.0,5436,1.9408141800192442,1.5258456984740523,2.6780371708091457,0.3825099029656278
2s,J03WN1,B3,0.1,5436,1.9263492129167603,1.51345649129015,2.6622497015593134,0.38976885456490307
2s,J03WN1,B4,0.1,5436,1.9182028181020585,1.4960704334252748,2.6614958114811462,0.3901144134868024
2s,J03WOH,B0,,6115,2.657639749451241,2.0165184218818064,3.6633261511850637,-0.05198321900396685
2s,J03WOH,B1,0.1,6115,2.1623011733421835,1.6968837226221334,2.9468259235698286,0.31928298993097703
2s,J03WOH,B2,100.0,6115,2.123723043797979,1.6298993238338992,2.9132874894152114,0.3346895770170516
2s,J03WOH,B3,0.1,6115,2.1117486240254193,1.6120682681304048,2.9011303875297263,0.3402306508489036
2s,J03WOH,B4,10.0,6115,2.110713100641036,1.6204332002158257,2.895716474404349,0.3426907961022625
2s,J03WOY,B0,,6342,2.6659293100277877,1.9700421699747117,3.760336600215697,-0.05732720125294155
2s,J03WOY,B1,0.1,6342,2.19954821611364,1.6874209021407713,3.189882150769921,0.2391391492595688
2s,J03WOY,B2,1.0,6342,2.158186835259015,1.6201072681229223,3.116328975284331,0.27382288711619773
2s,J03WOY,B3,0.1,6342,2.1256699407115796,1.5627415226897399,3.066698096673104,0.29676899721984307
2s,J03WOY,B4,100.0,6342,2.1209970572661976,1.5668363059827413,3.05730910512935,0.30106842444541027
2s,J03WPY,B0,,7074,2.6744337256840143,2.0535114562542374,3.7314770374346597,-0.032518832604017556
2s,J03WPY,B1,0.1,7074,2.165298199566168,1.7106235679407664,2.9894499087071167,0.3372969087798324
2s,J03WPY,B2,100.0,7074,2.111705979978412,1.6188234960759846,2.9487566424562797,0.3552159300336746
2s,J03WPY,B3,0.1,7074,2.084724561054805,1.5982089797428354,2.9100144988290837,0.37204757707208613
2s,J03WPY,B4,0.1,7074,2.0734508930916684,1.5757303717216837,2.9026251992015326,0.3752326040520687
2s,J03WQQ,B0,,6296,2.8034095757362762,2.0311917720362116,3.9477850778391557,-0.09781768293631976
2s,J03WQQ,B1,0.1,6296,2.2795466295972315,1.7583387135429245,3.1776063121942957,0.28874816702203676
2s,J03WQQ,B2,100.0,6296,2.2496304345400646,1.7197543479536685,3.1304501962402647,0.3097016788546535
2s,J03WQQ,B3,1.0,6296,2.2377857897406814,1.727153164309334,3.09722886502071,0.32427526640076165
2s,J03WQQ,B4,100.0,6296,2.2326691805787022,1.696787637194076,3.092682620082347,0.32625752581375245
2s,J03WR9,B0,,6556,2.6154624513088756,1.921201607879556,3.6747848897649433,-0.08500195521518705
2s,J03WR9,B1,0.1,6556,2.181730545688189,1.6963902248907676,2.998952556170646,0.2773868386535566
2s,J03WR9,B2,100.0,6556,2.1559226300384062,1.6538168922264345,2.96495703529478,0.2936767765243762
2s,J03WR9,B3,1.0,6556,2.137541029428108,1.6341766178977617,2.925532631449092,0.3123355550712842
2s,J03WR9,B4,100.0,6556,2.13192827252855,1.636391789624163,2.9197488241381984,0.31505190627647084
