history,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
2s,J03WMX,B1,J03WN1,0.01,2.031390116917052,0,solve
2s,J03WMX,B1,J03WN1,0.1,2.031390694718834,0,solve
2s,J03WMX,B1,J03WN1,1.0,2.0313964726000964,0,solve
2s,J03WMX,B1,J03WN1,10.0,2.0314542377623197,0,solve
2s,J03WMX,B1,J03WN1,100.0,2.0320307870500924,0,solve
2s,J03WMX,B1,J03WOH,0.01,2.1625477950684067,0,solve
2s,J03WMX,B1,J03WOH,0.1,2.16254821354525,0,solve
2s,J03WMX,B1,J03WOH,1.0,2.1625523982026946,0,solve
2s,J03WMX,B1,J03WOH,10.0,2.1625942336829076,0,solve
2s,J03WMX,B1,J03WOH,100.0,2.163011889649851,0,solve
2s,J03WMX,B1,J03WOY,0.01,2.1979396017873496,0,solve
2s,J03WMX,B1,J03WOY,0.1,2.1979398452451084,0,solve
2s,J03WMX,B1,J03WOY,1.0,2.197942279785979,0,solve
2s,J03WMX,B1,J03WOY,10.0,2.1979666215222022,0,solve
2s,J03WMX,B1,J03WOY,100.0,2.1982113322340275,0,solve
2s,J03WMX,B1,J03WPY,0.01,2.166551731236321,0,solve
2s,J03WMX,B1,J03WPY,0.1,2.166552214692503,0,solve
2s,J03WMX,B1,J03WPY,1.0,2.166557049132837,0,solve
2s,J03WMX,B1,J03WPY,10.0,2.1666053813919697,0,solve
2s,J03WMX,B1,J03WPY,100.0,2.1670903959610652,0,solve
2s,J03WMX,B1,J03WQQ,0.01,2.277739842181062,0,solve
2s,J03WMX,B1,J03WQQ,0.1,2.277740076409069,0,solve
2s,J03WMX,B1,J03WQQ,1.0,2.277742418631192,0,solve
2s,J03WMX,B1,J03WQQ,10.0,2.27776583505998,0,solve
2s,J03WMX,B1,J03WQQ,100.0,2.277999422058865,0,solve
2s,J03WMX,B1,J03WR9,0.01,2.179746589751192,0,solve
2s,J03WMX,B1,J03WR9,0.1,2.1797467570937825,0,solve
2s,J03WMX,B1,J03WR9,1.0,2.1797484304608856,0,solve
2s,J03WMX,B1,J03WR9,10.0,2.1797651582550666,0,solve
2s,J03WMX,B1,J03WR9,100.0,2.1799332503891087,0,solve
2s,J03WMX,B2,J03WN1,0.01,1.9425706161490606,0,solve
2s,J03WMX,B2,J03WN1,0.1,1.9425733118678128,0,solve
2s,J03WMX,B2,J03WN1,1.0,1.9426002488524963,0,solve
2s,J03WMX,B2,J03WN1,10.0,1.942871655991185,0,solve
2s,J03WMX,B2,J03WN1,100.0,1.9455127105331251,0,solve
2s,J03WMX,B2,J03WOH,0.01,2.1248568591676515,0,solve
2s,J03WMX,B2,J03WOH,0.1,2.1248569259713808,0,solve
2s,J03WMX,B2,J03WOH,1.0,2.124857597050205,0,solve
2s,J03WMX,B2,J03WOH,10.0,2.124868005979623,0,solve
2s,J03WMX,B2,J03WOH,100.0,2.1251254824709696,0,solve
