match_id,period,team_id,sigma,goalkeeper_id,opening_median_x_m
J03WMX,firstHalf,DFL-CLU-00000G,1,DFL-OBJ-0002DR,-45.73999786376953
J03WMX,firstHalf,DFL-CLU-000008,-1,DFL-OBJ-0002HE,46.310001373291016
J03WMX,secondHalf,DFL-CLU-00000G,-1,DFL-OBJ-0002DR,44.05500030517578
J03WMX,secondHalf,DFL-CLU-000008,1,DFL-OBJ-0002HE,-34.23999786376953
J03WN1,firstHalf,DFL-CLU-00000B,1,DFL-OBJ-0026NY,-46.48999786376953
J03WN1,firstHalf,DFL-CLU-00000S,-1,DFL-OBJ-0001I0,26.224998474121094
J03WN1,secondHalf,DFL-CLU-00000B,-1,DFL-OBJ-0026NY,49.35499954223633
J03WN1,secondHalf,DFL-CLU-00000S,1,DFL-OBJ-0001I0,-42.279998779296875
J03WOH,firstHalf,DFL-CLU-00000P,-1,DFL-OBJ-0028FW,39.51000213623047
J03WOH,firstHalf,DFL-CLU-000011,1,DFL-OBJ-002GNH,-44.59000015258789
J03WOH,secondHalf,DFL-CLU-00000P,1,DFL-OBJ-0028FW,-23.6200008392334
J03WOH,secondHalf,DFL-CLU-000011,-1,DFL-OBJ-002GNH,47.84000015258789
J03WOY,firstHalf,DFL-CLU-00000P,-1,DFL-OBJ-0028FW,41.55999755859375
J03WOY,firstHalf,DFL-CLU-00000Q,1,DFL-OBJ-002FZB,-48.77000045776367
J03WOY,secondHalf,DFL-CLU-00000P,1,DFL-OBJ-0028FW,-22.690000534057617
J03WOY,secondHalf,DFL-CLU-00000Q,-1,DFL-OBJ-002FZB,46.17500305175781
J03WPY,firstHalf,DFL-CLU-000005,1,DFL-OBJ-0001HW,-45.025001525878906
J03WPY,firstHalf,DFL-CLU-00000P,-1,DFL-OBJ-0028FW,24.924999237060547
J03WPY,secondHalf,DFL-CLU-000005,-1,DFL-OBJ-0001HW,43.5099983215332
J03WPY,secondHalf,DFL-CLU-00000P,1,DFL-OBJ-0028FW,-39.310001373291016
J03WQQ,firstHalf,DFL-CLU-00000P,-1,DFL-OBJ-0028FW,39.05500030517578
J03WQQ,firstHalf,DFL-CLU-00000H,1,DFL-OBJ-0028LZ,-37.30500030517578
J03WQQ,secondHalf,DFL-CLU-00000P,1,DFL-OBJ-0028FW,-21.979999542236328
J03WQQ,secondHalf,DFL-CLU-00000H,-1,DFL-OBJ-0028LZ,45.49500274658203
J03WR9,firstHalf,DFL-CLU-00000I,-1,DFL-OBJ-00003W,46.630001068115234
J03WR9,firstHalf,DFL-CLU-00000P,1,DFL-OBJ-0028FW,-24.30500030517578
J03WR9,secondHalf,DFL-CLU-00000I,1,DFL-OBJ-00003W,-41.459999084472656
J03WR9,secondHalf,DFL-CLU-00000P,-1,DFL-OBJ-0028FW,39.29499816894531
