scope,group,variable,spearman_rho,n
overall,ALL,focal_recent_absolute_path_m,0.014421926058770894,44767
match,J03WMX,focal_recent_absolute_path_m,0.035260618353968674,6948
match,J03WN1,focal_recent_absolute_path_m,0.031906602934693225,5436
match,J03WOH,focal_recent_absolute_path_m,0.04482995801041921,6115
match,J03WOY,focal_recent_absolute_path_m,-0.01216053127423576,6342
match,J03WPY,focal_recent_absolute_path_m,0.008306110622616478,7074
match,J03WQQ,focal_recent_absolute_path_m,0.010337515479748644,6296
match,J03WR9,focal_recent_absolute_path_m,-0.02559220149359469,6556
overall,ALL,loo_centroid_recent_path_m,-0.014843529908735536,44767
match,J03WMX,loo_centroid_recent_path_m,0.018973767689466674,6948
match,J03WN1,loo_centroid_recent_path_m,0.01150100066519771,5436
match,J03WOH,loo_centroid_recent_path_m,-0.0013807263226945012,6115
match,J03WOY,loo_centroid_recent_path_m,-0.05557025396597381,6342
match,J03WPY,loo_centroid_recent_path_m,-0.020652707442619943,7074
match,J03WQQ,loo_centroid_recent_path_m,-0.011005241937067686,6296
match,J03WR9,loo_centroid_recent_path_m,-0.05641945620038537,6556
overall,ALL,other_defenders_recent_mean_path_m,-0.021856417819536105,44767
match,J03WMX,other_defenders_recent_mean_path_m,0.0053050425257221406,6948
match,J03WN1,other_defenders_recent_mean_path_m,0.01590757300774275,5436
match,J03WOH,other_defenders_recent_mean_path_m,-0.013236144008305022,6115
match,J03WOY,other_defenders_recent_mean_path_m,-0.05746734778735623,6342
match,J03WPY,other_defenders_recent_mean_path_m,-0.02884543105300507,7074
match,J03WQQ,other_defenders_recent_mean_path_m,-0.019833452613360215,6296
match,J03WR9,other_defenders_recent_mean_path_m,-0.06403941272572662,6556
overall,ALL,ball_recent_path_m,-0.020977693957881238,44767
match,J03WMX,ball_recent_path_m,-0.034164927847312114,6948
match,J03WN1,ball_recent_path_m,0.006440113328633184,5436
match,J03WOH,ball_recent_path_m,-0.04039618091573113,6115
match,J03WOY,ball_recent_path_m,-0.0484389273040563,6342
match,J03WPY,ball_recent_path_m,-0.007780004521504164,7074
match,J03WQQ,ball_recent_path_m,-0.004354801891913599,6296
match,J03WR9,ball_recent_path_m,-0.02614851572756265,6556
overall,ALL,focal_own_goal_depth_m,0.0015876369179344558,44767
match,J03WMX,focal_own_goal_depth_m,0.02352220790764766,6948
match,J03WN1,focal_own_goal_depth_m,0.013424728212114104,5436
match,J03WOH,focal_own_goal_depth_m,-0.005657929077281074,6115
match,J03WOY,focal_own_goal_depth_m,0.04587335447273928,6342
match,J03WPY,focal_own_goal_depth_m,0.02938033849645093,7074
match,J03WQQ,focal_own_goal_depth_m,-0.043507616570938025,6296
match,J03WR9,focal_own_goal_depth_m,-0.0495416401121238,6556
overall,ALL,focal_lateral_distance_m,-0.00922461191481089,44767
match,J03WMX,focal_lateral_distance_m,0.008350054293270041,6948
match,J03WN1,focal_lateral_distance_m,-0.039022222749270495,5436
match,J03WOH,focal_lateral_distance_m,-0.00912491141304213,6115
match,J03WOY,focal_lateral_distance_m,-0.017211395088611265,6342
match,J03WPY,focal_lateral_distance_m,0.016192434163045225,7074
match,J03WQQ,focal_lateral_distance_m,-0.026233296675268334,6296
match,J03WR9,focal_lateral_distance_m,-0.010247596838711735,6556
overall,ALL,predicted,0.002540994306259681,44767
match,J03WMX,predicted,0.015057999154552568,6948
match,J03WN1,predicted,0.03491702284420253,5436
match,J03WOH,predicted,0.010277358685898687,6115
match,J03WOY,predicted,-0.029830555613612263,6342
match,J03WPY,predicted,0.008716959155154339,7074
match,J03WQQ,predicted,-0.0029844345862687143,6296
match,J03WR9,predicted,-0.023457314428053502,6556
