prior,current,outer_heldout_match,prior_MAE,current_MAE,absolute_MAE_change,relative_MAE_improvement
B0,B1,J03WMX,2.73049291982639,2.0868109339080116,-0.6436819859183784,0.23573838307528186
B0,B1,J03WN1,2.4913646142689476,1.956712038986186,-0.5346525752827616,0.2146022995673185
B0,B1,J03WOH,2.6572770808179986,2.0683380845421557,-0.5889389962758429,0.2216325126676469
B0,B1,J03WOY,2.6659293100277877,2.129721402974953,-0.5362079070528347,0.20113358033759932
B0,B1,J03WPY,2.6759745682397584,2.0888679780457733,-0.5871065901939851,0.2193991666296667
B0,B1,J03WQQ,2.8034095757362762,2.2078057865363347,-0.5956037891999415,0.21245692900350263
B0,B1,J03WR9,2.6154624513088756,2.1200561878508664,-0.4954062634580092,0.1894144047872258
B1,B2,J03WMX,2.0868109339080116,2.0596627366872964,-0.027148197220715264,0.013009418716181588
B1,B2,J03WN1,1.956712038986186,1.868233471619561,-0.08847856736662507,0.045217980777829576
B1,B2,J03WOH,2.0683380845421557,2.031203740637197,-0.03713434390495873,0.01795371084760485
B1,B2,J03WOY,2.129721402974953,2.0905941708927833,-0.039127232082169616,0.018371995523693285
B1,B2,J03WPY,2.0888679780457733,2.029078102822834,-0.059789875222939326,0.028623099138546493
B1,B2,J03WQQ,2.2078057865363347,2.180870425474363,-0.026935361061971808,0.012200059093163592
B1,B2,J03WR9,2.1200561878508664,2.0964356017960215,-0.02362058605484485,0.011141490584166735
B2,B3,J03WMX,2.0596627366872964,2.0531672619344934,-0.006495474752802988,0.003153659401174644
B2,B3,J03WN1,1.868233471619561,1.8628534904112677,-0.005379981208293305,0.002879715672597082
B2,B3,J03WOH,2.031203740637197,2.024497698531935,-0.006706042105261822,0.003301511301450296
B2,B3,J03WOY,2.0905941708927833,2.064666350421434,-0.02592782047134934,0.012402129897969114
B2,B3,J03WPY,2.029078102822834,2.0159555682462287,-0.013122534576605283,0.006467239756985864
B2,B3,J03WQQ,2.180870425474363,2.1749824508758215,-0.005887974598541401,0.0026998277980044153
B2,B3,J03WR9,2.0964356017960215,2.0832024406350182,-0.01323316116100326,0.0063122192495044345
B3,B4,J03WMX,2.0531672619344934,2.048268999003212,-0.004898262931281483,0.0023857106150554637
B3,B4,J03WN1,1.8628534904112677,1.8547703417535955,-0.008083148657672234,0.004339122050810176
B3,B4,J03WOH,2.024497698531935,2.024906421646973,0.00040872311503781233,-0.0002018886538296378
B3,B4,J03WOY,2.064666350421434,2.0596208206014164,-0.005045529820017602,0.0024437506907533622
B3,B4,J03WPY,2.0159555682462287,2.0050078550444974,-0.010947713201731268,0.005430532981069211
B3,B4,J03WQQ,2.1749824508758215,2.1716560180615754,-0.0033264328142461608,0.001529406737468927
B3,B4,J03WR9,2.0832024406350182,2.077173382354765,-0.006029058280253352,0.0028941298083423554
