match_id,ball_nearest_selected_category,n,proportion_within_match
J03WMX,A1,814,0.11718974949611287
J03WMX,A2,737,0.10610423265188598
J03WMX,A3,691,0.09948171609559459
J03WMX,outside_A1_A3,4704,0.6772243017564066
J03WN1,A1,733,0.13489142436510856
J03WN1,A2,492,0.09054103790945896
J03WN1,A3,503,0.09256532940743467
J03WN1,outside_A1_A3,3706,0.6820022083179977
J03WOH,A1,747,0.12215862632869992
J03WOH,A2,482,0.07882256745707278
J03WOH,A3,459,0.07506132461161079
J03WOH,outside_A1_A3,4427,0.7239574816026165
J03WOY,A1,777,0.12251655629139073
J03WOY,A2,624,0.09839167455061495
J03WOY,A3,547,0.08625039419741407
J03WOY,outside_A1_A3,4394,0.6928413749605803
J03WPY,A1,805,0.11386138613861387
J03WPY,A2,621,0.08783592644978784
J03WPY,A3,619,0.08755304101838755
J03WPY,outside_A1_A3,5025,0.7107496463932107
J03WQQ,A1,706,0.11225950071553506
J03WQQ,A2,557,0.08856733979965019
J03WQQ,A3,511,0.08125298139608841
J03WQQ,outside_A1_A3,4515,0.7179201780887263
J03WR9,A1,727,0.11089078706528371
J03WR9,A2,616,0.09395973154362416
J03WR9,A3,564,0.0860280658938377
J03WR9,outside_A1_A3,4649,0.7091214154972544
ALL,A1,5309,0.11863156953879156
ALL,A2,4129,0.0922640328923847
ALL,A3,3894,0.08701287093314265
ALL,outside_A1_A3,31420,0.7020915266356811
