analysis,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
primary_K3_2s,J03WMX,B4,J03WN1,0.01,1.9210653233457198,0,solve
primary_K3_2s,J03WMX,B4,J03WN1,0.1,1.9210680974961645,0,solve
primary_K3_2s,J03WMX,B4,J03WN1,1.0,1.9210958010248183,0,solve
primary_K3_2s,J03WMX,B4,J03WN1,10.0,1.9213689751833742,0,solve
primary_K3_2s,J03WMX,B4,J03WN1,100.0,1.9238076198156733,0,solve
primary_K3_2s,J03WMX,B4,J03WOH,0.01,2.114844577914584,0,solve
primary_K3_2s,J03WMX,B4,J03WOH,0.1,2.1148421392997103,0,solve
primary_K3_2s,J03WMX,B4,J03WOH,1.0,2.114818142286144,0,solve
primary_K3_2s,J03WMX,B4,J03WOH,10.0,2.114615017973364,0,solve
primary_K3_2s,J03WMX,B4,J03WOH,100.0,2.1138339451815,0,solve
primary_K3_2s,J03WMX,B4,J03WOY,0.01,2.1180811231618004,0,solve
primary_K3_2s,J03WMX,B4,J03WOY,0.1,2.118081824986301,0,solve
primary_K3_2s,J03WMX,B4,J03WOY,1.0,2.1180888280467456,0,solve
primary_K3_2s,J03WMX,B4,J03WOY,10.0,2.118157811295936,0,solve
primary_K3_2s,J03WMX,B4,J03WOY,100.0,2.11880829821108,0,solve
primary_K3_2s,J03WMX,B4,J03WPY,0.01,2.0764827743905316,0,solve
primary_K3_2s,J03WMX,B4,J03WPY,0.1,2.076483911341079,0,solve
primary_K3_2s,J03WMX,B4,J03WPY,1.0,2.076495382810997,0,solve
primary_K3_2s,J03WMX,B4,J03WPY,10.0,2.0766113483042927,0,solve
primary_K3_2s,J03WMX,B4,J03WPY,100.0,2.0778331805219277,0,solve
primary_K3_2s,J03WMX,B4,J03WQQ,0.01,2.232036094279748,0,solve
primary_K3_2s,J03WMX,B4,J03WQQ,0.1,2.232035930712898,0,solve
primary_K3_2s,J03WMX,B4,J03WQQ,1.0,2.232034297794155,0,solve
primary_K3_2s,J03WMX,B4,J03WQQ,10.0,2.232018247427895,0,solve
primary_K3_2s,J03WMX,B4,J03WQQ,100.0,2.231951958889673,0,solve
