analysis,outer_heldout_match,model,alpha,n,MAE,median_absolute_error,RMSE,R2
K1_same_primary_sample,J03WMX,B4,100.0,6946,2.114184636128844,1.6035172765618284,2.8904004579249047,0.36812387676521663
K1_same_primary_sample,J03WMX,K1_B5,100.0,6946,2.1133927291704455,1.5952291428171965,2.888815428319902,0.3688166996215073
K1_same_primary_sample,J03WMX,K1_B6,100.0,6946,2.111537331776881,1.6008381241930552,2.8874511015484354,0.3694127480341186
K1_same_primary_sample,J03WMX,K1_B7,10.0,6946,2.1087149531900855,1.5834597207146817,2.883404029731606,0.3711791803184046
K1_same_primary_sample,J03WN1,B4,0.1,5434,1.9186177238557416,1.4962785063992419,2.6619371174004893,0.3900300573445593
K1_same_primary_sample,J03WN1,K1_B5,0.1,5434,1.9202312087922753,1.4895323444393536,2.6652572282024636,0.38850753396772064
K1_same_primary_sample,J03WN1,K1_B6,1.0,5434,1.9211544216281067,1.4910936003645783,2.66540598316432,0.3884392740820135
K1_same_primary_sample,J03WN1,K1_B7,0.1,5434,1.9217857331142205,1.4973540495514253,2.6661006273907133,0.388120469001778
K1_same_primary_sample,J03WOH,B4,10.0,6115,2.110731716654173,1.6205213252670951,2.8957222668450138,0.3426881664053264
K1_same_primary_sample,J03WOH,K1_B5,10.0,6115,2.1108803517544255,1.6179883204491823,2.8934835466402764,0.3437041260277698
K1_same_primary_sample,J03WOH,K1_B6,10.0,6115,2.1140100138019897,1.6307167346257154,2.8944502951013935,0.3432654997085981
K1_same_primary_sample,J03WOH,K1_B7,1.0,6115,2.1097390101194557,1.6204099625596065,2.891580601544867,0.344567088831349
K1_same_primary_sample,J03WOY,B4,100.0,6342,2.1210460833485203,1.5666908707497245,3.057360731638518,0.30104481956882845
K1_same_primary_sample,J03WOY,K1_B5,100.0,6342,2.1230150900501568,1.5728588943365993,3.0567893524543726,0.3013060456115054
K1_same_primary_sample,J03WOY,K1_B6,100.0,6342,2.1234253893950785,1.5793138684039782,3.0538956792580962,0.3026282400989735
K1_same_primary_sample,J03WOY,K1_B7,100.0,6342,2.1203042711645543,1.5795268448588928,3.050882841237274,0.30400355344501717
K1_same_primary_sample,J03WPY,B4,0.1,7070,2.073941868832689,1.576678719002038,2.903321347961492,0.3750541197047992
K1_same_primary_sample,J03WPY,K1_B5,0.1,7070,2.0727605798677313,1.5726207438892719,2.9013134732142087,0.3759182191276573
K1_same_primary_sample,J03WPY,K1_B6,10.0,7070,2.072712597768285,1.557868068808744,2.9022935979594067,0.3754964919885819
K1_same_primary_sample,J03WPY,K1_B7,0.1,7070,2.07066527277511,1.558381980792603,2.8992986512470726,0.37678470741751957
K1_same_primary_sample,J03WQQ,B4,100.0,6289,2.2327876044882418,1.698316839376075,3.092587218559001,0.325991273558386
K1_same_primary_sample,J03WQQ,K1_B5,100.0,6289,2.2309847314186704,1.7034965618410336,3.090414281871122,0.32693809488286873
K1_same_primary_sample,J03WQQ,K1_B6,100.0,6289,2.2287515208829274,1.693439350147612,3.088668530780946,0.3276982950202507
K1_same_primary_sample,J03WQQ,K1_B7,100.0,6289,2.229911647005926,1.6984423518336231,3.088741638563719,0.3276664683167999
K1_same_primary_sample,J03WR9,B4,100.0,6556,2.13189232149592,1.635371304377292,2.9197250262124994,0.31506307181049065
K1_same_primary_sample,J03WR9,K1_B5,100.0,6556,2.1307796455584174,1.6355877606228628,2.919555621002749,0.3151425508825293
K1_same_primary_sample,J03WR9,K1_B6,100.0,6556,2.1292493465089715,1.641632405735604,2.916086523068163,0.31676911762898907
K1_same_primary_sample,J03WR9,K1_B7,100.0,6556,2.1251482122955077,1.6266875336159394,2.911792608004008,0.31877974070445947
