analysis,outer_heldout_match,model,selected_alpha,outer_constant_features_removed,outer_solver
K1_same_primary_sample,J03WMX,B4,100.0,0,solve
K1_same_primary_sample,J03WMX,K1_B5,100.0,0,solve
K1_same_primary_sample,J03WMX,K1_B6,100.0,0,solve
K1_same_primary_sample,J03WMX,K1_B7,10.0,0,solve
K1_same_primary_sample,J03WN1,B4,0.1,0,solve
K1_same_primary_sample,J03WN1,K1_B5,0.1,0,solve
K1_same_primary_sample,J03WN1,K1_B6,1.0,0,solve
K1_same_primary_sample,J03WN1,K1_B7,0.1,0,solve
K1_same_primary_sample,J03WOH,B4,10.0,0,solve
K1_same_primary_sample,J03WOH,K1_B5,10.0,0,solve
K1_same_primary_sample,J03WOH,K1_B6,10.0,0,solve
K1_same_primary_sample,J03WOH,K1_B7,1.0,0,solve
K1_same_primary_sample,J03WOY,B4,100.0,0,solve
K1_same_primary_sample,J03WOY,K1_B5,100.0,0,solve
K1_same_primary_sample,J03WOY,K1_B6,100.0,0,solve
K1_same_primary_sample,J03WOY,K1_B7,100.0,0,solve
K1_same_primary_sample,J03WPY,B4,0.1,0,solve
K1_same_primary_sample,J03WPY,K1_B5,0.1,0,solve
K1_same_primary_sample,J03WPY,K1_B6,10.0,0,solve
K1_same_primary_sample,J03WPY,K1_B7,0.1,0,solve
K1_same_primary_sample,J03WQQ,B4,100.0,0,solve
K1_same_primary_sample,J03WQQ,K1_B5,100.0,0,solve
K1_same_primary_sample,J03WQQ,K1_B6,100.0,0,solve
K1_same_primary_sample,J03WQQ,K1_B7,100.0,0,solve
K1_same_primary_sample,J03WR9,B4,100.0,0,solve
K1_same_primary_sample,J03WR9,K1_B5,100.0,0,solve
K1_same_primary_sample,J03WR9,K1_B6,100.0,0,solve
K1_same_primary_sample,J03WR9,K1_B7,100.0,0,solve
