analysis,outer_heldout_match,model,selected_alpha,outer_constant_features_removed,outer_solver
locality_control,J03WMX,B4,100.0,0,solve
locality_control,J03WMX,LOCAL_B5,100.0,0,solve
locality_control,J03WMX,LOCAL_B6,100.0,0,solve
locality_control,J03WMX,LOCAL_B7,10.0,0,solve
locality_control,J03WMX,NONLOCAL_B5,100.0,0,solve
locality_control,J03WMX,NONLOCAL_B6,10.0,0,solve
locality_control,J03WMX,NONLOCAL_B7,10.0,0,solve
locality_control,J03WN1,B4,0.1,0,solve
locality_control,J03WN1,LOCAL_B5,0.1,0,solve
locality_control,J03WN1,LOCAL_B6,0.1,0,solve
locality_control,J03WN1,LOCAL_B7,0.1,0,solve
locality_control,J03WN1,NONLOCAL_B5,0.1,0,solve
locality_control,J03WN1,NONLOCAL_B6,0.1,0,solve
locality_control,J03WN1,NONLOCAL_B7,0.1,0,solve
locality_control,J03WOH,B4,10.0,0,solve
locality_control,J03WOH,LOCAL_B5,10.0,0,solve
locality_control,J03WOH,LOCAL_B6,1.0,0,solve
locality_control,J03WOH,LOCAL_B7,0.1,0,solve
locality_control,J03WOH,NONLOCAL_B5,1.0,0,solve
locality_control,J03WOH,NONLOCAL_B6,0.1,0,solve
locality_control,J03WOH,NONLOCAL_B7,0.1,0,solve
locality_control,J03WOY,B4,100.0,0,solve
locality_control,J03WOY,LOCAL_B5,100.0,0,solve
locality_control,J03WOY,LOCAL_B6,100.0,0,solve
locality_control,J03WOY,LOCAL_B7,10.0,0,solve
locality_control,J03WOY,NONLOCAL_B5,100.0,0,solve
locality_control,J03WOY,NONLOCAL_B6,100.0,0,solve
locality_control,J03WOY,NONLOCAL_B7,100.0,0,solve
locality_control,J03WPY,B4,0.1,0,solve
locality_control,J03WPY,LOCAL_B5,0.1,0,solve
locality_control,J03WPY,LOCAL_B6,0.1,0,solve
locality_control,J03WPY,LOCAL_B7,0.1,0,solve
locality_control,J03WPY,NONLOCAL_B5,0.1,0,solve
locality_control,J03WPY,NONLOCAL_B6,0.1,0,solve
locality_control,J03WPY,NONLOCAL_B7,0.1,0,solve
locality_control,J03WQQ,B4,100.0,0,solve
locality_control,J03WQQ,LOCAL_B5,100.0,0,solve
locality_control,J03WQQ,LOCAL_B6,100.0,0,solve
locality_control,J03WQQ,LOCAL_B7,100.0,0,solve
locality_control,J03WQQ,NONLOCAL_B5,100.0,0,solve
locality_control,J03WQQ,NONLOCAL_B6,100.0,0,solve
locality_control,J03WQQ,NONLOCAL_B7,100.0,0,solve
locality_control,J03WR9,B4,100.0,0,solve
locality_control,J03WR9,LOCAL_B5,10.0,0,solve
locality_control,J03WR9,LOCAL_B6,100.0,0,solve
locality_control,J03WR9,LOCAL_B7,100.0,0,solve
locality_control,J03WR9,NONLOCAL_B5,100.0,0,solve
locality_control,J03WR9,NONLOCAL_B6,100.0,0,solve
locality_control,J03WR9,NONLOCAL_B7,100.0,0,solve
