analysis,outer_heldout_match,model,alpha,n,MAE,median_absolute_error,RMSE,R2
K3_1s_history_sensitivity,J03WMX,B4,100.0,6948,2.0482693556347202,1.5579549698640487,2.797914367436172,0.40783310803945205
K3_1s_history_sensitivity,J03WMX,B5,0.01,6948,2.044129124733919,1.5612113018301357,2.785623405952212,0.4130243419943861
K3_1s_history_sensitivity,J03WMX,B6,10.0,6948,2.0417223748441793,1.5546416330209658,2.7845890426393876,0.4134601750373661
K3_1s_history_sensitivity,J03WMX,B7,10.0,6948,2.0301750546702735,1.5413687682058812,2.7699969478916815,0.41959136286569687
K3_1s_history_sensitivity,J03WN1,B4,0.1,5436,1.8546882949435923,1.430854331835646,2.5701418198578736,0.43126366868251953
K3_1s_history_sensitivity,J03WN1,B5,0.1,5436,1.8484044106046917,1.413537313457377,2.5715652111317255,0.4306335411990634
K3_1s_history_sensitivity,J03WN1,B6,0.1,5436,1.848877456283138,1.4229016520166042,2.570660790303209,0.43103396373443237
K3_1s_history_sensitivity,J03WN1,B7,0.1,5436,1.8515152094237173,1.4274613810919654,2.5733495659003407,0.4298431243547375
K3_1s_history_sensitivity,J03WOH,B4,10.0,6116,2.0248878472939444,1.5460650594286613,2.7883880795161926,0.3904261440882465
K3_1s_history_sensitivity,J03WOH,B5,10.0,6116,2.0073876159070396,1.525420514563837,2.774350486140491,0.3965482551678814
K3_1s_history_sensitivity,J03WOH,B6,10.0,6116,2.0117247172347628,1.5300381023534584,2.776253081488777,0.3957203005391946
K3_1s_history_sensitivity,J03WOH,B7,0.1,6116,2.007329396697286,1.5189861992693747,2.770981750153074,0.3980128397044549
K3_1s_history_sensitivity,J03WOY,B4,100.0,6342,2.05964035567418,1.5257316330326656,3.128982672721142,0.2679137029913027
K3_1s_history_sensitivity,J03WOY,B5,0.1,6342,2.049225643874855,1.500378454482794,3.114340720164345,0.2747492108677907
K3_1s_history_sensitivity,J03WOY,B6,0.1,6342,2.0531341327561683,1.5050972883608262,3.108244324825053,0.27758582279630906
K3_1s_history_sensitivity,J03WOY,B7,10.0,6342,2.0468562299950372,1.5135602163175188,3.0762471600274166,0.2923827472181215
K3_1s_history_sensitivity,J03WPY,B4,0.1,7071,2.005439460080533,1.5387071183902572,2.802129370386938,0.4187966846067972
K3_1s_history_sensitivity,J03WPY,B5,0.1,7071,2.009830355016553,1.5370412439294627,2.8033361882427563,0.41829595285131693
K3_1s_history_sensitivity,J03WPY,B6,0.1,7071,2.0101708341728184,1.546076293671108,2.80524744696387,0.4175024940182547
K3_1s_history_sensitivity,J03WPY,B7,0.1,7071,2.0083474533820636,1.5253942378986372,2.80483232181386,0.4176748791482282
K3_1s_history_sensitivity,J03WQQ,B4,100.0,6293,2.1711318612589765,1.6404650347650716,3.0238966992265266,0.35587281160443474
K3_1s_history_sensitivity,J03WQQ,B5,0.1,6293,2.1619198219124027,1.6279383982772777,3.0122666362834845,0.360817976496292
K3_1s_history_sensitivity,J03WQQ,B6,100.0,6293,2.1585110026938947,1.6266025950163643,3.009125127293238,0.3621504939926804
K3_1s_history_sensitivity,J03WQQ,B7,10.0,6293,2.1602043576490035,1.6122095470250444,3.0119018723463604,0.3609727678631598
K3_1s_history_sensitivity,J03WR9,B4,100.0,6556,2.0771178324119166,1.5841785653953706,2.8568046400585487,0.3442659101490756
K3_1s_history_sensitivity,J03WR9,B5,0.1,6556,2.0761244934450267,1.5928472393853061,2.8462453148166267,0.3491044020630546
K3_1s_history_sensitivity,J03WR9,B6,10.0,6556,2.074872463665293,1.5836640845838832,2.841943269873885,0.3510705473493654
K3_1s_history_sensitivity,J03WR9,B7,10.0,6556,2.073500625884443,1.5902685064412045,2.840177328620058,0.35187676699396575
