analysis,outer_heldout_match,model,selected_alpha,outer_constant_features_removed,outer_solver
K3_1s_history_sensitivity,J03WMX,B4,100.0,0,solve
K3_1s_history_sensitivity,J03WMX,B5,0.01,0,solve
K3_1s_history_sensitivity,J03WMX,B6,10.0,0,solve
K3_1s_history_sensitivity,J03WMX,B7,10.0,0,solve
K3_1s_history_sensitivity,J03WN1,B4,0.1,0,solve
K3_1s_history_sensitivity,J03WN1,B5,0.1,0,solve
K3_1s_history_sensitivity,J03WN1,B6,0.1,0,solve
K3_1s_history_sensitivity,J03WN1,B7,0.1,0,solve
K3_1s_history_sensitivity,J03WOH,B4,10.0,0,solve
K3_1s_history_sensitivity,J03WOH,B5,10.0,0,solve
K3_1s_history_sensitivity,J03WOH,B6,10.0,0,solve
K3_1s_history_sensitivity,J03WOH,B7,0.1,0,solve
K3_1s_history_sensitivity,J03WOY,B4,100.0,0,solve
K3_1s_history_sensitivity,J03WOY,B5,0.1,0,solve
K3_1s_history_sensitivity,J03WOY,B6,0.1,0,solve
K3_1s_history_sensitivity,J03WOY,B7,10.0,0,solve
K3_1s_history_sensitivity,J03WPY,B4,0.1,0,solve
K3_1s_history_sensitivity,J03WPY,B5,0.1,0,solve
K3_1s_history_sensitivity,J03WPY,B6,0.1,0,solve
K3_1s_history_sensitivity,J03WPY,B7,0.1,0,solve
K3_1s_history_sensitivity,J03WQQ,B4,100.0,0,solve
K3_1s_history_sensitivity,J03WQQ,B5,0.1,0,solve
K3_1s_history_sensitivity,J03WQQ,B6,100.0,0,solve
K3_1s_history_sensitivity,J03WQQ,B7,10.0,0,solve
K3_1s_history_sensitivity,J03WR9,B4,100.0,0,solve
K3_1s_history_sensitivity,J03WR9,B5,0.1,0,solve
K3_1s_history_sensitivity,J03WR9,B6,10.0,0,solve
K3_1s_history_sensitivity,J03WR9,B7,10.0,0,solve
