analysis,outer_heldout_match,model,alpha,n,MAE,median_absolute_error,RMSE,R2
primary_K3_2s,J03WMX,B4,100.0,6946,2.114184636128844,1.6035172765618284,2.8904004579249047,0.36812387676521663
primary_K3_2s,J03WMX,B5,100.0,6946,2.1114031850277355,1.6002354855725902,2.8781354357024393,0.37347506032803646
primary_K3_2s,J03WMX,B6,100.0,6946,2.109371452454223,1.604740167998175,2.8771615821515155,0.37389897388316684
primary_K3_2s,J03WMX,B7,10.0,6946,2.1048218499443117,1.6003724069873329,2.869889160619902,0.3770600866289736
primary_K3_2s,J03WN1,B4,0.1,5434,1.9186177238557416,1.4962785063992419,2.6619371174004893,0.3900300573445593
primary_K3_2s,J03WN1,B5,0.1,5434,1.9124190894708242,1.4718506217598235,2.661937050690266,0.3900300879172053
primary_K3_2s,J03WN1,B6,0.1,5434,1.9130566403243343,1.472421870297795,2.6615055964043774,0.39022780318981787
primary_K3_2s,J03WN1,B7,0.1,5434,1.9142201266558174,1.4908610393661306,2.6623840503474416,0.38982521512796153
primary_K3_2s,J03WOH,B4,10.0,6115,2.110731716654173,1.6205213252670951,2.8957222668450138,0.3426881664053264
primary_K3_2s,J03WOH,B5,10.0,6115,2.0934157088616923,1.589961637194837,2.8804441543190005,0.34960595110524895
primary_K3_2s,J03WOH,B6,1.0,6115,2.0973773092677575,1.6000017486387592,2.881993912376061,0.3489059031148469
primary_K3_2s,J03WOH,B7,0.1,6115,2.0927333671087283,1.5809169393674933,2.875074414985423,0.35202862691568193
primary_K3_2s,J03WOY,B4,100.0,6342,2.1210460833485203,1.5666908707497245,3.057360731638518,0.30104481956882845
primary_K3_2s,J03WOY,B5,100.0,6342,2.1095535162564913,1.5535131376415139,3.0436924151214493,0.3072803843714611
primary_K3_2s,J03WOY,B6,100.0,6342,2.1142654756914707,1.561860004200643,3.043069267163203,0.30756400214012247
primary_K3_2s,J03WOY,B7,10.0,6342,2.107825605217418,1.5543581995448588,3.031169823379395,0.31296873839299943
primary_K3_2s,J03WPY,B4,0.1,7070,2.073941868832689,1.576678719002038,2.903321347961492,0.3750541197047992
primary_K3_2s,J03WPY,B5,0.1,7070,2.077986762236713,1.582959618773688,2.9023222688618078,0.37548415335573004
primary_K3_2s,J03WPY,B6,0.1,7070,2.0769403964492144,1.5754685495465262,2.9021817034986617,0.3755446450329678
primary_K3_2s,J03WPY,B7,0.1,7070,2.0745147808443143,1.5750438298529357,2.8977919511073997,0.3774322809814118
primary_K3_2s,J03WQQ,B4,100.0,6289,2.2327876044882418,1.698316839376075,3.092587218559001,0.325991273558386
primary_K3_2s,J03WQQ,B5,100.0,6289,2.2230798993505863,1.691349027205883,3.0799335572854893,0.3314955516952791
primary_K3_2s,J03WQQ,B6,100.0,6289,2.221374069447895,1.682750860346382,3.0777943946555553,0.332423846472639
primary_K3_2s,J03WQQ,B7,100.0,6289,2.2232676788327015,1.690379840196751,3.0788865349664314,0.33194999013865956
primary_K3_2s,J03WR9,B4,100.0,6556,2.13189232149592,1.635371304377292,2.9197250262124994,0.31506307181049065
primary_K3_2s,J03WR9,B5,10.0,6556,2.128160497845737,1.634310425267605,2.907887789740948,0.3206055971868085
primary_K3_2s,J03WR9,B6,100.0,6556,2.1275965741690377,1.6250209738087908,2.9044765523684246,0.3221986546727852
primary_K3_2s,J03WR9,B7,100.0,6556,2.1267649306048875,1.6324747513292075,2.904388627897445,0.3222396909294778
