scope,group,diagnostic,source_column,spearman_rho,n
overall,ALL,B4_prediction_magnitude,predicted,-0.012184359586471002,44752
match,J03WMX,B4_prediction_magnitude,predicted,-0.0019096985085615842,6946
match,J03WN1,B4_prediction_magnitude,predicted,0.023908819906342325,5434
match,J03WOH,B4_prediction_magnitude,predicted,-0.012994456746730316,6115
match,J03WOY,B4_prediction_magnitude,predicted,-0.03449346518491319,6342
match,J03WPY,B4_prediction_magnitude,predicted,0.0004525474902742007,7070
match,J03WQQ,B4_prediction_magnitude,predicted,-0.021700479733293455,6289
match,J03WR9,B4_prediction_magnitude,predicted,-0.039029541042697784,6556
overall,ALL,focal_recent_absolute_path,focal_recent_absolute_path_m,0.010407485275856318,44752
match,J03WMX,focal_recent_absolute_path,focal_recent_absolute_path_m,0.02674118851193182,6946
match,J03WN1,focal_recent_absolute_path,focal_recent_absolute_path_m,0.035669438356134654,5434
match,J03WOH,focal_recent_absolute_path,focal_recent_absolute_path_m,0.028565688510921738,6115
match,J03WOY,focal_recent_absolute_path,focal_recent_absolute_path_m,-0.006504218120122542,6342
match,J03WPY,focal_recent_absolute_path,focal_recent_absolute_path_m,0.013377877793924844,7070
match,J03WQQ,focal_recent_absolute_path,focal_recent_absolute_path_m,0.0010040806028794626,6289
match,J03WR9,focal_recent_absolute_path,focal_recent_absolute_path_m,-0.028367745836543664,6556
overall,ALL,focal_recent_relative_path,focal_recent_relative_path_m,0.04559602253306628,44752
match,J03WMX,focal_recent_relative_path,focal_recent_relative_path_m,0.05672574924730207,6946
match,J03WN1,focal_recent_relative_path,focal_recent_relative_path_m,0.10130716167589075,5434
match,J03WOH,focal_recent_relative_path,focal_recent_relative_path_m,0.06007500015325402,6115
match,J03WOY,focal_recent_relative_path,focal_recent_relative_path_m,0.01636391225556013,6342
match,J03WPY,focal_recent_relative_path,focal_recent_relative_path_m,0.06724207371843116,7070
match,J03WQQ,focal_recent_relative_path,focal_recent_relative_path_m,0.023089315986126638,6289
match,J03WR9,focal_recent_relative_path,focal_recent_relative_path_m,0.0015252733238783841,6556
overall,ALL,A1_distance,focal_A1_distance_m,-0.0021887082117357,44752
match,J03WMX,A1_distance,focal_A1_distance_m,0.01601066751621486,6946
match,J03WN1,A1_distance,focal_A1_distance_m,-0.046302600174802,5434
match,J03WOH,A1_distance,focal_A1_distance_m,0.030514936778530604,6115
match,J03WOY,A1_distance,focal_A1_distance_m,-0.028685019428014876,6342
match,J03WPY,A1_distance,focal_A1_distance_m,0.015040164066067225,7070
match,J03WQQ,A1_distance,focal_A1_distance_m,0.007034012788186747,6289
match,J03WR9,A1_distance,focal_A1_distance_m,-0.022980797576887303,6556
overall,ALL,A2_distance,focal_A2_distance_m,-0.0037788750851130617,44752
match,J03WMX,A2_distance,focal_A2_distance_m,-0.004085066228108379,6946
match,J03WN1,A2_distance,focal_A2_distance_m,-0.027652171037963403,5434
match,J03WOH,A2_distance,focal_A2_distance_m,0.03381183853872389,6115
match,J03WOY,A2_distance,focal_A2_distance_m,-0.02567446375103482,6342
match,J03WPY,A2_distance,focal_A2_distance_m,0.0063394796398474375,7070
match,J03WQQ,A2_distance,focal_A2_distance_m,0.009658018265938914,6289
match,J03WR9,A2_distance,focal_A2_distance_m,-0.030801078865391997,6556
overall,ALL,A3_distance,focal_A3_distance_m,-0.009329866155285452,44752
match,J03WMX,A3_distance,focal_A3_distance_m,-0.019878972982649127,6946
match,J03WN1,A3_distance,focal_A3_distance_m,-0.029478182766745756,5434
match,J03WOH,A3_distance,focal_A3_distance_m,0.03175714567471391,6115
match,J03WOY,A3_distance,focal_A3_distance_m,-0.024433325591983288,6342
match,J03WPY,A3_distance,focal_A3_distance_m,-1.0226324764114049e-05,7070
match,J03WQQ,A3_distance,focal_A3_distance_m,-0.009874211713044924,6289
match,J03WR9,A3_distance,focal_A3_distance_m,-0.024365482373797764,6556
overall,ALL,mean_A1_A3_attacker_history_path,mean_A1_A3_recent_absolute_path_m,-0.028816198582030057,44752
match,J03WMX,mean_A1_A3_attacker_history_path,mean_A1_A3_recent_absolute_path_m,-0.001299546650788009,6946
match,J03WN1,mean_A1_A3_attacker_history_path,mean_A1_A3_recent_absolute_path_m,-0.03143185826599137,5434
match,J03WOH,mean_A1_A3_attacker_history_path,mean_A1_A3_recent_absolute_path_m,-0.0389746057123719,6115
match,J03WOY,mean_A1_A3_attacker_history_path,mean_A1_A3_recent_absolute_path_m,-0.07666252244210045,6342
match,J03WPY,mean_A1_A3_attacker_history_path,mean_A1_A3_recent_absolute_path_m,-0.028837256580130054,7070
match,J03WQQ,mean_A1_A3_attacker_history_path,mean_A1_A3_recent_absolute_path_m,-0.004108212946294432,6289
match,J03WR9,mean_A1_A3_attacker_history_path,mean_A1_A3_recent_absolute_path_m,-0.03327374758673702,6556
overall,ALL,A3_distance_as_local_configuration_scale,focal_A3_distance_m,-0.009329866155285452,44752
match,J03WMX,A3_distance_as_local_configuration_scale,focal_A3_distance_m,-0.019878972982649127,6946
match,J03WN1,A3_distance_as_local_configuration_scale,focal_A3_distance_m,-0.029478182766745756,5434
match,J03WOH,A3_distance_as_local_configuration_scale,focal_A3_distance_m,0.03175714567471391,6115
match,J03WOY,A3_distance_as_local_configuration_scale,focal_A3_distance_m,-0.024433325591983288,6342
match,J03WPY,A3_distance_as_local_configuration_scale,focal_A3_distance_m,-1.0226324764114049e-05,7070
match,J03WQQ,A3_distance_as_local_configuration_scale,focal_A3_distance_m,-0.009874211713044924,6289
match,J03WR9,A3_distance_as_local_configuration_scale,focal_A3_distance_m,-0.024365482373797764,6556
overall,ALL,selected_x_span,selected_attackers_x_span_m,-0.021966725608827214,44752
match,J03WMX,selected_x_span,selected_attackers_x_span_m,-0.018154254339696668,6946
match,J03WN1,selected_x_span,selected_attackers_x_span_m,-0.04786785171140598,5434
match,J03WOH,selected_x_span,selected_attackers_x_span_m,0.008500567001302955,6115
match,J03WOY,selected_x_span,selected_attackers_x_span_m,-0.04430268959326791,6342
match,J03WPY,selected_x_span,selected_attackers_x_span_m,-0.03581371018702307,7070
match,J03WQQ,selected_x_span,selected_attackers_x_span_m,0.0020385336725870537,6289
match,J03WR9,selected_x_span,selected_attackers_x_span_m,-0.025345667332726387,6556
overall,ALL,selected_y_span,selected_attackers_y_span_m,-0.021344191379835672,44752
match,J03WMX,selected_y_span,selected_attackers_y_span_m,0.0049144556445946015,6946
match,J03WN1,selected_y_span,selected_attackers_y_span_m,-0.006925209228006699,5434
match,J03WOH,selected_y_span,selected_attackers_y_span_m,-0.011769797681858941,6115
match,J03WOY,selected_y_span,selected_attackers_y_span_m,-0.032213457139520306,6342
match,J03WPY,selected_y_span,selected_attackers_y_span_m,-0.04325609784265852,7070
