match_id,defending_team_id,phase5a_B4_complete,K3_selectable,A1_A3_history_complete,B5_only_computable,B6_only_computable,B7_complete,final_primary_sample,K6_selectable,final_locality_control_sample
J03WMX,DFL-CLU-000008,4320,4320,4318,4320,4318,4318,4318,4320,4314
J03WMX,DFL-CLU-00000G,2628,2628,2628,2628,2628,2628,2628,2628,2622
J03WN1,DFL-CLU-00000B,2856,2856,2856,2856,2856,2856,2856,2856,2856
J03WN1,DFL-CLU-00000S,2580,2580,2578,2580,2578,2578,2578,2580,2572
J03WOH,DFL-CLU-00000P,2600,2600,2600,2600,2600,2600,2600,2600,2600
J03WOH,DFL-CLU-000011,3515,3515,3515,3515,3515,3515,3515,3515,3515
J03WOY,DFL-CLU-00000P,3304,3304,3304,3304,3304,3304,3304,3304,3304
J03WOY,DFL-CLU-00000Q,3038,3038,3038,3038,3038,3038,3038,3038,3038
J03WPY,DFL-CLU-000005,4464,4464,4460,4464,4460,4460,4460,4464,4455
J03WPY,DFL-CLU-00000P,2610,2610,2610,2610,2610,2610,2610,2610,2610
J03WQQ,DFL-CLU-00000H,2650,2650,2644,2650,2644,2644,2644,2650,2642
J03WQQ,DFL-CLU-00000P,3646,3646,3645,3646,3645,3645,3645,3646,3645
J03WR9,DFL-CLU-00000I,4118,4118,4118,4118,4118,4118,4118,4118,4118
J03WR9,DFL-CLU-00000P,2438,2438,2438,2438,2438,2438,2438,2438,2438
J03WMX,ALL,6948,6948,6946,6948,6946,6946,6946,6948,6936
J03WN1,ALL,5436,5436,5434,5436,5434,5434,5434,5436,5428
J03WOH,ALL,6115,6115,6115,6115,6115,6115,6115,6115,6115
J03WOY,ALL,6342,6342,6342,6342,6342,6342,6342,6342,6342
J03WPY,ALL,7074,7074,7070,7074,7070,7070,7070,7074,7065
J03WQQ,ALL,6296,6296,6289,6296,6289,6289,6289,6296,6287
J03WR9,ALL,6556,6556,6556,6556,6556,6556,6556,6556,6556
ALL,ALL,44767,44767,44752,44767,44752,44752,44752,44767,44729
