analysis,outer_heldout_match,model,selected_alpha,outer_constant_features_removed,outer_solver
primary_K3_2s,J03WMX,B4,100.0,0,solve
primary_K3_2s,J03WMX,B5,100.0,0,solve
primary_K3_2s,J03WMX,B6,100.0,0,solve
primary_K3_2s,J03WMX,B7,10.0,0,solve
primary_K3_2s,J03WN1,B4,0.1,0,solve
primary_K3_2s,J03WN1,B5,0.1,0,solve
primary_K3_2s,J03WN1,B6,0.1,0,solve
primary_K3_2s,J03WN1,B7,0.1,0,solve
primary_K3_2s,J03WOH,B4,10.0,0,solve
primary_K3_2s,J03WOH,B5,10.0,0,solve
primary_K3_2s,J03WOH,B6,1.0,0,solve
primary_K3_2s,J03WOH,B7,0.1,0,solve
primary_K3_2s,J03WOY,B4,100.0,0,solve
primary_K3_2s,J03WOY,B5,100.0,0,solve
primary_K3_2s,J03WOY,B6,100.0,0,solve
primary_K3_2s,J03WOY,B7,10.0,0,solve
primary_K3_2s,J03WPY,B4,0.1,0,solve
primary_K3_2s,J03WPY,B5,0.1,0,solve
primary_K3_2s,J03WPY,B6,0.1,0,solve
primary_K3_2s,J03WPY,B7,0.1,0,solve
primary_K3_2s,J03WQQ,B4,100.0,0,solve
primary_K3_2s,J03WQQ,B5,100.0,0,solve
primary_K3_2s,J03WQQ,B6,100.0,0,solve
primary_K3_2s,J03WQQ,B7,100.0,0,solve
primary_K3_2s,J03WR9,B4,100.0,0,solve
primary_K3_2s,J03WR9,B5,10.0,0,solve
primary_K3_2s,J03WR9,B6,100.0,0,solve
primary_K3_2s,J03WR9,B7,100.0,0,solve
