threshold_mps,grouping,group,episodes,episode_share,baseline_episode_share,share_change_percentage_points
0.0,team,Away,19202,0.49680473985149154,0.49680473985149154,0.0
0.0,team,Home,19449,0.5031952601485085,0.5031952601485085,0.0
0.0,period,1,17694,0.45778893172233576,0.45778893172233576,0.0
0.0,period,2,20957,0.5422110682776642,0.5422110682776642,0.0
0.0,team_period,Away|1,8815,0.22806654420325476,0.22806654420325476,0.0
0.0,team_period,Away|2,10387,0.2687381956482368,0.2687381956482368,0.0
0.0,team_period,Home|1,8879,0.229722387519081,0.229722387519081,0.0
0.0,team_period,Home|2,10570,0.27347287262942743,0.27347287262942743,0.0
0.0,player,Away|15,1976,0.05112416237613516,0.05112416237613516,0.0
0.0,player,Away|16,1961,0.050736074098988386,0.050736074098988386,0.0
0.0,player,Away|17,1845,0.047734858089053325,0.047734858089053325,0.0
0.0,player,Away|18,1892,0.04895086802411322,0.04895086802411322,0.0
0.0,player,Away|19,1543,0.039921347442498256,0.039921347442498256,0.0
0.0,player,Away|20,2005,0.05187446637861892,0.05187446637861892,0.0
0.0,player,Away|21,1959,0.050684328995368816,0.050684328995368816,0.0
0.0,player,Away|22,1311,0.033918915422628135,0.033918915422628135,0.0
0.0,player,Away|23,1948,0.05039973092546118,0.05039973092546118,0.0
0.0,player,Away|24,1311,0.033918915422628135,0.033918915422628135,0.0
0.0,player,Away|26,571,0.014773227083387235,0.014773227083387235,0.0
0.0,player,Away|27,546,0.01412641328814261,0.01412641328814261,0.0
0.0,player,Away|28,334,0.00864143230446819,0.00864143230446819,0.0
0.0,player,Home|1,597,0.015445913430441644,0.015445913430441644,0.0
0.0,player,Home|10,1647,0.042612092830715896,0.042612092830715896,0.0
0.0,player,Home|12,1379,0.03567824894569351,0.03567824894569351,0.0
0.0,player,Home|13,503,0.013013893560321855,0.013013893560321855,0.0
0.0,player,Home|14,343,0.008874285270756255,0.008874285270756255,0.0
0.0,player,Home|2,1933,0.050011642648314404,0.050011642648314404,0.0
0.0,player,Home|3,1998,0.05169335851595043,0.05169335851595043,0.0
0.0,player,Home|4,1876,0.04853690719515666,0.04853690719515666,0.0
0.0,player,Home|5,1929,0.049908152441075264,0.049908152441075264,0.0
0.0,player,Home|6,1445,0.03738583736513933,0.03738583736513933,0.0
0.0,player,Home|7,1902,0.04920959354221107,0.04920959354221107,0.0
