episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any
A000026,1.4399999999999977,0.7135053868520975,0.05055480961796335,0.04229999999998313,0.02768571428570965,0.07085413866460809,14.113501608333062,0.7216589306896192,0.48264190377192484,0.020115768258682384,0.6546385355637901,0.2618725150564043,-204.01920387908652,209.0870169592584,1,Home,1,1,Home_1_1_1,2163,2199,86.52,87.96,90.34440000000002,39.76766285714286,90.3867,39.79534857142857,False,True,True,True,False,True,False,False,True,True
A000033,1.7999999999999972,0.5754047828542294,0.23111841545240883,0.22185000000001764,0.06479428571428514,0.4016623120613848,2.489653547199552,0.8418375499222099,0.31343252566816665,0.03277660937991878,0.014272315144946502,0.1463560360460406,-7.898621489244068,17.04999769651473,0,Home,1,1,Home_1_1_1,2480,2525,99.2,101.0,104.23049999999999,18.808314285714285,104.45235000000001,18.87310857142857,False,False,True,True,False,True,False,False,True,True
A000038,2.4399999999999977,5.3095607694792,4.809068213584437,-4.490250000000003,1.7218571428571465,0.9057374842055241,1.104072667233331,3.081188447661577,2.1611868404251435,1.2545648693788605,1.001454363331684,0.5467992209861285,-36.67873552701816,212.22503201824154,0,Home,1,1,Home_1_1_1,2737,2798,109.48,111.92,99.53655,20.88114857142857,95.0463,22.603005714285718,False,False,False,False,False,False,True,True,False,True
A000063,5.1200000000000045,16.311794817465916,10.154122164734114,-6.088349999999995,8.126388571428556,0.6225018324691989,1.6064209739486666,4.756326023958305,3.1696730611732487,1.0929544547012717,2.0042487551960844,4.670910746982378,-265.48848662285104,265.48848662285104,0,Home,1,1,Home_1_1_4,5215,5343,208.6,213.72,34.190549999999995,59.89226285714286,28.1022,68.01865142857142,False,False,False,False,False,False,True,True,False,True
A000128,3.5600000000000023,6.188999669764407,4.438815283376493,2.4109499999999997,-3.7269828571428576,0.7172104572992266,1.3942908804839012,2.8720359911931594,1.722503244561236,0.30030026640051616,1.3712392210255324,1.5971900454048853,-173.34036925388003,199.090592481815,0,Home,1,1,Home_1_1_7,10485,10574,419.4,422.96,91.3338,38.40649714285714,93.74475,34.67951428571428,False,False,False,False,False,False,True,True,False,True
A000190,8.199999999999932,43.16667133445337,36.225953409795316,34.509899999999995,-11.017554285714283,0.8392111851552858,1.1915951761474224,6.975478919359205,5.255261064339341,3.41699589256449,3.835652236798758,7.943850679209892,-152.15291933558873,167.24025916383917,0,Home,1,1,Home_1_1_10,15308,15513,612.32,620.52,47.354400000000005,67.42996571428571,81.8643,56.41241142857143,True,False,False,False,True,False,False,False,False,True
A000237,7.0,36.4187970721573,28.80679669696114,21.62505,19.031257142857143,0.7909870455052552,1.2642432081314738,7.300042056843189,5.197483201100634,4.287116589780434,1.3600365808605799,8.736523026495362,-151.85015123650325,227.01846477317542,0,Home,1,1,Home_1_1_14,20538,20713,821.52,828.52,29.83545,43.816674285714285,51.4605,62.84793142857143,True,False,False,False,False,False,True,False,False,True
A000423,6.079999999999927,16.388669656309922,15.6335367721069,12.48075,9.4147942857143,0.9539234788400117,1.0483021145637574,4.891067011424846,2.6814853530881355,0.5505176147349261,0.8209482322300043,1.3666034968476204,150.4353552307726,194.12885932835832,0,Home,1,1,Home_1_1_24,38332,38484,1533.28,1539.36,46.4913,42.56052,58.97205,51.9753142857143,False,False,False,False,False,False,True,True,False,True
A000460,1.7200000000000273,0.16403066944707131,0.03428431071531063,0.031949999999994816,0.012434285714277848,0.2090115880821503,4.784423721075973,0.16080921402741394,0.0933696985494688,0.007499999999900524,0.030000000000312638,0.04925016617719585,0.0,0.0,0,Home,1,1,Home_1_1_24,40318,40361,1612.72,1614.44,59.73735,51.82872571428572,59.769299999999994,51.841159999999995,False,False,True,True,False,True,False,False,True,True
A000467,1.2799999999999727,0.20217697866431905,0.09745353517633212,0.08249999999998892,-0.05187428571427688,0.48202092948543546,2.0745987131046673,0.25000285967781954,0.15372743547829665,0.018580904175934783,0.044353001877178964,0.08132640544999013,0.0,0.0,0,Home,1,1,Home_1_1_24,40600,40632,1624.0,1625.28,59.51565,51.90906285714285,59.59814999999999,51.85718857142857,False,True,True,True,False,True,False,False,True,True
A000468,2.2799999999999727,0.19327083831200176,0.0619019943136012,-0.0016499999999908255,-0.06188000000000926,0.3202862617777408,3.1222069733791433,0.15138655498541506,0.08407110275305546,0.044353001877178964,0.008194152344931524,0.02951925664761852,0.0,0.0,0,Home,1,1,Home_1_1_24,40632,40689,1625.28,1627.56,59.59814999999999,51.85718857142857,59.5965,51.79530857142856,False,False,True,True,False,True,False,False,True,True
A000492,1.599999999999909,0.31970984912185263,0.15545168420588656,0.07260000000000844,0.13745714285713007,0.48622738596532405,2.0566509186122155,0.33386590130037763,0.19781972124403865,0.11786234295914952,0.1392803341454712,0.12421284161192239,0.0,0.0,0,Home,1,1,Home_1_1_24,41700,41740,1668.0,1669.6,59.574749999999995,51.58285714285715,59.64735,51.72031428571428,False,False,True,True,False,True,False,False,True,True
A000608,5.039999999999999,11.45903519928419,8.099383333125822,3.6997500000000016,-7.204988571428572,0.7068119778209395,1.41480341502268,3.067662092793363,2.25877876792022,0.38902354376327364,2.375440335388263,3.2307110237968057,-200.4042745321458,200.4042745321458,0,Home,2,1,Home_2_1_0,570,696,22.8,27.84,36.021,43.39177142857143,39.72075,36.18678285714286,False,False,False,False,False,False,True,True,False,True
A000622,1.6000000000000085,6.225113832179362,5.946333279458865,1.1274000000000086,-5.838480000000001,0.9552167943854453,1.0468827661718059,5.2903179856263405,3.82832203791009,1.3333577498297378,1.0589057116296057,0.623943726745626,-63.76866686031645,208.93837428310246,0,Home,2,1,Home_2_1_1,2322,2362,92.88,94.48,99.7722,33.16573714285715,100.8996,27.327257142857146,False,False,False,False,False,False,True,True,False,True
