team,player,supported_smoothed_frames,eligible_blocks,method_a_episodes,included
Home,1,32719,31,597,True
Home,2,112917,80,1933,True
Home,3,112917,80,1998,True
Home,4,112917,80,1876,True
Home,5,112917,80,1929,True
Home,6,84496,68,1445,True
Home,7,112917,80,1902,True
Home,8,112917,80,1948,True
Home,9,112917,80,1949,True
Home,10,93346,70,1647,True
Home,12,80198,49,1379,True
Home,13,28415,13,503,True
Home,14,19571,10,343,True
Away,15,112917,80,1976,True
Away,16,112917,80,1961,True
Away,17,112917,80,1845,True
Away,18,112917,80,1892,True
Away,19,92530,70,1543,True
Away,20,112917,80,2005,True
Away,21,112917,80,1959,True
Away,22,80526,67,1311,True
Away,23,112917,80,1948,True
Away,24,80256,67,1311,True
Away,26,32655,14,571,True
Away,27,32385,14,546,True
Away,28,20381,11,334,True
