episode_id,duration_s,path_m,displacement_m,delta_x_m,delta_y_m,displacement_path_ratio,path_displacement_ratio,peak_speed_mps,mean_speed_mps,start_speed_mps,end_speed_mps,max_chord_deviation_m,signed_heading_change_deg,absolute_heading_change_deg,heading_changes_ge45_count,team,player,period,block_id,start_frame,end_frame,start_s,end_s,start_x_m,start_y_m,end_x_m,end_y_m,method_b_overlap,diag_short,diag_tiny_path,diag_tiny_displacement,diag_long,diag_low_displacement_path_ratio,diag_direction_change,diag_lower_speed_meaningful_displacement,diag_fragmentation_any,diag_merging_any,sample_reason
A019450,2.2,4.627992304133617,4.357629184186684,-4.156649999999999,-1.3081257142857137,0.9415809054597064,1.0620436270548326,3.0242704264406477,2.0976124315348534,1.7664885626113918,0.7259525840829273,0.46346063330891174,-108.38072325962263,144.03269373175127,0,Away,15,1,Away_15_1_0,10,65,0.4,2.6,60.83805,14.346639999999999,56.681400000000004,13.038514285714285,False,False,False,False,False,False,False,True,False,False,evenly_spaced_chronological
A036015,4.840000000000032,13.645783944793262,13.53471519891432,13.011599999999994,3.7264971428571414,0.9918605815299222,1.0082062122657631,3.8445303878427364,2.82759581377679,3.822090660938606,1.4587088381464668,0.7300422975341484,21.534873236348222,35.803261207456494,0,Away,24,1,Away_24_1_6,9505,9626,380.2,385.04,39.16515,34.13493142857143,52.17674999999999,37.86142857142857,False,False,False,False,False,False,False,True,False,False,evenly_spaced_chronological
A023642,1.9200000000000728,2.6918272436881923,2.543507459870795,-2.3287500000000065,1.022914285714279,0.9448999618511262,1.0583130917276458,1.5877471240255252,1.3975724602792088,1.1853694614790358,1.5812861014643764,0.3602556161519399,68.03803891361532,68.08422249562842,0,Away,17,1,Away_17_1_14,21832,21880,873.28,875.2,53.38665000000001,57.08532000000001,51.057900000000004,58.10823428571429,False,False,False,False,False,False,False,False,False,False,evenly_spaced_chronological
A000386,1.0,1.955036716924781,1.8691284517089104,1.3010999999999981,-1.3419314285714279,0.9560579786189376,1.045961670069987,2.2537033196653593,1.9664739836977874,2.2524056530239163,1.6816309233910782,0.24125007025249243,-57.94172835518965,57.94172835518965,0,Home,1,1,Home_1_1_21,35083,35108,1403.32,1404.32,29.1519,47.17296,30.453,45.831028571428575,False,True,False,False,False,False,False,False,True,False,evenly_spaced_chronological
A012257,2.040000000000191,5.710956483478916,5.485730257813238,-5.389349999999993,1.0237885714285753,0.9605624335753162,1.041056744513621,3.682903281778139,2.7782295750802968,1.694025817215591,3.6797546113663144,0.585251840054636,66.80445139892716,66.80445139892716,0,Home,8,1,Home_8_1_26,43365,43416,1734.6,1736.64,71.73179999999999,26.902062857142855,66.34245,27.92585142857143,False,False,False,False,False,False,False,True,False,False,evenly_spaced_chronological
A022078,5.079999999999927,5.039350187749666,4.957382488750845,3.6523500000000126,3.352011428571423,0.9837344705279504,1.0165344714039757,1.404791912563584,0.9881051897484477,0.4937095940588329,0.7238122607257401,0.2261789664724388,-29.73511563058098,143.64597410784253,0,Away,16,1,Away_16_1_35,52747,52874,2109.88,2114.96,78.8316,29.102737142857144,82.48395000000001,32.45474857142857,False,False,False,False,False,False,False,True,False,False,evenly_spaced_chronological
A024147,2.5599999999999454,4.719650373414272,4.688106389142456,4.119599999999995,2.2376857142857136,0.9933164574118664,1.0067285128905927,2.069790850127861,1.84423571465901,1.8840621174756162,1.4813507849131533,0.19254234772955445,-16.673676494982878,37.2137426621208,0,Away,17,1,Away_17_1_41,64172,64236,2566.88,2569.44,27.51075,2.570788571428572,31.630349999999996,4.8084742857142855,False,False,False,False,False,False,False,True,False,False,evenly_spaced_chronological
A034875,1.199999999999818,0.10597174977018935,0.06345636617521624,0.00629999999998887,-0.06314285714285717,0.5988045522776392,1.669993984174563,0.20403446400075903,0.086060472530027,0.018580904176097306,0.07697966369385245,0.017999707024600846,0.0,0.0,0,Away,23,2,Away_23_2_45,72070,72100,2882.8,2884.0,52.196250000000006,24.93657142857143,52.202549999999995,24.873428571428573,False,True,True,True,False,False,False,False,True,False,evenly_spaced_chronological
A005562,1.6000000000003638,4.3148368878874015,4.298993508761739,2.8818000000000055,3.1900742857142887,0.9963281626774495,1.0036853693994587,2.7379618986450542,2.6964974225915586,2.6854721290930277,2.6101266001163244,0.15927516742271353,-15.710032081231299,15.851783130792972,0,Home,4,2,Home_4_2_52,82581,82621,3303.24,3304.84,42.34485,44.730982857142855,45.22665000000001,47.921057142857144,False,False,False,False,False,False,False,True,False,False,evenly_spaced_chronological
A001725,1.4800000000000182,1.4094202183836693,1.4016994301932462,1.1213999999999942,-0.8409657142857156,0.9945220111860766,1.005508162466299,1.4252004374797123,0.9294087720313519,0.08202787760322602,1.392578609514301,0.05695134511754453,15.897645773756102,24.948795707337826,0,Home,2,2,Home_2_2_60,94798,94835,3791.92,3793.4,87.8061,19.987434285714283,88.9275,19.146468571428567,False,True,False,False,False,False,False,False,True,False,evenly_spaced_chronological
