team,player_1,player_2,exact_colocation_frames,runs,longest_run_frames,longest_run_period,longest_run_start_frame,longest_run_end_frame,longest_run_start_s,longest_run_end_s
Home,1,7,70,1,70,1,2512,2581,100.48,103.24
Home,1,9,158,1,158,1,2424,2581,96.96,103.24
Home,1,10,164,2,158,1,2424,2581,96.96,103.24
Home,1,12,1,1,1,1,46706,46706,1868.24,1868.24
Home,2,3,602,6,234,1,26067,26300,1042.68,1052.0
Home,2,7,120,1,120,2,100016,100135,4000.64,4005.4
Home,2,14,149,1,149,2,144858,145006,5794.32,5800.24
Home,3,4,100,1,100,1,40282,40381,1611.28,1615.24
Home,3,8,309,2,239,1,41598,41836,1663.92,1673.44
Home,3,9,42,2,22,1,58048,58069,2321.92,2322.76
Home,3,10,517,1,517,2,110250,110766,4410.0,4430.64
Home,3,13,24,1,24,2,144924,144947,5796.96,5797.88
Home,3,14,92,1,92,2,144682,144773,5787.28,5790.92
Home,5,7,6,1,6,1,3048,3053,121.92,122.12
Home,6,7,82,1,82,2,85572,85653,3422.88,3426.12
Home,6,10,43,1,43,2,106671,106713,4266.84,4268.52
Home,6,13,1,1,1,2,110849,110849,4433.96,4433.96
Home,7,9,150,2,95,1,2512,2606,100.48,104.24
Home,7,10,95,1,95,1,2512,2606,100.48,104.24
Home,8,9,18,1,18,2,90370,90387,3614.8,3615.48
Home,8,10,63,3,33,1,58069,58101,2322.76,2324.04
Home,9,10,337,2,269,1,2402,2670,96.08,106.8
Home,10,14,1,1,1,2,121392,121392,4855.68,4855.68
Home,12,13,45,1,45,2,144440,144484,5777.6,5779.36
Away,15,17,17,4,7,2,92281,92287,3691.24,3691.48
Away,15,19,89,4,39,1,41145,41183,1645.8,1647.32
Away,15,20,54,1,54,2,87837,87890,3513.48,3515.6
Away,15,24,40,1,40,1,41290,41329,1651.6,1653.16
Away,16,18,13,1,13,1,71056,71068,2842.24,2842.72
Away,16,19,1,1,1,1,71207,71207,2848.28,2848.28
Away,16,20,228,4,102,2,112315,112416,4492.6,4496.64
Away,16,24,1,1,1,1,71206,71206,2848.24,2848.24
Away,17,18,36,1,36,1,42002,42037,1680.08,1681.48
Away,17,20,6,1,6,1,71263,71268,2850.52,2850.72
Away,18,19,122,3,67,2,111893,111959,4475.72,4478.36
Away,18,20,64,1,64,2,88588,88651,3543.52,3546.04
Away,18,23,16,1,16,2,100456,100471,4018.24,4018.84
Away,19,24,6,1,6,1,71195,71200,2847.8,2848.0
Away,19,28,1,1,1,2,119381,119381,4775.24,4775.24
Away,20,21,29,1,29,2,88429,88457,3537.16,3538.28
Away,20,22,98,1,98,1,62093,62190,2483.72,2487.6
Away,22,27,1,1,1,2,106869,106869,4274.76,4274.76
Away,24,26,1,1,1,2,106599,106599,4263.96,4263.96
