quantity,quantile,value,observations
raw_speed_mps,0.5,1.4363236273569624,2900080
raw_speed_mps,0.9,3.80283118216237,2900080
raw_speed_mps,0.95,4.599537672032248,2900080
raw_speed_mps,0.99,6.320609147864904,2900080
raw_speed_mps,0.999,8.138885058777925,2900080
raw_speed_mps,0.9999,14.684367953624692,2900080
raw_speed_mps,1.0,557.0250000005067,2900080
smooth_speed_mps,0.5,1.4339299368436509,2899804
smooth_speed_mps,0.9,3.797569250607753,2899804
smooth_speed_mps,0.95,4.592556439186015,2899804
smooth_speed_mps,0.99,6.295056751241166,2899804
smooth_speed_mps,0.999,8.031865735780364,2899804
smooth_speed_mps,0.9999,10.93517263781845,2899804
smooth_speed_mps,1.0,300.9539032180309,2899804
smooth_acceleration_mps2,0.5,0.3678285784550096,2899758
smooth_acceleration_mps2,0.9,1.4375947563078615,2899758
smooth_acceleration_mps2,0.95,1.9693194449121414,2899758
smooth_acceleration_mps2,0.99,3.3128073561817097,2899758
smooth_acceleration_mps2,0.999,15.902075704243124,2899758
smooth_acceleration_mps2,0.9999,68.40442877086565,2899758
smooth_acceleration_mps2,1.0,1850.2500000033658,2899758
