sample,scope,match_id,observation_count,column_count,rank,full_rank,mean_leverage,max_leverage
primary,match,1886347,5670,2,2,True,0.00035273368606701552,0.0010538636653955179
primary,match,1899585,5083,2,2,True,0.00039346842415896599,0.0015712283938949187
primary,match,1925299,6570,2,2,True,0.00030441400304413615,0.0015508167642373375
primary,match,1996435,5967,2,2,True,0.00033517680576503783,0.0011370080477118704
primary,match,2006229,5795,2,2,True,0.00034512510785159159,0.0013380116325409171
primary,match,2011166,4522,2,2,True,0.00044228217602830104,0.0015151942182122964
primary,match,2013725,5471,2,2,True,0.00036556388228843248,0.0012902717772085483
primary,match,2015213,5143,2,2,True,0.00038887808671980896,0.0017654703673573009
primary,match,2017461,4886,2,2,True,0.00040933278755628369,0.001604740207417078
primary,pooled,,49107,10,10,True,0.00020363695603477816,0.00037193027149673365
quality,match,1886347,1529,2,2,True,0.0013080444735120932,0.0040494885646280973
quality,match,1899585,1068,2,2,True,0.0018726591760299604,0.006768991195008239
quality,match,1925299,1305,2,2,True,0.0015325670498084324,0.0052032027485662694
quality,match,1996435,2559,2,2,True,0.00078155529503711743,0.0023927289807510917
quality,match,2006229,2278,2,2,True,0.00087796312554872934,0.0025225784191907821
quality,match,2011166,625,2,2,True,0.0032000000000000041,0.009830066890163594
quality,match,2013725,942,2,2,True,0.002123142250530786,0.0060347358214092066
quality,match,2015213,803,2,2,True,0.0024906600249065959,0.0072751376852430057
quality,match,2017461,701,2,2,True,0.0028530670470756051,0.0088041277212569449
quality,pooled,,11810,10,10,True,0.00084674005080440811,0.002509165656792039
