match_id,sample,band,observation_count,unique_time_anchor_count,temporal_block_count,mean_focal_detected_fraction,mean_ball_detected_fraction,mean_min_D1_D7_detected_fraction
1886347,primary,0_10,2425,629,88,0.67531047710381209,0.95373771277871011,0.35964141640519948
1886347,primary,10_20,1706,612,88,0.68905913465470703,0.96117669511164416,0.31194250471481727
1886347,primary,20_30,1179,550,87,0.72734086829595435,0.96204903643213602,0.29656672935796735
1886347,primary,30_34,348,278,77,0.7568831863138199,0.96164127238706232,0.28573213393303348
1886347,primary,over_34,12,12,12,0.89534883720930225,1,0.13405797101449277
1886347,quality,0_10,704,284,78,0.95510702959830873,0.98718287526427062,0.90797924901185756
1886347,quality,10_20,436,230,73,0.95999573287817364,0.99546618305952639,0.91025129637016367
1886347,quality,20_30,303,184,70,0.9681479775884565,0.99255506946043459,0.90916917778734407
1886347,quality,30_34,84,72,44,0.98200442967884827,0.99446290143964555,0.88043478260869568
1886347,quality,over_34,2,2,2,0.88372093023255816,1,0.80434782608695654
1899585,primary,0_10,2134,563,89,0.65556548462326458,0.94802859571500186,0.29805223911006073
1899585,primary,10_20,1600,555,89,0.64784883720930242,0.93827034883720928,0.26714673913043474
1899585,primary,20_30,1085,494,88,0.67606901725431356,0.94592219483442286,0.21338409136445602
1899585,primary,30_34,248,197,72,0.72974493623405856,0.96061515378844708,0.25105189340813466
1899585,primary,over_34,16,14,10,0.46947674418604651,0.97093023255813948,0.20108695652173914
1899585,quality,0_10,498,224,74,0.95395535630895667,0.96385542168674698,0.9366160293347302
1899585,quality,10_20,328,192,76,0.94597277368122512,0.95774248440158816,0.92073170731707321
1899585,quality,20_30,184,126,58,0.96650657229524761,0.95955510616784623,0.91186200378071824
1899585,quality,30_34,55,50,35,0.96532769556025366,0.97547568710359411,0.92015810276679832
1899585,quality,over_34,3,3,3,0.92248062015503873,0.92248062015503873,0.97101449275362317
1925299,primary,0_10,2915,729,89,0.61964178866328934,0.95210818141928266,0.31108956670892685
1925299,primary,10_20,2055,719,89,0.63535336388841723,0.9517342839359475,0.26700518353961705
1925299,primary,20_30,1264,618,89,0.61350088313217543,0.95243965263467745,0.22114061640066041
1925299,primary,30_34,322,268,78,0.70670229669218554,0.9752997255525061,0.27842290035106665
