analysis,estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
1s,N,0.054843119673439612,97.5,0.042506825654683153,0.06763935241337507,2000,2000
1s,M,0.027531489226474491,97.5,0.016615780056542809,0.038188880452664192,2000,2000
1s,F,0.028316044542382537,97.5,0.013698586397670109,0.042142528834772507,2000,2000
1s,Delta_NM,0.027311630446965121,97.5,0.018301455307000131,0.038064252620790176,2000,2000
1s,Delta_MF,-0.00078455531590804553,97.5,-0.011860630968875874,0.010308043737040969,2000,2000
1s,Delta_NF,0.026527075131057076,97.5,0.011215096370385518,0.042569686848317849,2000,2000
2s,N,0.10830773047057445,97.5,0.085698841088276245,0.13059338948978289,2000,2000
2s,M,0.062722265792681822,97.5,0.042408791928378008,0.081798714963236305,2000,2000
2s,F,0.06247229233831484,97.5,0.034872675200358895,0.088042758369846527,2000,2000
2s,Delta_NM,0.045585464677892623,97.5,0.029789807200049413,0.064279275524306123,2000,2000
2s,Delta_MF,0.0002499734543669821,97.5,-0.020843959563543471,0.022160434444635176,2000,2000
2s,Delta_NF,0.045835438132259605,97.5,0.019788357513696338,0.072872187250277401,2000,2000
4s,N,0.19060108725466005,97.5,0.15507391126350709,0.22500200102767931,2000,2000
4s,M,0.12870623726537761,97.5,0.091237753677801195,0.16430581630112839,2000,2000
4s,F,0.11660992823784057,97.5,0.073129677334217241,0.15842672126234189,2000,2000
4s,Delta_NM,0.061894849989282436,97.5,0.033313850517094276,0.096055264322381442,2000,2000
4s,Delta_MF,0.012096309027537042,97.5,-0.022514255849791803,0.04674817860655394,2000,2000
4s,Delta_NF,0.073991159016819477,97.5,0.038124089047776893,0.1096432730163691,2000,2000
