rank,n,p10_m,q25_m,median_m,q75_m,iqr_m,p90_m,overlap_with_next_rank
1,7823,1.957845361184765,3.5182234481799273,5.8711378176358213,9.2385599495588355,5.7203365013789078,13.102056598802337,0.60360475520899914
2,7823,5.4075904457422315,7.6612290996256052,10.674189303859597,14.670022308541899,7.0087932089162939,18.831284062280954,0.73999744343602192
3,7823,8.1309502030133824,10.740957244822599,14.433503351557814,18.996549358732373,8.2555921139097741,23.719153527659564,0.80749073245557978
4,7823,10.643281500355982,13.546832378022591,17.416836362964649,22.481061202485172,8.9342288244625809,27.12502161579156,0.82423622651156847
5,7823,12.940386767482094,16.059220265025402,20.50069121336654,25.911339493703469,9.8521192286780668,30.506337662928171,0.84762878691039245
6,7823,15.267445118543698,18.726723920757379,23.449224940736819,29.060975503945741,10.334251583188362,33.764083640948833,0.8522306020708168
7,7823,17.463016877673923,21.317976806796047,26.571572624582213,32.297590086561087,10.97961327976504,37.031302833296891,0.84047040777195448
8,7823,20.48022783255659,24.472246584094218,30.135482458771587,35.832880394418154,11.360633810323936,40.613485075391146,0.83510162341812599
9,7823,23.400999061926441,27.937092709781595,33.715029739444581,39.539454791382958,11.602362081601363,44.710875477770429,0.80634027866547364
10,7823,27.195109120106768,32.146507954963013,38.027569119827589,44.52127546372266,12.374767508759646,50.083995174327043,
