estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid,horizon
N,0.079034783374817924,97.5,0.048796054282484798,0.11134185453383495,2000,2000,1s
M,0.035574980944359104,97.5,0.0086400515509417099,0.066285131652598861,2000,2000,1s
F,0.025697039591306387,97.5,-0.0031703265347920147,0.063486253438634274,2000,2000,1s
Delta_NM,0.04345980243045882,97.5,0.013184243519275799,0.081296891798051038,2000,2000,1s
Delta_MF,0.0098779413530527167,97.5,-0.0081280992427577685,0.021618034151907158,2000,2000,1s
Delta_NF,0.05333774378351154,97.5,0.01938831759540538,0.091150178216300448,2000,2000,1s
N,0.14967434001878943,97.5,0.095052112069770919,0.21466408871966774,2000,2000,2s
M,0.064145047827198556,97.5,0.0084255279948865953,0.12547238654323054,2000,2000,2s
F,0.058525871087650401,97.5,-0.013418603597809615,0.14681480462366869,2000,2000,2s
Delta_NM,0.085529292191590875,97.5,0.029165641481899186,0.1578557703804401,2000,2000,2s
Delta_MF,0.0056191767395481554,97.5,-0.037817337529163018,0.036117415900448153,2000,2000,2s
Delta_NF,0.091148468931139037,97.5,0.032398726091235612,0.15860836219763222,2000,2000,2s
N,0.30114124631145184,97.5,0.20348234574770457,0.41390132301873944,2000,2000,4s
M,0.12853020116500258,97.5,0.029906980209634806,0.2364728061497646,2000,2000,4s
F,0.11824485758368637,97.5,-0.0018813243016462887,0.26276683955965824,2000,2000,4s
Delta_NM,0.17261104514644926,97.5,0.079849855380503668,0.29865834015493037,2000,2000,4s
Delta_MF,0.010285343581316206,97.5,-0.054158535545375204,0.05335676450316576,2000,2000,4s
Delta_NF,0.18289638872776548,97.5,0.088393031219803977,0.30661917736574884,2000,2000,4s
