estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.12841102032817525,95,0.083410916315462616,0.17435625391302523,2000,2000
D2,0.12241224637175803,95,0.073984576461603557,0.18107908819192992,2000,2000
D3,0.075471033085571224,95,0.017814776407810057,0.13948728569558133,2000,2000
D4,0.07238086678840952,95,0.024766537328151764,0.13160624499596368,2000,2000
D5,0.055578663444015956,95,-0.018818845469891723,0.13809730926302902,2000,2000
D6,0.077132201510148823,95,0.02750664011843967,0.1294469438338883,2000,2000
D7,0.010933790666780472,95,-0.04437050831602142,0.069386878057482823,2000,2000
D8,0.052686493362154037,95,-0.0013705602197828242,0.10697097983710163,2000,2000
D9,0.035400446436435688,95,-0.0066377048803524961,0.10084292170217336,2000,2000
D10,0.02333346989418042,95,-0.020517423638947811,0.073227223173715217,2000,2000
