estimand,estimate,interval_percent,ci_low,ci_high,attempted,valid
D1,0.18711221941496889,95,0.15289292134522522,0.23947220497440178,2000,2000
D2,0.16859605401960165,95,0.10970024109208168,0.22925442728400142,2000,2000
D3,0.093314746621797742,95,0.028489826656269927,0.17225747463067881,2000,2000
D4,0.08376408455816764,95,0.020407199743262307,0.1480109379444742,2000,2000
D5,0.067568811051047853,95,0.014716815178473352,0.12263636997881354,2000,2000
D6,0.066947352079563829,95,0.02190698500544119,0.10962384699442938,2000,2000
D7,0.03829994362001491,95,-0.039944432871526547,0.1188255703012193,2000,2000
D8,0.054214919600172898,95,-0.010303581234191268,0.11546400654059542,2000,2000
D9,0.05898664345125991,95,-0.012953473810093249,0.16252372926744985,2000,2000
D10,0.062376050211518402,95,-0.041500115600355852,0.17666973735772462,2000,2000
