rank,n,p10_m,q25_m,median_m,q75_m,iqr_m,p90_m,overlap_with_next_rank
1,1087,2.1915773209660956,3.7719954935596345,5.8423811775148335,9.2710323564422854,5.4990368628826509,12.906781876899965,0.59061637534498623
2,1087,5.6895718261271808,7.9221243678339253,11.089330935063902,15.444839155901196,7.5227147880672707,18.946239193551062,0.74333026678932845
3,1087,8.7590337300502856,11.025954741670217,14.824264224789555,19.78895677085481,8.7630020291845927,24.511757926988878,0.8252069917203313
4,1087,10.702680052307402,13.595009961555677,18.249639978746966,23.284449083399949,9.6894391218442717,27.521265014384817,0.80680772769089248
5,1087,13.206636459227925,16.46029713874362,21.146832828393435,26.317742439503956,9.857445300760336,30.634956619455387,0.82244710211591543
6,1087,15.670870866189485,19.340203545081042,24.307727250992073,29.857936050704822,10.51773250562378,34.240465642101121,0.82980680772769078
7,1087,18.295872943013872,21.915133965423344,27.353739699734234,32.522845949796064,10.60771198437272,36.894039013604015,0.8261269549218031
8,1087,20.614543368299763,25.140933732344195,30.666160948791646,35.961407721317016,10.820473988972822,39.825531443247499,0.8261269549218031
9,1087,23.061474024063813,27.419673391043929,34.049800638399411,39.646883068116558,12.227209677072629,44.297857750481981,0.81600735970561189
10,1087,25.402364279579363,31.530091605511927,37.887159078334044,43.686987341782284,12.156895736270357,49.242710850898909,
